Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization,join_key
Allcargo Termi,543954.0,ATL,Miscellaneous,50.15,181.76,8.81,-1.08,-30.08,3.86,-22.69,26.67,5.45,32.12,13.92,18.2,7.22,10.98,1.76,0.0,9.22,100.0,14.67,5.07,49.14,0.36,32.37,28.99,185.38,180.69,11.91,9.0,-18.26,202403.0,3.95,187.83,30.08,8.95,0.35,185.15,29.3,6.82,36.12,13.66,22.46,6.95,15.51,0.94,14.57,0.0,14.57,15.83,7.87,49.14,0.6,1232.15,543954.0_ATL
Alliance Integ.,534064.0,__NA__,Steel - Medium / Small,81.2,24.17,-19.15,84.64,53.42,15.23,8.53,3.26,0.21,3.28,7.09,-3.81,15.35,-18.97,0.0,0.19,-18.96,86.18,13.49,-79.23,13.17,-1.44,2.81,2.41,16.0,12.62,130.51,-26.04,24.83,202403.0,29.62,16.36,3.18,-19.44,-1.48,14.77,4.19,-3.24,4.19,7.14,-2.95,15.13,-21.32,0.0,-18.08,-3.24,-21.32,28.37,-122.41,11.61,-1.84,1069.0,534064.0___NA__
Allied Digital,532875.0,ADSL,Computers - Software - Medium / Small,194.15,176.76,14.11,6.33,48.53,4.09,-14.73,24.34,0.14,24.48,4.0,20.48,1.67,18.81,4.7,0.0,14.11,39.73,13.77,7.98,27.65,2.55,20.53,17.84,170.23,169.0,11.47,8.59,-5.58,202403.0,4.3,176.26,20.44,14.53,2.62,171.08,20.67,0.58,21.25,4.12,17.13,1.03,16.1,4.41,11.7,0.0,11.7,12.08,6.84,27.54,2.12,1075.74,532875.0_ADSL
Allsec Tech.,532633.0,ALLSEC,Computers - Software - Medium / Small,1201.0,129.71,20.73,20.12,71.04,20.21,37.1,35.24,1.65,36.89,9.76,27.13,1.27,25.86,5.13,0.0,20.73,100.0,27.17,15.98,15.24,13.6,25.4,24.53,112.36,107.51,16.24,15.77,30.39,202403.0,20.22,129.25,30.94,20.41,13.39,119.79,30.41,0.75,31.16,9.3,21.86,0.9,20.96,9.7,11.26,0.0,11.26,25.39,9.4,15.24,7.39,1830.31,532633.0_ALLSEC
Almondz Global,531400.0,ALMONDZ,Finance & Investments,139.05,45.41,6.0,70.52,48.88,52.51,21.92,4.56,4.26,8.82,1.48,7.34,0.68,6.66,0.66,0.0,6.0,100.0,10.04,13.21,16.09,2.24,4.09,2.91,23.22,17.53,4.48,3.76,62.7,202403.0,56.08,27.36,4.1,2.44,0.88,30.13,3.75,18.13,6.13,0.67,5.46,0.97,20.24,0.4,4.4,15.75,19.84,12.45,14.6,16.09,7.4,384.96,531400.0_ALMONDZ
Alok Industries,521070.0,ALOKINDS,Textiles - Processing,29.17,1469.31,-215.93,-6.44,27.43,-20.58,6.19,5.35,7.89,13.24,77.19,-63.95,156.08,-220.03,-4.1,0.0,-215.93,20.62,0.36,-14.7,496.53,-0.43,36.06,12.05,1372.34,1410.25,-174.83,-226.14,160.79,202403.0,-19.96,1128.8,9.59,-213.24,-0.43,1253.03,-5.73,0.02,-5.71,79.05,-84.76,143.98,-228.74,1.18,-229.92,0.0,-229.92,-0.46,-18.35,496.53,-0.46,14483.58,521070.0_ALOKINDS
Alpa Laboratorie,532878.0,ALPA,Pharmaceuticals - Indian - Formulations,85.71,23.61,3.54,-19.03,-23.87,17.14,68.64,3.51,3.98,7.47,0.52,6.95,0.29,6.68,3.12,0.02,3.55,55.36,14.87,14.99,21.04,1.69,3.35,-1.14,32.39,25.43,5.79,3.03,0.5,202403.0,40.48,35.72,1.23,0.29,0.14,27.31,2.43,3.55,5.96,0.66,5.3,0.02,5.3,0.79,4.49,0.02,4.51,8.9,16.44,21.04,2.14,180.33,532878.0_ALPA
Alpex Solar,-1.0,ALPEXSOLAR,Electric Equipment,970.0,199.84,,,,111.94,497.63,22.57,,,,,,,,,18.94,,,,,7.74,,,,,,,220.47,202403.0,,,,,,212.76,14.19,,,,,,,,,,7.6,,,,,2373.91,-1.0_ALPEXSOLAR
Alphageo (India),526397.0,ALPHAGEO,Miscellaneous,386.85,51.89,8.08,267.49,884.13,49.61,845.84,14.76,-4.14,17.83,3.39,14.44,0.16,7.07,2.99,-7.21,4.07,100.0,28.44,15.96,6.36,6.24,-3.96,-3.28,2.39,5.15,-4.33,-3.24,61.75,202403.0,435.49,27.58,-14.67,-30.61,-46.91,39.24,3.56,4.49,8.05,3.29,4.76,0.01,4.75,0.19,3.96,0.0,4.55,9.07,11.6,6.38,6.22,246.2,526397.0_ALPHAGEO
Alphalogic Indu,543937.0,__NA__,Engineering,307.5,27.81,,,,163.82,7.31,1.34,,,,,,,,,1.24,,,,,1.22,,,,,,,-14.69,202403.0,,,,,,19.73,1.4,,,,,,,,,,1.11,,,,1.09,313.32,543937.0___NA__
Alphalogic Tech.,542770.0,__NA__,Computers - Software - Medium / Small,267.95,17.75,0.97,106.16,-25.38,142.66,21.48,1.54,0.23,1.77,0.03,1.74,0.16,1.58,0.38,0.0,1.18,13.86,8.68,6.65,23.73,0.21,2.1,0.87,12.51,9.41,1.8,0.73,13.46,202403.0,147.76,23.31,2.5,2.23,0.39,14.26,1.58,0.75,2.33,0.03,2.3,0.25,2.05,0.47,1.17,0.0,1.58,11.08,11.08,17.57,0.25,1255.46,542770.0___NA__
Alpine Housing,526519.0,__NA__,Construction,129.0,15.39,1.22,-16.18,-17.57,20.72,42.56,2.38,-0.02,2.38,0.35,2.03,0.61,1.4,0.2,-0.02,1.2,41.2,15.46,7.93,17.32,0.69,1.84,1.28,13.45,16.45,0.86,0.62,54.76,202403.0,24.01,20.4,2.24,1.28,0.74,12.27,1.66,0.0,1.66,0.31,1.35,0.47,0.88,0.12,0.76,0.0,0.76,13.53,6.19,17.32,0.44,223.44,526519.0___NA__
Alps Industries,530715.0,ALPSINDUS,Textiles - Products,4.1,0.0,-13.95,-100.0,22.71,-89.35,6.0,-0.24,1.28,1.04,0.0,1.04,14.99,-13.95,0.0,0.0,-13.95,,,,39.11,-3.57,-0.42,-0.18,0.99,0.92,-13.92,-13.36,84.84,202403.0,-72.01,0.26,,,,0.0,-0.26,0.06,-0.2,0.0,-0.2,14.82,-15.02,0.0,-15.02,0.0,-15.02,,,39.11,-3.84,16.03,530715.0_ALPSINDUS
Alstone Textiles,539277.0,__NA__,Trading,0.82,0.0,0.88,,-77.44,-6.19,968.75,-0.08,0.96,0.88,0.0,0.88,0.0,0.88,0.0,0.0,0.88,,,,127.48,0.01,-0.02,0.7,0.0,4.85,1.47,0.7,212.77,202403.0,,,,,,0.0,-0.08,1.18,1.1,0.0,1.1,0.0,1.1,0.0,1.1,0.0,1.1,,,127.48,0.01,104.54,539277.0___NA__
Alufluoride,524634.0,__NA__,Chemicals,500.95,45.71,5.49,24.08,31.97,21.01,31.35,8.64,0.91,9.55,2.19,7.36,0.73,6.63,1.14,0.0,5.49,31.39,18.9,12.01,7.82,7.02,10.68,8.0,44.63,36.73,5.98,3.64,20.57,202403.0,21.22,44.53,9.39,6.29,8.05,37.64,6.91,0.38,7.29,2.18,5.11,0.77,4.34,1.3,3.04,0.0,3.04,18.36,8.08,7.82,3.89,391.79,524634.0___NA__
Aluwind,-1.0,ALUWIND,Construction,67.5,42.07,,,,70.75,179.26,6.07,,,,,,,,,3.82,,,,,2.09,,,,,,,147.9,202403.0,,,,,,,,,,,,,,,,,,,,,,167.72,-1.0_ALUWIND
Amal,506597.0,__NA__,Chemicals,369.9,21.21,0.37,22.25,109.37,40.39,110.54,3.99,0.07,4.06,2.23,1.83,0.85,0.98,0.61,0.0,0.37,43.99,18.81,1.74,12.36,0.3,5.21,0.09,22.2,16.81,1.71,-2.65,374.46,202403.0,41.46,23.78,2.67,-0.73,-0.59,25.87,6.07,0.06,6.13,2.32,3.81,0.93,2.88,0.61,2.27,0.0,2.27,23.46,8.77,12.36,1.84,457.31,506597.0___NA__
Amalgamated Elec,501622.0,__NA__,Miscellaneous,47.69,0.0,0.01,,200.0,0.0,27.27,-0.02,0.03,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,,,,1.39,0.04,-0.02,-0.06,0.0,0.0,-0.02,-0.06,8.33,202403.0,,,,,,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,,,1.39,-0.04,13.24,501622.0___NA__
Amanaya Ventures,543804.0,__NA__,Trading,24.75,13.17,,,,177.82,25.0,0.04,,,,,,,,,0.03,,,,,0.08,,,,,,,8.33,202403.0,,,,,,17.64,0.08,,,,,,,,,,0.06,,,,0.16,9.25,543804.0___NA__
Amara Raja Ener.,500008.0,ARE&M,Auto Ancillaries,1632.55,2796.73,228.03,14.95,30.98,8.42,23.87,407.72,28.34,436.06,120.99,315.07,9.73,305.34,77.31,0.0,228.03,34.52,14.58,8.15,18.3,12.46,386.98,353.47,2810.76,2769.94,214.32,192.48,18.3,202403.0,8.52,3006.03,409.42,274.3,14.99,2881.73,434.89,23.75,458.64,120.24,338.4,7.68,330.72,77.94,252.78,0.0,252.78,15.09,8.77,17.08,14.8,29879.82,500008.0_ARE&M
Amarjothi Spg.,521097.0,__NA__,Textiles - Cotton/Blended,215.0,69.23,4.48,17.84,3.23,-9.43,-20.67,8.98,0.24,9.22,1.97,7.25,1.87,5.38,0.9,0.0,4.48,37.18,12.97,6.47,6.75,6.64,7.26,5.57,37.3,48.16,3.33,1.46,-3.88,202403.0,-4.58,45.95,6.58,2.52,3.74,34.29,6.42,0.33,6.75,2.08,4.67,1.65,3.02,0.53,2.5,0.0,2.5,18.72,7.29,6.75,3.7,145.09,521097.0___NA__
Amarnath Sec.,538465.0,__NA__,Finance & Investments,56.79,0.1,0.06,0.0,50.0,7.89,-5.0,0.08,0.0,0.08,0.0,0.08,0.0,0.08,0.02,0.0,0.06,100.0,80.0,60.0,3.0,0.2,0.08,0.04,0.1,0.1,0.05,0.02,26.09,202403.0,92.11,0.19,0.12,0.12,0.38,0.11,0.09,0.0,0.09,0.0,0.09,0.0,0.09,0.03,0.06,0.0,0.06,81.82,54.55,3.0,0.2,17.04,538465.0___NA__
Amba Enterprises,539196.0,__NA__,Electric Equipment,238.0,77.55,1.7,16.3,-0.58,29.34,30.44,2.37,0.39,2.76,0.15,2.61,0.11,2.5,0.79,0.0,1.7,4.64,3.06,2.19,6.33,1.34,2.62,1.89,64.22,79.22,1.94,1.18,27.62,202403.0,30.31,103.24,2.99,2.65,2.1,61.14,1.9,0.06,1.96,0.15,1.81,0.05,1.76,0.42,1.34,0.0,1.34,3.11,2.19,6.33,1.06,301.31,539196.0___NA__
Ambalal Sarabhai,500009.0,__NA__,Trading,47.5,54.35,9.02,22.3,57.97,1.93,-51.29,4.65,4.79,9.44,0.25,9.19,0.9,8.29,-0.72,0.0,9.02,43.29,8.56,16.6,76.63,1.18,1.01,-3.97,40.01,36.1,1.08,-4.87,-29.59,202403.0,5.47,38.07,-1.02,-2.76,-0.36,43.11,2.53,1.63,4.16,1.13,3.03,0.99,2.04,0.7,1.33,0.0,1.33,5.87,3.09,76.63,0.17,364.03,500009.0___NA__
Ambani Organics,-1.0,AMBANIORG,Chemicals,105.0,74.17,,,,3.51,-184.08,0.37,,,,,,,,,2.93,,,,,4.15,,,,,,,-35.85,202403.0,,,,,,62.5,4.74,,,,,,,,,,0.11,,,,0.16,74.12,-1.0_AMBANIORG
Ambar Protein,519471.0,__NA__,Solvent Extraction,144.2,89.51,-0.45,-0.54,-2150.0,-2.32,12.1,-0.75,0.31,-0.44,0.34,-0.78,0.5,-1.28,-0.83,0.0,-0.45,4.66,-0.84,-0.5,5.75,-0.78,1.57,2.6,68.61,93.22,0.78,1.26,-0.55,202403.0,-1.64,91.7,2.18,1.22,2.13,85.72,3.82,0.12,3.94,0.39,3.55,0.69,2.86,1.29,1.56,0.0,1.56,4.46,1.82,5.75,2.71,82.92,519471.0___NA__
Ambassador Intra,542524.0,__NA__,Trading,34.74,0.0,0.01,-100.0,133.33,-100.0,200.0,-0.03,0.04,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,,,,2.09,0.05,-0.02,-0.02,0.0,0.0,0.01,0.01,29.41,202403.0,,,,,,0.0,-0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.09,0.0,7.26,542524.0___NA__
Amber Enterp.,540902.0,AMBER,Electronics - Components,4511.8,2805.46,94.67,-6.57,-8.95,-2.86,-16.67,219.55,18.04,237.59,51.46,186.13,48.3,137.83,38.8,0.0,99.03,16.74,7.83,3.53,33.69,28.1,59.56,131.92,927.06,1701.99,-5.65,46.61,16.1,202403.0,-1.97,1668.4,121.14,19.06,5.41,1294.76,78.5,5.21,83.71,46.56,37.15,36.85,0.3,0.81,-0.48,0.0,-0.51,6.06,-0.04,33.69,-0.14,15201.94,540902.0_AMBER
Ambica Agarbat.,532335.0,AMBICAAGAR,Chemicals,25.83,23.35,0.22,-33.59,-87.64,-16.39,-244.66,0.6,4.82,5.42,0.31,5.11,3.49,1.62,1.4,0.0,0.22,33.19,2.57,0.94,17.18,0.13,0.44,1.02,24.31,21.25,-1.49,-1.62,-53.6,202403.0,-14.64,18.14,0.75,-3.05,-1.78,28.93,1.73,0.03,1.76,0.46,1.3,2.07,-0.77,0.0,-0.77,0.0,-0.77,5.98,-2.66,17.18,-0.45,44.36,532335.0_AMBICAAGAR
Ambika Cotton,531978.0,AMBIKCO,Textiles - Cotton/Blended,1650.0,205.79,16.09,10.51,-11.25,-2.84,-43.71,30.37,3.84,34.21,7.23,26.98,5.13,21.85,5.76,0.0,16.09,31.86,14.76,7.82,5.73,28.1,26.45,25.14,199.41,221.95,13.12,20.75,-37.85,202403.0,-1.93,217.66,27.54,15.03,26.25,196.31,27.31,3.86,31.17,6.84,24.33,6.13,18.2,5.18,13.02,0.0,13.02,13.91,6.63,5.72,22.74,944.63,531978.0_AMBIKCO
Ambition Mica,539223.0,__NA__,Miscellaneous,3.09,3.37,-1.51,18.25,66.67,-41.01,92.34,-0.78,0.0,-0.78,0.16,-0.94,0.48,-1.42,0.09,0.0,-1.51,-15.73,-23.15,-44.81,14.92,-1.01,-0.53,-3.01,2.35,3.1,2.0,-3.09,92.03,202306.0,-17.69,2.55,-1.32,-2.54,-1.7,4.44,1.22,0.23,1.45,0.16,1.29,1.7,-0.41,0.05,-0.46,0.0,-0.46,27.48,-10.36,14.92,-0.31,4.61,539223.0___NA__
Ambitious Plasto,526439.0,__NA__,Trading,8.27,4.87,0.02,,150.0,,112.5,0.02,0.0,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.02,1.44,0.41,0.41,5.81,0.03,-0.01,-0.05,0.0,0.0,-0.01,-0.05,106.25,202403.0,,,,,,1.09,0.08,0.03,0.11,0.0,0.11,0.0,0.11,0.0,0.11,0.0,0.11,7.34,10.09,5.81,0.19,4.8,526439.0___NA__
Ambo Agritec,543678.0,__NA__,Solvent Extraction,96.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202403.0,,,,,,,,,,,,,,,,,,,,,,90.55,543678.0___NA__
Ambuja Cements,500425.0,AMBUJACEM,Cement - North India,670.45,8893.99,917.64,11.65,24.34,-14.84,21.22,1698.65,448.46,1935.54,453.06,1482.48,92.91,1601.14,75.36,211.57,1525.78,59.47,19.1,14.92,439.54,4.8,1301.82,1666.95,7423.95,8712.9,987.24,1135.46,24.93,202403.0,6.92,9315.62,1790.75,1238.18,3.48,8128.8,1732.1,203.86,1935.96,417.7,1518.26,70.14,1448.12,358.57,823.05,0.0,1089.55,21.31,13.4,397.13,4.15,165140.11,500425.0_AMBUJACEM
Amco India,530133.0,__NA__,Aluminium and Aluminium Products,58.1,19.98,0.25,-40.41,200.0,-32.75,62.75,0.25,0.59,0.84,0.23,0.61,0.3,0.31,0.07,0.0,0.25,12.76,1.25,1.25,4.11,0.61,0.37,0.33,25.64,29.5,0.53,0.05,-32.79,202403.0,-31.52,20.2,0.24,,,28.47,0.29,0.3,0.59,0.29,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1.02,0.0,4.11,0.0,23.88,530133.0___NA__
AMD Industries,532828.0,AMDIND,Packaging,71.06,74.92,0.09,-34.18,-98.88,-20.65,-108.49,7.34,0.35,7.69,4.07,3.62,3.33,0.29,0.2,0.0,0.09,35.97,9.8,0.12,19.17,0.05,3.44,7.03,60.32,101.34,-1.33,0.79,-56.79,202403.0,-18.63,82.46,6.26,-1.57,-0.82,41.17,3.8,0.22,4.02,3.29,0.73,2.34,-1.61,-0.38,-1.23,0.0,-1.23,9.23,-2.99,19.17,-0.64,136.22,532828.0_AMDIND
Amerise BioScie,531681.0,__NA__,Finance & Investments,0.65,0.0,0.02,,200.0,-100.0,-25.0,-0.02,0.04,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.02,,,,6.61,0.0,-0.04,-0.07,0.0,0.0,-0.04,-0.07,-58.33,202403.0,,,,,,0.0,-0.06,0.0,-0.06,0.0,-0.06,0.0,-0.06,0.0,-0.06,0.0,-0.06,,,6.61,-0.01,4.29,531681.0___NA__
Ameya Precision,-1.0,AMEYA,Engineering,118.4,18.98,0.42,-5.73,-27.59,19.36,60.87,2.81,0.08,0.78,0.19,0.59,0.02,0.57,0.15,0.0,1.84,63.36,11.2,6.72,7.5,2.45,,,,,,,44.14,202403.0,,,,,,15.06,1.36,0.07,0.52,0.18,0.34,0.04,0.3,0.08,0.22,0.0,1.12,6.53,3.19,,1.49,88.8,-1.0_AMEYA
Amforge Inds.,513117.0,__NA__,Finance & Investments,11.82,0.0,-0.48,,-271.43,-100.0,-242.11,-0.92,0.97,0.05,0.12,-0.07,0.08,-0.15,0.34,0.0,-0.48,,,,2.88,-0.33,-0.46,-0.35,0.0,0.0,0.04,0.03,-420.97,202403.0,,,,,,0.0,-0.41,0.51,0.1,0.07,0.03,0.03,0.0,0.01,-0.01,0.0,-0.01,,,2.88,-0.01,17.01,513117.0___NA__
Ami Organics,543349.0,AMIORG,Pharmaceuticals - Indian - Bulk Drugs,1297.0,224.96,25.38,20.7,-6.71,16.33,-29.0,43.16,1.01,44.5,4.9,39.6,2.07,37.2,11.53,-0.33,25.68,39.99,19.19,11.52,36.88,6.82,24.82,34.01,172.36,153.72,-17.02,22.23,4.17,202403.0,16.49,179.07,34.59,28.48,6.82,166.44,26.51,3.49,30.0,3.76,26.24,2.54,23.7,5.89,16.75,0.0,17.81,15.93,10.7,36.88,4.54,5305.45,543349.0_AMIORG
Amiable Logistic,-1.0,AMIABLE,Miscellaneous,82.0,12.23,0.43,73.48,53.57,-17.18,24.07,0.9,0.52,0.84,0.06,0.78,0.06,0.72,0.28,0.0,0.68,100.0,2.0,2.68,1.75,3.89,,,,,,,37.38,202403.0,,,,,,12.18,0.58,0.21,0.91,0.03,0.88,0.01,0.87,0.21,0.65,0.0,0.66,5.21,4.84,,3.78,14.34,-1.0_AMIABLE
Amic Forging,544037.0,__NA__,Castings & Forgings,1289.0,74.63,3.6,,,9.05,41.12,6.79,0.25,5.2,0.17,5.03,0.13,4.9,1.3,0.0,6.72,20.37,16.75,12.18,0.86,6.41,,,,,,,21.53,202403.0,,,,,,,,,,,,,,,,,,,,0.86,,1351.96,544037.0___NA__
Amin Tannery,541771.0,__NA__,Leather / Leather Products,2.28,11.73,0.12,-20.74,-14.29,-10.53,0.0,0.62,0.0,0.62,0.13,0.49,0.33,0.16,0.03,0.0,0.12,32.99,5.29,1.02,10.8,0.01,0.73,0.85,10.11,14.06,0.08,0.11,-11.98,202403.0,-7.46,13.01,0.81,0.17,0.02,11.19,0.75,0.0,0.75,0.24,0.51,0.44,0.07,0.02,0.05,0.0,0.05,6.7,0.45,10.8,0.0,24.62,541771.0___NA__
Amines & Plast.,506248.0,AMNPLST,Chemicals,288.6,177.34,12.94,6.27,51.35,8.32,74.16,22.04,0.13,22.17,1.36,20.81,3.32,17.49,4.54,0.0,12.94,31.4,12.43,7.3,11.0,2.35,15.92,14.14,157.4,137.0,9.09,7.92,62.77,202403.0,8.79,149.04,15.7,11.16,2.03,175.27,17.02,0.98,18.0,1.28,16.72,3.33,13.39,3.51,9.88,0.0,9.88,9.71,5.64,11.0,1.8,1587.87,506248.0_AMNPLST
Amit Internation,531300.0,__NA__,Trading,3.64,0.0,-0.04,,-116.67,,133.33,-0.13,0.11,-0.02,0.0,-0.02,0.0,-0.02,0.02,0.0,-0.04,,,,18.95,-0.02,-0.08,-0.03,0.0,0.0,0.01,0.05,-20.0,202403.0,,,,,,0.0,-0.05,0.1,0.05,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.05,,,18.95,0.03,6.9,531300.0___NA__
AMJ Land Holdin.,500343.0,AMJLAND,Construction,42.4,8.06,4.67,-39.99,199.36,59.76,83.43,5.45,0.25,5.7,0.47,5.23,0.45,4.78,-0.1,0.0,4.87,117.0,67.62,60.42,8.2,1.14,4.4,3.47,17.01,10.39,3.57,2.5,59.43,202403.0,144.43,25.4,8.32,6.88,1.61,20.99,0.62,1.26,1.88,0.47,1.41,0.45,0.96,0.36,0.57,0.0,0.59,2.95,2.81,8.2,0.14,173.84,500343.0_AMJLAND
Amkay Products,544169.0,__NA__,Healthcare,71.11,16.69,,,,11.68,100.76,1.54,,,,,,,,,1.33,,,,,2.09,,,,,,,5.05,202403.0,,,,,,,,,,,,,,,,,,,,,,61.55,544169.0___NA__
Amrapali Inds.,526241.0,__NA__,Trading,17.41,5143.34,0.03,41.28,116.67,-6.08,25.0,-2.51,3.86,1.35,0.85,0.5,0.13,0.37,0.35,0.0,0.03,-0.02,-0.05,0.0,25.71,0.01,1.8,1.51,6965.4,6730.7,0.3,0.18,-17.38,202403.0,,,,,,8461.45,2.86,0.0,2.86,0.37,2.49,2.28,0.21,0.05,0.16,0.0,0.16,0.03,0.0,25.71,0.03,89.51,526241.0___NA__
Amraworld Agrico,531991.0,__NA__,Trading,1.04,0.0,0.53,,5400.0,,458.33,-0.02,0.55,0.53,0.0,0.53,0.0,0.53,0.0,0.0,0.53,,,,12.03,0.04,-0.01,-0.09,0.0,0.01,-0.01,-0.09,-16.67,202403.0,,,,,,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.01,,,12.03,0.0,12.51,531991.0___NA__
Amrutanjan Healt,590006.0,AMRUTANJAN,Pharmaceuticals - Indian - Formulations,764.8,127.06,13.66,26.65,7.56,10.96,12.96,16.24,4.95,21.19,1.53,19.66,0.05,19.61,5.95,0.0,13.66,49.84,12.78,10.75,2.89,4.72,6.84,7.15,99.31,77.86,6.85,7.01,16.32,202403.0,12.91,87.91,9.62,8.25,2.85,116.99,21.57,3.76,25.33,1.58,23.75,0.05,23.7,6.26,17.45,0.0,17.45,18.44,14.92,2.89,6.04,2211.06,590006.0_AMRUTANJAN
Anand Rathi Wea.,543415.0,ANANDRATHI,Finance & Investments,3872.0,184.28,56.6,28.9,32.83,34.54,33.58,73.14,12.91,86.05,5.21,80.84,1.84,79.0,22.13,0.0,56.86,100.0,39.69,30.86,20.91,13.53,77.46,73.36,182.58,175.03,57.68,53.23,33.13,202403.0,32.05,231.13,96.93,88.68,21.1,182.43,79.83,4.83,84.66,5.02,79.64,1.64,78.0,19.96,57.82,0.0,58.04,43.76,31.81,20.87,13.85,16195.9,543415.0_ANANDRATHI
Anand Rayons,542721.0,__NA__,Trading,46.85,94.59,1.92,10.33,-1.03,2.32,-0.95,2.67,0.05,2.72,0.07,2.65,0.73,1.92,0.0,0.0,1.92,4.66,2.82,2.03,14.98,1.28,1.47,1.18,84.54,74.1,0.66,0.92,2.11,202403.0,4.55,77.47,1.42,0.64,0.43,90.6,1.51,0.01,1.52,0.07,1.45,0.72,0.73,0.0,0.73,0.0,0.73,1.67,0.81,14.98,0.49,70.2,542721.0___NA__
Anant Raj,515055.0,ANANTRAJ,Construction,440.05,442.59,78.33,57.98,61.71,55.0,75.22,104.35,10.53,114.88,4.81,110.07,11.41,98.66,10.89,0.0,84.01,29.41,23.58,18.98,68.38,2.29,79.86,59.52,332.28,316.16,60.37,50.12,69.4,202403.0,58.03,499.64,105.8,88.1,2.4,392.27,90.08,8.75,98.83,4.83,94.0,7.7,86.3,16.52,71.43,0.0,71.43,22.96,18.21,64.82,2.22,15044.9,515055.0_ANANTRAJ
Andhra Cements,532141.0,ACL,Cement - South India,97.43,91.84,-18.78,,-112.49,,-309.65,-4.6,7.46,2.86,14.92,-12.06,17.61,-29.67,-10.89,0.0,-18.78,34.03,-5.01,-20.45,92.17,-2.04,7.75,-10.97,65.15,13.2,-0.98,-24.66,87.24,202403.0,,,,,,97.92,4.58,0.44,5.02,15.59,-10.57,20.0,-30.57,-9.38,-21.19,0.0,-21.19,4.68,-21.64,92.17,-2.3,898.03,532141.0_ACL
Andhra Paper,502330.0,ANDHRAPAP,Paper,580.5,364.38,38.41,-38.26,-76.72,-14.16,-36.47,35.26,27.87,63.13,16.71,46.42,0.83,45.59,7.18,0.0,38.41,41.87,9.68,10.54,39.77,9.66,131.24,154.85,482.03,477.59,100.31,118.55,-41.62,202403.0,-10.76,426.22,111.65,94.77,23.83,476.58,109.63,24.12,133.75,16.72,117.03,0.83,116.2,33.73,82.47,0.0,82.47,23.0,17.3,39.77,20.74,2308.67,502330.0_ANDHRAPAP
Andhra Petrochem,500012.0,__NA__,Chemicals,115.2,278.46,43.93,71.42,629.73,15.47,210.44,58.32,6.74,65.06,3.7,61.36,2.17,59.19,15.26,0.0,43.93,25.63,20.94,15.78,84.97,5.17,11.72,1.47,180.64,190.67,8.47,1.18,143.07,202403.0,37.55,262.27,16.98,9.54,1.12,138.91,12.64,6.36,19.0,3.72,15.28,2.18,13.1,3.28,9.82,0.0,9.82,9.1,7.07,84.97,1.16,978.84,500012.0___NA__
Andhra Sugars,590062.0,ANDHRSUGAR,Chlor Alkali / Soda Ash,116.4,433.24,28.92,-19.62,-15.04,-20.0,-58.91,30.28,18.57,53.8,19.66,34.14,0.28,28.91,2.8,-4.95,26.11,30.64,6.99,6.89,27.11,1.87,27.73,40.23,517.9,491.86,19.55,21.69,-63.25,202403.0,-19.82,394.39,26.41,10.06,0.72,451.05,14.87,12.16,27.03,19.11,7.92,0.69,7.23,-1.4,8.64,0.0,8.64,3.3,1.92,27.11,0.74,1577.64,590062.0_ANDHRSUGAR
