Name,BSE Code,NSE Code,Industry,Current Price,Number of equity shares 10years back,Average return on equity 5Years,Average return on equity 3Years,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization,join_key
Golden Crest,540062.0,__NA__,Miscellaneous,79.4,0.52,0.44,0.57,19.98,19.92,,,,,,0.0,0.0,0.0,0.76,0.59,0.46,0.18,0.05,0.33,,4.92,-8.94,930.0,0.0,108.42,91.25,268.95,0.44,0.57,352.54,352.54,352.54,352.54,13.93,9.23,7.96,,2359.86,0.0,0.0,41.65,540062.0___NA__
Golden Tobacco,500151.0,GOLDENTOBC,Construction,42.22,1.76,,,-133.41,-127.71,-14.51,0.82,0.29,0.34,0.43,0.0,0.0,0.0,0.0,0.0,0.0,-2.52,,,,10.06,-2.76,,0.0,28.9,42.91,72.79,-2.29,0.54,20.08,17.61,17.61,17.82,97.02,65.59,36.8,142.81,-3431.17,0.0,0.01,74.35,500151.0_GOLDENTOBC
Goldiam Intl.,526729.0,GOLDIAM,Diamond Cutting / Jewellery,161.6,12.47,15.14,16.95,41.91,36.97,20.53,2.73,2.75,1.8,2.09,0.0,0.0,13.4,23.18,20.49,18.37,15.75,12.7,13.84,3.77,18.19,14.8,51435.0,12.75,94.03,116.11,71.05,12.34,14.13,17.96,7.95,12.93,16.62,756.34,169.33,215.73,49.88,201.93,0.07,0.0,1725.83,526729.0_GOLDIAM
Goldkart Jewels,-1.0,GOLDKART,Trading,99.1,0.08,1.53,2.06,12.69,12.62,,3.74,6.31,4.12,4.99,0.0,0.0,0.0,6.19,5.79,6.76,7.26,1.75,1.84,1.93,2.83,2.66,59.0,0.0,115.38,110.51,37.87,0.85,1.2,227.5,164.14,164.14,164.14,20.14,,,,194.19,0.0,0.0,166.34,-1.0_GOLDKART
Goldline Intl.,538180.0,__NA__,Finance & Investments,0.72,52.1,0.13,0.19,1.02,1.02,,,,,,0.0,0.0,0.0,0.21,0.15,0.16,0.36,0.25,0.12,11.7,8.82,7.1,50747.0,0.0,1001.1,1200.97,3443.4,0.11,0.16,,2223.0,,,12.5,525.13,932.07,,17419.77,0.0,0.0,37.51,538180.0___NA__
Goldstar Power,-1.0,GOLDSTAR,Auto Ancillaries,14.5,2.9,8.49,12.81,0.82,0.81,,2.73,2.22,6.18,2.75,0.0,0.0,0.0,14.5,10.32,9.31,8.4,5.73,7.41,25.51,7.69,5.84,77.0,0.0,81.05,54.15,54.19,4.08,6.38,82.35,54.43,54.43,79.41,23.62,29.88,,,169.95,0.0,0.0,349.03,-1.0_GOLDSTAR
Golech.Glob.Fin.,531360.0,__NA__,Finance & Investments,33.0,0.55,1.9,0.51,16.53,15.98,13.47,,,,,0.0,0.0,0.11,0.28,2.25,3.07,3.26,2.45,2.43,28.31,2.1,5.43,3348.0,-10.48,0.0,0.0,0.0,1.96,0.67,13.2,14.61,13.23,12.42,3.63,4.4,3.29,3.96,246.97,0.0,0.0,18.15,531360.0___NA__
Golkonda Alumin.,513309.0,__NA__,Trading,15.46,1.24,1.09,3.57,16.94,12.39,-11.7,2.29,,,1.59,0.0,,0.0,2.93,0.2,15.08,6.96,,9.48,60.5,,,5236.0,0.0,0.0,434.89,,0.36,3.09,5.91,5.76,5.93,6.45,3.08,4.34,4.96,7.41,999.11,0.0,-0.01,8.15,513309.0___NA__
Golkunda Diamond,523676.0,__NA__,Diamond Cutting / Jewellery,176.0,0.7,17.21,21.15,43.85,40.23,31.43,7.34,6.9,4.63,4.99,0.0,0.0,0.93,17.84,14.11,12.04,11.59,12.96,14.34,30.42,5.37,5.5,6685.0,12.03,102.05,76.68,130.13,6.7,8.79,10.48,8.55,9.53,8.84,13.58,9.22,12.26,4.67,106.13,0.0,0.0,122.5,523676.0___NA__
Goodluck India,530655.0,GOODLUCK,Steel - Medium / Small,917.45,2.2,14.22,16.09,156.47,149.36,82.4,3.53,3.98,4.1,5.95,0.0,0.0,8.91,16.71,14.69,14.17,14.4,13.26,13.19,6.86,7.36,7.44,13501.0,14.55,39.2,54.52,54.33,5.34,6.79,14.76,7.76,9.5,12.69,162.72,148.62,185.73,38.95,97.25,4.03,1.81,2915.1,530655.0_GOODLUCK
Goodricke Group,500166.0,__NA__,Tea,195.0,2.16,-1.8,-6.94,147.84,139.36,98.68,2.57,2.32,2.3,1.45,0.0,0.0,2.59,-3.15,1.0,4.34,6.5,2.06,0.64,,1.57,3.13,13395.0,40.91,27.75,24.45,25.81,-0.83,-3.29,245.76,19.08,36.76,42.6,451.12,470.88,588.17,326.16,34.84,0.0,-0.01,421.22,500166.0___NA__
Goodyear India,500168.0,__NA__,Tyres,1194.05,2.31,14.36,15.78,363.98,397.0,215.39,8.72,7.92,6.73,10.23,0.0,0.0,153.42,21.7,19.89,20.79,24.33,15.93,14.43,5.49,7.88,9.18,46520.0,103.49,38.66,55.22,46.48,8.29,8.2,22.23,18.94,20.87,21.29,2055.92,2179.21,1949.47,853.81,0.73,-0.07,0.56,2754.67,500168.0___NA__
Gopal Iron Stl.,531913.0,__NA__,Trading,8.09,0.49,-15.19,0.8,1.81,-0.79,17.88,,2.05,0.78,0.9,0.0,0.0,0.0,0.45,-7.19,-9.86,-8.85,,,,-6.66,-13.62,3134.0,0.0,2151.46,,298.32,-2.21,0.16,293.0,293.0,293.0,293.0,2.71,2.95,7.69,5.14,702.81,0.0,0.0,3.96,531913.0___NA__
Gopal Snacks,544140.0,GOPAL,Food - Processing - Indian,329.9,,,34.63,,,,0.13,,,,1.08,0.0,0.62,32.56,28.37,28.37,28.37,,,,9.83,,,1.04,4.84,2.44,,,19.06,40.24,40.24,40.24,40.24,,,,,39.15,,,4110.7,544140.0_GOPAL
Gorani Industrie,531608.0,__NA__,Domestic Appliances,109.0,0.54,15.35,16.32,11.86,10.48,4.25,4.46,5.06,3.21,0.71,0.0,0.0,0.0,16.52,14.94,14.06,10.94,14.84,15.72,-3.0,7.28,6.83,2346.0,0.0,74.13,88.87,66.31,6.35,7.05,41.41,22.38,22.31,31.46,6.02,11.24,6.31,12.83,157.64,0.0,-0.18,58.45,531608.0___NA__
Gothi Plascon,531111.0,__NA__,Construction,35.0,1.02,14.51,13.82,11.44,10.85,3.84,2.0,,,,0.0,0.0,1.02,18.31,19.41,21.44,20.63,17.65,17.16,-11.0,65.58,72.84,5879.0,59.89,0.0,0.0,0.0,11.79,11.08,16.64,13.49,13.25,14.07,19.28,7.92,11.42,8.22,637.95,0.0,0.0,35.7,531111.0___NA__
Gourmet Gateway,506134.0,__NA__,Hotels,48.5,,,,,,,,,,,,,,11.66,11.66,11.66,11.66,,,,,,444.0,0.0,34.32,,,,,93.55,93.55,93.55,93.55,9.17,9.52,36.05,218.95,-43.26,0.25,0.0,651.2,506134.0___NA__
Gowra Leasing,530709.0,__NA__,Finance & Investments,42.0,0.3,6.91,8.36,44.5,43.03,37.33,,,,,0.0,0.0,0.12,10.8,8.67,7.76,7.61,5.84,6.17,27.22,47.72,44.29,1674.0,0.0,0.0,2585.63,2681.82,6.24,7.82,5.95,7.06,6.76,6.53,4.82,4.95,5.97,4.28,-30.9,0.0,0.0,12.6,530709.0___NA__
Goyal Aluminiums,541152.0,GOYALALUM,Trading,9.75,,8.23,11.11,1.0,0.99,,12.13,19.79,22.41,,0.0,0.0,0.0,15.17,11.15,10.35,10.35,,7.71,17.03,3.11,,15804.0,0.0,92.22,118.45,44.82,5.13,7.08,84.64,77.32,77.32,77.5,15.41,37.67,,,73.86,0.0,0.0,139.16,541152.0_GOYALALUM
Goyal Associates,530663.0,__NA__,Finance & Investments,1.9,5.08,7.55,9.87,0.53,0.52,-0.27,2.0,4.19,0.43,0.56,0.0,0.0,0.0,12.01,9.49,3.01,1.71,,1.35,23.35,16.48,6.6,8901.0,0.0,60.1,31.2,194.85,3.9,4.92,24.29,23.86,24.14,24.14,16.38,12.91,23.23,1.17,84.01,0.0,0.0,8.94,530663.0___NA__
Goyal Salt,-1.0,GOYALSALT,Food - Processing - Indian,173.0,,,32.71,,,,9.46,,,,0.0,0.0,0.0,28.0,23.37,23.37,23.37,,,,5.27,,,0.0,58.61,83.51,,,15.35,54.45,54.45,54.45,54.45,,,,,67.09,,,309.68,-1.0_GOYALSALT
GP Eco,-1.0,GPECO,Electric Equipment,357.0,,,,,,,,,,,,,,50.19,50.19,50.19,50.19,,,,,,,0.0,41.4,,,,,2.13,2.13,2.13,2.13,,,,,23.76,,,418.09,-1.0_GPECO
GP Petroleums,532543.0,GULFPETRO,Chemicals,66.95,5.1,8.64,9.26,45.72,43.01,25.42,4.47,3.55,4.17,4.33,0.0,0.0,0.76,10.9,9.87,10.0,10.46,8.49,8.56,3.54,5.02,5.37,26778.0,0.0,66.14,58.48,55.29,6.16,7.05,12.74,18.66,15.97,13.07,183.03,327.32,445.6,41.81,119.77,0.55,0.0,341.32,532543.0_GULFPETRO
GPT Healthcare,544131.0,GPTHEALTH,Healthcare,150.8,,,25.64,,,,10.07,,,,0.0,0.0,6.08,26.4,23.41,23.41,23.41,,,,20.69,,,14.31,19.19,25.95,,,13.04,33.71,33.71,33.71,33.71,,,,,14.13,,,1237.38,544131.0_GPTHEALTH
GPT Infraproject,533761.0,GPTINFRA,Construction,282.9,5.82,11.26,13.46,41.21,38.61,27.89,1.07,0.84,0.88,0.9,0.0,0.0,10.47,16.65,15.39,14.73,14.26,9.47,10.36,28.3,12.26,12.57,11612.0,37.45,24.79,49.51,36.68,3.83,4.84,12.16,13.25,11.53,11.2,106.68,145.21,352.23,189.15,143.75,0.74,1.53,1645.7,533761.0_GPTINFRA
Grand Foundry,513343.0,GFSTEELS,Steel - Medium / Small,8.6,,,,-1.01,-0.94,,,39.55,6.91,,0.0,0.0,0.0,0.0,0.0,-88.02,-46.11,,,,-40.3,-13.26,24088.0,0.0,0.0,519.95,21.98,-366.86,-591.14,,13.75,13.75,13.75,6.09,,,,-109.5,0.0,0.01,26.17,513343.0_GFSTEELS
Grandma Trading,504369.0,__NA__,Trading,2.98,13.06,,,-0.01,1.06,1.03,0.0,0.0,0.0,0.95,,,0.0,-5.8,-2.88,-1.79,-0.76,,,,,,1875.0,0.0,0.0,,,-1.62,-2.72,,1232.5,,,27.82,28.34,91.42,376.13,3144.62,0.0,0.0,38.92,504369.0___NA__
Granules India,532482.0,GRANULES,Pharmaceuticals - Indian - Bulk Drugs & Formln,492.8,20.43,18.66,16.49,87.75,72.52,21.1,2.39,3.26,3.44,3.98,0.0,0.0,34.49,17.41,18.95,17.35,17.86,18.38,17.95,-4.35,20.84,19.99,187777.0,8.34,82.08,86.29,107.86,10.99,9.63,17.06,17.63,16.6,16.74,7515.69,2909.86,3175.54,517.55,116.89,1.22,7.84,11943.9,532482.0_GRANULES
Graphisads,-1.0,GRAPHISAD,Miscellaneous,43.6,,,12.68,,,,,,,,0.0,,,14.46,14.46,14.46,14.46,,,,,,,0.0,133.77,335.28,,,4.91,14.63,14.63,14.63,14.63,,,,,152.97,,,79.69,-1.0_GRAPHISAD
Graphite India,509488.0,GRAPHITE,Electrodes - Graphites,566.1,19.54,6.35,10.28,232.46,233.1,89.39,1.13,1.3,1.59,1.0,0.0,0.0,142.55,13.14,8.21,31.07,23.29,17.21,19.52,-29.09,2.29,23.64,250692.0,49.53,64.12,63.32,39.85,4.88,8.08,22.55,19.98,20.06,20.66,10003.23,8731.34,2190.16,1739.82,311.64,-5.72,6.1,11060.22,509488.0_GRAPHITE
Grasim Inds,500300.0,GRASIM,Textiles - Manmade,2711.4,47.45,8.48,8.7,963.01,833.07,487.67,3.53,3.6,4.21,3.29,5.12,7.08,567.25,9.54,9.18,9.14,9.72,7.93,7.75,9.87,20.09,20.01,247265.0,10.06,19.5,20.74,31.63,3.25,3.43,17.98,15.71,17.55,16.91,98261.53,58075.22,40553.16,21959.39,51.75,-2.4,0.7,178540.05,500300.0_GRASIM
Gratex Industrie,526751.0,__NA__,Paper,22.5,0.3,3.49,3.82,10.28,10.15,8.47,0.64,1.96,1.07,-1.76,0.0,0.0,0.0,5.2,5.09,5.52,5.69,4.6,3.91,1.68,8.61,11.5,3727.0,0.0,80.1,186.42,173.24,2.97,3.23,29.2,22.32,27.12,27.97,3.46,3.03,2.72,3.03,215.24,0.0,0.0,6.81,526751.0___NA__
Grauer & Weil,505710.0,__NA__,Chemicals,90.8,45.34,16.73,17.53,11.34,9.81,4.79,3.17,3.17,3.73,3.27,0.0,0.0,13.38,22.87,21.5,22.98,23.11,17.34,17.12,1.82,16.28,17.22,41146.0,14.17,64.5,76.57,68.0,11.5,12.21,21.33,18.2,18.82,18.12,888.66,1115.36,929.47,135.11,55.51,0.57,0.0,4116.96,505710.0___NA__
Graviss Hospital,509546.0,__NA__,Hotels,39.0,7.05,-2.4,0.35,25.45,27.57,33.54,0.08,0.21,0.22,6.24,0.0,0.0,0.0,1.0,-2.08,-1.71,-1.52,-1.7,-1.91,28.72,-2.01,1.74,2139.0,0.0,10.62,69.11,69.05,-1.79,0.32,69.38,69.38,69.38,69.38,104.72,145.97,179.47,133.99,1.81,0.0,0.0,275.02,509546.0___NA__
Gravita India,533282.0,GRAVITA,Mining / Minerals / Metals,1472.5,6.83,34.41,38.25,38.95,32.62,17.0,3.94,5.43,6.1,5.38,0.0,0.0,19.82,29.96,25.9,23.54,20.09,29.05,31.62,33.32,8.58,8.04,53190.0,14.94,22.15,15.37,28.35,14.12,17.85,19.83,20.76,19.54,18.73,624.79,557.88,348.84,236.57,88.24,11.08,0.43,10165.81,533282.0_GRAVITA
Gravity (India),532015.0,__NA__,Textiles - Processing,4.62,0.9,-13.66,-24.37,12.38,12.7,12.6,1.16,14.55,8.35,9.68,0.0,0.0,0.0,-29.12,-18.13,-14.01,-11.39,-10.43,-11.87,,-19.65,-7.46,5585.0,0.0,181.7,1340.91,314.08,-11.31,-18.88,27.81,8.38,1.63,1.57,1.87,1.55,3.82,2.19,326.44,0.0,0.0,4.16,532015.0___NA__
Greaves Cotton,501455.0,GREAVESCOT,Engines,134.8,24.42,2.92,-0.2,33.84,34.55,33.7,5.91,8.11,10.24,8.64,0.0,0.0,15.3,3.88,6.62,11.36,15.15,9.21,6.42,,5.09,8.82,221327.0,-6.9,31.67,50.83,61.99,1.56,-1.32,96.44,26.91,24.75,57.64,2951.35,3399.36,4262.63,1973.19,26.23,-1.73,-7.98,3131.87,501455.0_GREAVESCOT
Greenchef Appli.,-1.0,GREENCHEF,Domestic Appliances,71.0,,,8.82,,,,4.26,,,,0.63,0.93,0.0,9.95,9.63,9.63,9.63,,,,3.96,,,0.0,67.61,91.37,,,2.63,19.45,19.45,19.45,19.45,,,,,95.92,,,165.23,-1.0_GREENCHEF
Greencrest Finan,531737.0,__NA__,Finance & Investments,0.98,36.55,1.55,1.95,1.39,1.38,1.29,0.0,0.32,5.4,0.83,0.0,0.0,0.0,3.34,2.5,2.32,2.44,1.54,1.47,9.39,10.9,7.05,30954.0,0.0,91.21,0.0,0.64,1.19,1.39,21.33,32.5,25.0,25.0,29.24,54.82,2258.79,525.94,207.3,0.0,0.0,35.82,531737.0___NA__
Greenhitech,544163.0,__NA__,Miscellaneous,110.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,30.92,30.92,30.92,30.92,,,,,0.0,,,51.7,544163.0___NA__
Greenlam Industr,538979.0,GREENLAM,Miscellaneous,612.05,12.07,15.2,14.48,47.51,41.48,18.21,1.69,2.08,2.6,4.8,0.0,0.0,15.26,13.29,14.48,15.75,16.37,16.16,15.97,-7.26,12.48,12.4,12889.0,15.34,25.79,41.11,50.34,7.22,6.75,39.62,38.48,36.16,35.68,2262.64,2288.35,1588.41,,74.13,0.03,-1.24,7808.18,538979.0_GREENLAM
Greenpanel Inds.,542857.0,GREENPANEL,Miscellaneous,326.3,,16.24,20.14,59.56,53.96,,3.71,3.42,,,0.0,0.0,11.03,23.27,17.45,15.56,15.56,,,0.8,21.02,,117341.0,9.24,8.39,27.81,27.79,9.23,13.24,22.35,24.59,24.59,24.59,1963.88,,,,21.66,-2.46,7.14,4001.36,542857.0_GREENPANEL
Greenply Industr,526797.0,GREENPLY,Miscellaneous,325.25,12.05,15.42,13.99,35.62,30.82,40.36,3.96,4.95,2.99,3.17,0.0,0.0,5.65,13.71,15.52,14.21,15.82,16.69,14.8,-5.66,9.23,10.84,50076.0,7.34,43.49,60.73,78.85,6.88,6.34,27.86,20.18,22.25,23.76,2090.94,1601.52,2860.99,704.56,47.61,2.36,-1.2,4024.63,526797.0_GREENPLY
Gretex Corporate,543324.0,__NA__,Finance & Investments,528.0,,45.86,51.31,,,,,,,,0.0,0.0,0.1,35.72,21.93,19.48,19.48,,,55.19,36.84,,96.0,0.97,20.17,144.14,25.49,22.2,40.74,29.38,29.38,29.38,29.38,,,,,30.87,,,608.02,543324.0___NA__
Gretex Industrie,-1.0,GRETEX,Trading,127.35,0.01,53.79,87.97,8.26,9.02,,4.6,6.78,4.97,-1.12,0.0,0.0,0.0,57.28,38.43,28.74,21.71,31.16,38.88,236.67,2.22,3.8,55.0,0.0,29.67,37.56,59.59,22.58,39.52,13.13,39.67,52.86,20.14,4.55,2.53,6.53,,74.68,0.0,0.0,53.63,-1.0_GRETEX
Grill Splendour,-1.0,BIRDYS,Hotels,70.0,,,,,,,,,,,0.0,,,36.64,36.64,36.64,36.64,,,,,,,0.0,12.48,4.87,,,11.9,0.04,0.04,0.04,0.04,,,,,-3.07,,,36.46,-1.0_BIRDYS
Grindwell Norton,506076.0,GRINDWELL,Abrasives And Grinding Wheels,2810.0,11.07,18.52,19.63,123.27,107.24,55.63,2.52,2.52,2.68,2.72,0.0,0.0,133.97,25.9,24.14,23.82,23.44,17.31,17.8,4.88,19.22,18.13,51996.0,46.12,43.92,44.98,46.96,13.59,14.6,64.7,39.34,46.24,59.03,10542.76,6597.8,3935.54,1566.41,49.68,3.74,-1.53,31112.32,506076.0_GRINDWELL
GRM Overseas,531449.0,GRMOVER,Food - Processing - Indian,178.25,,31.62,29.14,22.74,16.29,,7.29,5.52,3.79,,0.0,0.0,13.58,20.33,19.98,17.13,16.11,,30.34,6.06,7.08,,19395.0,23.5,123.54,119.77,91.92,10.26,10.72,21.33,16.01,16.2,17.89,632.37,86.11,32.73,10.65,172.07,0.26,-3.06,1069.5,531449.0_GRMOVER
Groarc Industrie,532315.0,__NA__,Finance & Investments,9.8,,2.33,1.34,,,,216.91,,,,0.0,0.0,0.0,1.31,2.42,2.22,2.22,,2.12,-17.19,-1.25,,26961.0,0.0,143.49,391.58,0.0,1.69,0.98,24.89,24.89,24.89,24.89,,,,,152.22,0.0,0.0,20.06,532315.0___NA__
Grob Tea Co,-1.0,GROBTEA,Tea,933.1,0.12,10.13,2.02,647.85,402.82,,1.85,2.06,1.51,1.62,0.0,0.0,0.26,4.29,12.62,10.7,10.24,8.54,8.91,,9.64,9.05,2273.0,-758.58,5.74,9.17,20.91,8.23,1.62,18.2,18.76,19.08,15.04,93.37,46.5,33.55,,114.15,0.0,0.0,108.45,-1.0_GROBTEA
Grovy India,539522.0,__NA__,Construction,163.0,0.14,3.39,6.79,42.12,35.4,,0.7,0.5,1.94,0.49,0.0,0.0,0.02,6.39,3.07,2.58,2.19,3.13,3.18,39.89,2.39,2.04,218.0,1.99,18.85,4.12,0.0,1.63,4.2,24.77,27.76,25.74,24.59,8.55,3.67,4.77,,433.68,0.0,0.0,54.34,539522.0___NA__
Growington Vent,539222.0,__NA__,Trading,5.27,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,262.0,,105.15,,,,,80.29,80.29,80.29,80.29,6.5,8.51,9.2,,232.54,0.0,0.0,84.62,539222.0___NA__
GRP,509152.0,GRPLTD,Miscellaneous,14979.0,0.13,6.93,10.23,986.87,953.95,845.57,3.85,5.35,4.49,5.92,0.0,0.0,1.9,10.1,7.11,6.4,6.88,5.85,5.57,29.47,7.03,7.24,3091.0,19.67,73.97,83.38,67.13,3.23,4.91,32.85,23.36,26.48,29.64,106.66,148.0,213.6,141.36,97.53,0.0,0.0,1992.2,509152.0_GRPLTD
GSB Finance,511543.0,__NA__,Finance & Investments,21.9,0.6,3.12,4.3,19.48,18.88,17.3,0.03,0.73,7.35,50.69,0.0,0.0,0.0,6.29,5.33,4.42,4.99,2.61,2.61,106.14,33.57,5.24,11839.0,0.0,0.0,0.0,0.0,2.28,3.2,14.58,10.34,12.94,13.89,4.7,4.64,5.59,2.26,185.06,0.0,0.0,13.13,511543.0___NA__
GSL Securities,530469.0,__NA__,Finance & Investments,21.25,0.33,0.67,1.43,17.78,17.42,5.29,,,,,0.0,0.0,0.0,2.0,1.45,8.39,5.82,5.98,6.91,-27.46,16.84,46.13,3816.0,0.0,0.0,0.0,0.0,0.7,1.45,10.78,15.3,14.71,15.43,1.39,0.55,0.44,0.11,602.35,0.0,0.0,6.91,530469.0___NA__
GSM Foils,-1.0,GSMFOILS,Aluminium and Aluminium Products,47.85,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,94.14,,,,,0.07,0.07,0.07,0.07,,,,,186.13,,,61.31,-1.0_GSMFOILS
GSS Infotech,532951.0,GSS,Computers - Software - Medium / Small,92.0,1.69,2.99,3.94,80.15,84.03,99.46,,,,0.0,0.0,0.0,0.0,4.56,3.57,4.81,4.31,1.69,4.09,-22.61,4.12,4.17,11498.0,0.0,89.2,86.07,75.01,2.24,3.27,63.77,23.43,32.48,34.94,88.58,196.81,40.82,41.0,34.06,4.13,-3.52,240.65,532951.0_GSS
GTL,500160.0,GTL,Telecommunications - Service Provider,13.88,15.73,,,-427.25,-431.52,-39.64,,,243.49,143.87,0.0,0.0,0.0,0.0,0.0,0.0,-9.66,,,,-11.1,-12.7,123529.0,0.0,46.87,0.15,0.02,-12.13,-3.15,6.44,6.09,6.09,6.09,82.58,73.93,269.76,224.93,-494.6,0.08,-11.09,218.33,500160.0_GTL
GTL Infra.,532775.0,GTLINFRA,Telecommunications - Equipment,3.43,232.51,,,-1.03,-0.16,1.92,218.12,240.0,330.54,564.37,0.0,0.0,0.0,-6.42,-5.09,-4.17,-2.5,,,,26.13,28.42,1130999.0,0.0,46.16,27.3,26.17,-14.26,-15.71,,,,,999.73,1170.31,1414.55,334.49,-1006.15,-1.73,-17.71,4392.81,532775.0_GTLINFRA
GTN Industries,500170.0,__NA__,Textiles - Cotton/Blended,33.62,1.75,10.52,23.14,26.09,29.57,31.57,3.68,4.42,3.5,4.94,0.0,0.0,0.0,19.23,13.99,11.34,9.87,1.19,4.25,8.34,9.56,7.58,14835.0,0.0,31.56,32.39,27.57,2.25,6.14,2.1,3.78,2.1,2.1,19.84,16.93,31.57,12.63,89.53,0.0,-0.08,58.97,500170.0___NA__
GTN Textiles,532744.0,__NA__,Textiles - Cotton/Blended,13.39,,-39.83,-59.23,35.37,63.79,,2.07,2.66,2.28,,32.53,0.92,0.0,-2.85,-4.48,-1.87,-1.19,,-23.8,,-4.33,,14824.0,0.0,11.63,17.67,36.28,-10.49,-8.42,4.1,143.33,143.33,4.1,5.66,12.57,21.48,6.19,584.96,0.01,-0.27,15.59,532744.0___NA__
GTPL Hathway,540602.0,GTPL,Entertainment / Electronic Media Software,178.1,0.2,16.23,14.1,78.26,64.76,,0.47,0.35,,,0.0,0.0,42.73,18.08,22.28,20.53,17.46,12.88,14.43,17.92,18.72,20.34,29358.0,34.68,44.19,61.03,83.88,7.11,6.5,11.67,10.66,10.66,9.24,1346.74,778.81,,,-94.08,-1.24,-0.49,2002.97,540602.0_GTPL
GTV Engineering,539479.0,__NA__,Castings & Forgings,562.0,,6.85,9.2,83.07,81.24,,5.57,5.31,6.03,3.37,0.0,0.0,0.0,8.76,7.07,6.3,5.6,4.72,5.86,36.13,2.93,3.04,1348.0,0.0,39.7,60.0,35.03,3.22,4.52,29.74,22.43,23.17,25.1,8.15,9.68,5.69,,49.89,0.0,0.0,175.57,539479.0___NA__
Gufic BioScience,509079.0,GUFICBIO,Pharmaceuticals - Indian - Bulk Drugs & Formln,352.2,7.74,26.85,26.97,22.28,16.62,3.5,2.4,1.73,1.88,2.68,12.22,0.0,0.68,28.69,27.13,28.28,26.48,27.09,27.44,-10.38,17.96,16.08,38902.0,0.74,109.63,93.18,107.37,11.8,13.77,25.7,34.21,31.58,25.58,891.15,592.29,513.6,40.22,122.2,-0.02,-1.04,3531.77,509079.0_GUFICBIO
Guj Apollo Inds,522217.0,GUJAPOLLO,Engineering,243.01,1.52,1.96,1.98,421.15,389.52,232.86,2.67,0.98,2.22,2.0,0.0,0.0,2.21,2.72,2.78,2.84,2.55,2.67,2.6,-12.85,-11.12,-12.97,7159.0,15.93,130.79,71.1,127.9,1.83,1.83,24.64,13.88,14.86,16.62,257.04,186.38,195.61,189.87,1353.59,0.09,0.0,286.75,522217.0_GUJAPOLLO
Guj Inds. Power,517300.0,GIPCL,Power Generation And Supply,241.9,15.13,6.69,6.02,188.76,181.69,121.42,3.48,3.81,4.16,0.18,0.0,0.0,47.8,7.9,8.82,10.45,11.49,8.21,7.84,-12.74,32.23,33.38,72252.0,27.41,86.67,80.76,55.61,4.64,4.12,7.97,7.03,6.69,7.03,1145.73,1075.4,1558.64,992.96,104.57,3.38,-4.1,3658.73,517300.0_GIPCL
Guj Pipavav Port,533248.0,GPPL,Miscellaneous,210.75,,12.9,13.49,46.32,47.33,,2.67,3.31,1.87,,0.0,0.0,231.08,18.7,17.58,17.06,17.18,,12.26,8.62,57.23,,139831.0,81.49,26.99,24.04,26.5,10.69,10.91,19.55,20.96,19.6,18.02,4691.78,4810.23,7981.59,3055.34,-71.83,-3.72,-4.95,10188.48,533248.0_GPPL
Guj. Ambuja Exp,524226.0,GAEL,Solvent Extraction,135.45,55.34,17.19,16.96,36.31,28.92,14.92,5.52,5.71,3.94,4.37,32.92,0.0,14.45,21.61,21.24,20.1,17.66,16.63,17.41,-5.75,10.55,9.59,86225.0,4.21,20.68,17.48,19.78,13.59,13.94,14.22,11.29,12.74,12.8,2932.47,2519.09,1362.04,408.96,77.19,0.54,2.29,6212.69,524226.0_GAEL
Guj. Containers,513507.0,__NA__,Packaging,170.0,0.56,29.08,33.26,25.79,20.69,16.12,8.39,5.59,5.15,8.3,0.0,0.0,0.17,28.38,22.74,19.72,18.1,22.55,25.97,21.31,10.77,9.65,9993.0,3.13,65.83,91.1,99.42,11.34,16.19,8.92,8.51,8.68,8.61,9.41,6.48,6.82,4.78,86.84,0.0,0.0,96.05,513507.0___NA__
Guj. Craft Inds,526965.0,__NA__,Packaging,109.3,0.49,8.3,8.66,83.83,76.59,29.7,4.57,4.68,4.25,2.67,33.52,0.0,0.29,10.36,9.98,9.62,9.51,7.31,7.44,6.72,6.36,6.29,5211.0,12.23,50.25,56.26,70.48,3.84,4.34,9.85,9.02,9.86,9.04,17.6,15.32,12.22,3.35,106.33,0.0,0.0,53.43,526965.0___NA__
