Name,BSE Code,NSE Code,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization,join_key
Divgi Torq,543812.0,DIVGIITTS,Auto Ancillaries,671.7,1.56,15.29,0.0,565.05,0.4,2.14,641.39,212.16,0.0,95.44,227.35,25.45,0.05,379.29,54.67,0.0,0.0,6.01,641.39,325.07,1.21,35.73,63.1,5.0,264.31,0.23,37.63,3.06,2.54,347.77,116.73,212.16,92.69,192.17,146.65,,,1.12,0.59,,,105.41,78.42,,2054.27,543812.0_DIVGIITTS
Divi's Lab.,532488.0,DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs,4555.85,3.0,53.0,0.0,13518.0,0.0,3.26,15470.0,6364.76,0.0,1642.16,4739.0,778.0,82.0,9675.0,1278.0,0.0,0.0,89.03,15470.0,8398.0,3.0,3184.0,2156.0,2.0,3980.0,32.72,824.0,26.55,3.26,8211.15,4722.6,6364.76,211.88,5063.39,2510.56,1756.08,1143.39,4.83,105.6,35.74,18.42,3703.87,2087.77,1559.19,120943.5,532488.0_DIVISLAB
Divine Power,-1.0,__NA__,Mining / Minerals / Metals,,47.63,15.78,0.0,3.48,39.9,7.73,72.53,15.42,0.0,7.04,8.38,0.61,0.07,62.52,45.76,0.0,0.0,0.0,72.53,57.24,0.0,31.39,27.69,,1.32,0.19,3.64,,47.63,57.24,8.38,15.42,0.61,50.6,,,,44.58,,,,5.14,,,85.87,-1.0___NA__
Divyashakti,526315.0,__NA__,Miscellaneous,78.69,4.23,10.27,0.0,113.41,0.0,0.27,143.28,57.92,0.0,30.17,25.32,0.0,0.0,117.63,17.31,0.0,0.0,0.0,143.28,104.54,0.0,7.52,97.8,10.0,9.39,0.11,10.43,1.03,0.27,98.4,27.75,57.92,0.0,83.26,66.27,86.89,63.0,0.05,0.22,0.0,0.0,30.11,31.43,7.96,80.8,526315.0___NA__
Dixon Technolog.,540699.0,DIXON,Electronics - Consumer,12389.95,488.98,11.96,8.82,1682.89,173.8,270.47,6991.45,1530.68,0.0,287.04,2000.32,64.27,20.04,4836.28,4731.62,0.0,0.0,3124.85,6991.45,169.05,333.95,1695.01,2317.88,2.0,208.65,77.21,4059.75,5.96,444.27,223.31,1243.64,1530.68,119.7,310.06,262.67,92.2,69.61,294.53,141.24,42.95,93.59,550.23,240.94,136.56,74135.4,540699.0_DIXON
DJ Mediaprint,543193.0,DJML,Miscellaneous,319.2,17.8,10.83,0.0,22.72,7.95,9.85,60.05,31.3,0.0,9.61,21.7,0.0,0.1,36.81,18.61,0.0,0.0,0.0,60.05,28.11,2.33,6.36,17.97,10.0,0.45,0.17,6.05,1.08,12.32,25.51,12.18,17.5,0.0,7.52,4.33,2.35,0.77,5.96,5.31,2.68,0.79,5.26,2.71,1.39,345.62,543193.0_DJML
DLF,532868.0,DLF,Construction,824.3,4833.87,495.06,0.0,38935.75,3058.12,275.87,60262.39,6011.27,0.0,1225.88,3882.62,68.1,20137.69,32018.39,14136.61,0.0,0.0,9396.35,60262.39,20048.66,235.15,21154.13,538.07,2.0,4384.34,0.0,1787.82,247.53,3333.99,16178.26,4785.38,6011.27,61.12,16472.66,17060.2,19518.69,17676.89,6785.41,17222.46,29202.23,22334.07,4856.26,6321.67,24640.21,204039.95,532868.0_DLF
DMCC Speciality,506405.0,DMCC,Chemicals,319.0,65.23,24.94,0.0,184.22,91.35,9.79,376.87,285.49,0.0,55.97,238.12,5.89,0.54,115.02,107.02,0.0,0.0,16.23,376.87,15.32,0.15,44.08,45.57,10.0,3.33,0.0,64.78,2.49,101.14,18.14,229.52,285.49,11.33,30.24,33.17,-2.38,5.82,32.28,18.9,29.93,28.84,108.12,98.6,83.34,795.59,506405.0_DMCC
DMR Hydroengg.,543410.0,__NA__,Miscellaneous,165.0,0.23,3.73,0.0,3.95,0.0,0.51,9.46,2.95,0.0,0.52,1.14,0.0,3.45,4.84,1.51,1.32,0.0,0.0,9.46,3.52,0.0,0.0,3.52,10.0,0.46,0.0,0.09,0.37,0.51,2.61,2.43,2.95,0.0,1.41,0.74,,,0.0,0.17,,,0.65,0.08,,62.6,543410.0___NA__
Docmode Health,-1.0,DHTL,Miscellaneous,131.0,9.18,2.29,0.0,7.23,1.1,7.38,26.4,2.21,0.0,0.14,9.47,0.0,1.26,15.51,10.98,1.2,0.0,0.0,26.4,9.33,0.0,2.51,7.91,10.0,3.1,0.0,2.79,0.23,8.48,8.96,2.07,2.21,0.0,1.3,,,,1.06,,,,0.16,,,41.17,-1.0_DHTL
Dodla Dairy,543306.0,DODLA,Food - Processing - Indian,1023.0,45.79,59.49,0.0,1079.38,30.0,15.79,1477.69,1052.24,0.0,338.78,713.46,12.36,196.18,525.13,262.12,0.0,0.0,0.86,1477.69,268.48,15.79,389.18,10.51,10.0,103.44,0.0,148.38,5.95,32.33,71.85,623.52,902.14,58.12,182.6,28.52,,,98.62,166.89,,,548.94,500.47,,6086.1,543306.0_DODLA
Dolat Algotech,505526.0,DOLATALGO,Finance & Investments,137.6,84.1,17.6,0.0,774.5,15.48,124.76,908.21,3.07,0.0,1.65,3.73,0.0,90.1,399.05,115.53,0.0,0.0,984.82,908.21,367.59,0.0,0.0,0.0,1.0,7.09,0.0,0.0,17.6,140.24,328.32,1.42,3.07,0.0,86.17,66.35,50.87,41.75,114.32,0.0,0.0,0.0,0.54,0.02,0.02,2421.76,505526.0_DOLATALGO
Dolfin Rubbers,542013.0,__NA__,Tyres,206.0,14.65,10.03,0.0,18.25,12.02,1.05,62.83,27.53,0.0,7.35,25.15,0.0,0.0,36.9,20.3,0.0,0.0,0.71,62.83,28.62,0.0,19.79,15.37,10.0,0.83,0.75,4.68,1.0,13.07,25.49,20.18,27.53,2.18,16.03,7.08,,,11.11,1.85,,,17.57,8.97,,206.62,542013.0___NA__
Dollar Industrie,541403.0,DOLLAR,Textiles - Products,538.25,300.65,11.34,0.0,779.38,161.62,0.0,1326.24,196.75,0.0,99.51,230.06,16.85,15.21,1028.49,484.93,0.0,0.0,3.43,1326.24,802.56,15.11,467.19,480.51,2.0,0.18,3.04,177.81,5.67,161.62,665.92,97.23,196.75,87.75,553.43,546.71,309.9,173.45,124.02,223.33,216.01,151.22,85.24,70.2,74.85,3052.77,541403.0_DOLLAR
Dollex Agrotech,-1.0,DOLLEX,Sugar,38.0,100.86,24.97,0.0,32.87,24.62,18.3,270.52,43.94,0.0,9.43,31.67,7.75,0.0,188.95,117.56,0.0,0.0,0.0,270.52,79.7,0.0,162.2,13.57,10.0,9.96,3.12,101.67,2.5,42.92,48.2,34.51,43.94,0.73,26.9,-0.92,,,50.26,8.78,,,44.22,28.37,,94.88,-1.0_DOLLEX
Dolphin Medical,526504.0,__NA__,Healthcare,1.92,0.8,15.1,0.0,-5.03,0.0,0.76,12.13,3.95,0.0,1.07,6.61,0.31,0.41,1.97,0.67,0.41,0.0,0.0,12.13,1.3,0.0,0.01,0.0,10.0,0.02,0.0,0.0,1.51,0.76,1.3,2.87,3.95,4.09,1.31,1.91,2.03,1.56,0.61,6.22,8.21,8.1,3.0,6.79,10.03,2.9,526504.0___NA__
Dolphin Offshore,522261.0,DOLPHIN,Oil Drilling / Allied Services,681.0,1.16,4.0,0.0,217.33,0.0,18.03,227.46,263.56,0.0,205.84,2.62,46.55,14.68,172.64,4.97,0.0,0.0,0.0,227.46,167.67,1.16,0.0,141.31,1.0,0.23,0.0,0.29,3.16,18.03,137.63,57.72,263.56,0.0,,,283.44,230.15,,,58.15,138.83,,,323.66,2724.31,522261.0_DOLPHIN
Doms Industries,544045.0,DOMS,Printing & Stationery,2091.0,171.9,60.69,0.0,753.72,60.44,79.36,1189.99,433.02,0.0,112.82,498.17,25.4,1.49,616.48,206.15,0.0,0.0,0.26,1189.99,455.51,56.04,225.1,64.65,10.0,305.9,16.17,90.44,0.04,139.8,143.84,320.21,433.02,6.89,131.37,,,,97.02,,,,190.71,,,12689.69,544045.0_DOMS
Donear Inds.,512519.0,DONEAR,Textiles - Processing,137.8,337.55,10.4,0.0,194.15,317.44,36.03,710.26,156.81,0.0,65.48,86.91,8.41,7.6,589.4,459.26,0.0,0.0,0.5,710.26,453.82,0.0,328.66,173.88,2.0,15.38,19.65,69.91,5.2,353.47,448.99,91.32,156.81,0.63,257.53,332.05,254.06,233.54,237.04,301.44,264.4,310.81,81.7,78.23,89.66,716.56,512519.0_DONEAR
Dr Agarwal's Eye,526783.0,__NA__,Healthcare,3284.0,268.02,4.7,0.0,152.45,43.83,188.64,495.76,364.56,0.0,104.19,315.63,97.44,0.0,59.83,80.77,0.0,0.0,2.08,495.76,-0.97,216.72,9.75,12.93,10.0,33.74,1.03,31.84,0.47,232.47,10.19,260.37,364.56,62.21,14.51,-0.45,-4.27,-3.82,67.55,23.76,23.06,27.86,95.72,54.74,33.21,1543.48,526783.0___NA__
Dr Lal Pathlabs,539524.0,LALPATHLAB,Healthcare,2831.8,246.93,83.48,0.0,1765.81,0.0,246.93,2453.57,1862.41,0.0,634.88,1227.53,5.65,113.78,1012.92,465.19,0.0,0.0,10.09,2453.57,691.64,163.6,37.31,77.4,10.0,830.31,10.82,186.56,8.34,419.5,559.58,1305.06,1807.22,4.94,851.8,490.56,286.82,65.25,150.37,0.0,0.0,0.87,447.26,208.66,152.43,23639.94,539524.0_LALPATHLAB
Dr Lalchand. Lab,541299.0,__NA__,Healthcare,23.5,3.48,4.33,0.0,5.21,1.21,5.19,14.99,8.05,0.02,2.65,3.99,0.0,0.41,9.48,5.03,0.24,0.0,0.0,14.99,7.67,0.0,1.44,4.7,10.0,2.29,0.0,1.23,0.43,6.4,7.07,5.39,8.05,0.0,6.45,4.48,,,4.04,0.9,,,5.24,3.28,,10.18,541299.0___NA__
Dr Reddy's Labs,500124.0,DRREDDY,Pharmaceuticals - Indian - Bulk Drugs & Formln,6421.85,2002.0,83.4,0.0,28171.4,0.0,1347.2,38863.8,25567.1,0.0,16348.0,10493.9,1351.0,4930.5,24805.3,9588.0,235.8,134.5,0.0,38863.8,16620.3,349.7,6355.2,8029.8,5.0,1727.7,116.9,2614.4,16.65,1347.2,8623.2,9219.1,25567.1,1030.1,7468.9,4172.4,4199.3,5529.6,3030.8,3838.1,4918.5,4477.0,8205.7,7191.0,6930.7,107135.55,500124.0_DRREDDY
DRA Consultants,540144.0,__NA__,Miscellaneous,56.0,0.0,10.97,0.0,19.16,0.0,0.0,33.94,11.39,0.0,4.68,7.26,0.0,10.37,15.07,3.81,7.23,0.0,0.0,33.94,11.26,0.0,0.0,9.61,10.0,2.26,0.0,2.36,1.1,0.0,9.56,6.71,11.39,0.0,7.46,11.36,9.14,5.21,0.0,0.12,0.15,0.19,7.49,1.2,0.99,61.43,540144.0___NA__
DRC Systems,543268.0,DRCSYSTEMS,Computers - Software - Medium / Small,28.31,0.0,13.25,0.0,34.58,0.0,0.0,78.56,24.38,0.0,19.04,27.76,0.0,20.84,29.7,28.86,0.0,0.0,0.0,78.56,0.84,0.0,0.0,19.69,1.0,4.14,0.0,0.13,13.17,0.0,10.06,5.35,24.38,0.0,,,,,,,,,,,,375.03,543268.0_DRCSYSTEMS
Dreamfolks Servi,543591.0,DREAMFOLKS,Miscellaneous,484.7,6.11,10.61,0.0,225.77,0.88,6.42,418.61,24.2,0.0,10.18,11.86,0.0,43.87,397.72,173.02,0.0,44.41,16.62,418.61,225.77,5.67,0.0,264.99,2.0,57.63,0.07,162.96,5.22,7.3,101.9,14.02,24.2,0.04,15.08,21.51,,,9.47,2.04,,,38.56,3.56,,2532.56,543591.0_DREAMFOLKS
Dredging Corpn.,523618.0,DREDGECORP,Miscellaneous,1106.0,426.37,28.0,0.0,1235.6,280.56,0.0,2402.97,3469.19,0.0,1942.95,1438.46,31.04,0.0,619.7,798.28,0.0,0.0,526.8,2402.97,-63.83,0.0,116.68,175.11,10.0,50.28,51.38,265.09,2.8,280.56,83.48,1526.24,3469.19,4.71,227.98,382.5,392.05,443.58,426.58,652.02,817.78,1257.4,1609.12,1718.56,1807.53,3096.8,523618.0_DREDGECORP
Drone Destinatio,-1.0,DRONE,Miscellaneous,372.15,3.98,5.0,0.0,37.33,0.86,0.73,76.03,6.73,0.0,1.4,14.85,0.5,0.0,59.37,11.85,0.0,0.0,0.0,76.03,49.05,0.0,2.55,19.0,10.0,21.42,0.67,5.21,,1.59,13.85,5.33,6.73,0.0,0.27,,,,0.55,,,,0.27,,,904.33,-1.0_DRONE
Droneacharya Aer,543713.0,__NA__,Miscellaneous,146.65,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,2.4,,,,,,,,,,,,,,,,,351.79,543713.0___NA__
DRS Dilip Road,-1.0,DRSDILIP,Miscellaneous,135.0,6.36,15.06,0.0,12.85,6.36,0.0,69.87,60.82,0.0,19.15,8.27,0.0,3.07,17.57,40.17,0.0,0.0,0.14,69.87,-16.8,0.0,0.19,10.91,10.0,1.91,0.69,27.32,1.51,6.36,-5.51,41.67,60.82,0.0,6.59,-1.28,-7.35,7.04,11.51,21.79,32.51,28.04,44.72,44.99,14.44,203.34,-1.0_DRSDILIP
DSJ Keep Learn,526677.0,KEEPLEARN,Miscellaneous,2.9,3.25,8.76,0.09,-8.52,0.0,2.9,5.51,0.86,0.0,0.25,2.13,0.0,0.16,3.22,2.04,0.0,0.0,0.0,5.51,1.31,0.25,0.0,2.18,1.0,0.02,0.0,0.49,15.57,2.9,1.72,0.61,0.86,0.56,0.01,0.1,-0.67,-0.63,2.17,1.91,1.44,0.72,0.0,0.0,0.0,45.16,526677.0_KEEPLEARN
DU Digital,-1.0,DUGLOBAL,Miscellaneous,75.0,10.93,2.91,0.0,63.9,0.71,3.58,93.65,8.6,0.0,1.77,10.37,0.0,23.75,66.97,11.14,0.0,0.0,5.9,93.65,62.59,5.21,0.45,11.2,2.0,35.17,0.06,2.05,6.96,4.29,19.13,6.83,8.6,0.41,1.19,-4.25,,,0.28,1.17,,,0.45,1.48,,523.06,-1.0_DUGLOBAL
Ducol Organics,-1.0,DUCOL,Dyes And Pigments,143.0,20.36,14.54,0.0,48.2,12.8,0.0,98.11,33.42,0.0,16.11,20.1,14.83,0.87,61.22,26.85,0.0,0.0,2.18,98.11,48.78,0.0,19.79,12.2,10.0,27.41,0.0,10.4,1.45,12.8,23.32,17.31,33.42,11.34,14.51,,,,16.57,,,,15.12,,,207.92,-1.0_DUCOL
Ducon Tech,534674.0,DUCON,Engineering - Turnkey Services,8.45,103.07,25.99,0.0,94.41,69.03,25.88,292.01,16.4,0.0,11.05,4.23,0.0,5.11,274.29,157.36,0.0,0.0,8.22,292.01,213.69,0.0,0.0,257.95,1.0,10.92,2.28,48.33,25.99,94.91,206.14,5.35,16.4,0.0,204.67,,,,65.32,,,,0.38,,,219.65,534674.0_DUCON
Dugar Housing,511634.0,__NA__,Construction,12.26,1.14,0.3,0.0,-1.2,0.0,0.0,0.28,0.18,0.0,0.17,0.01,0.0,0.13,0.14,0.0,0.0,0.0,0.0,0.28,0.14,0.0,0.0,0.0,10.0,0.01,0.0,0.0,0.03,0.0,0.44,0.01,0.18,0.0,0.26,0.35,0.29,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.37,511634.0___NA__
Duke Offshore,531471.0,__NA__,Oil Drilling / Allied Services,19.68,0.17,9.91,0.0,-2.83,0.17,0.16,7.57,16.65,0.0,12.21,3.96,0.0,0.0,1.86,0.41,0.0,0.0,0.34,7.57,1.62,0.0,0.0,1.08,10.0,0.52,0.0,0.11,0.99,0.33,0.93,4.45,16.65,0.0,3.54,3.21,3.32,0.74,0.6,8.34,9.55,0.83,6.43,21.59,21.38,19.39,531471.0___NA__
Duncan Engg.,504908.0,__NA__,Engineering,561.95,0.87,3.7,0.0,49.22,1.06,0.42,68.49,32.29,0.0,15.63,16.55,0.0,23.02,51.77,13.71,7.5,11.69,1.6,68.49,38.68,0.34,11.28,7.75,10.0,8.33,0.78,6.09,0.37,1.48,9.12,16.67,32.29,0.0,9.83,9.6,10.12,19.33,0.25,6.73,14.62,16.27,15.56,16.49,20.84,207.92,504908.0___NA__
Durlax Top,-1.0,DURLAX,Miscellaneous,88.85,60.71,12.43,0.0,9.42,40.6,20.11,105.53,40.49,0.0,20.14,20.35,0.0,0.48,83.82,62.45,0.0,0.0,0.0,105.53,61.37,0.0,49.3,30.09,10.0,1.23,0.38,21.41,1.24,36.91,33.95,19.35,37.37,0.0,24.74,,,,37.47,,,,24.18,,,147.74,-1.0_DURLAX
Duropack,526355.0,__NA__,Packaging,75.3,0.0,5.27,0.0,13.17,0.0,0.0,21.89,12.19,0.0,6.94,5.24,0.8,9.22,5.89,2.9,0.0,0.0,0.0,21.89,2.99,0.0,1.48,2.04,10.0,1.55,0.49,1.79,0.53,0.0,4.17,5.26,12.19,0.0,3.55,2.46,2.33,3.32,0.0,0.0,0.0,0.0,3.07,2.45,1.32,39.68,526355.0___NA__
Duroply Indust.,516003.0,__NA__,Miscellaneous,296.5,47.65,9.87,0.0,116.58,36.23,10.19,259.72,116.12,0.0,14.09,103.34,0.23,8.61,147.93,105.15,0.0,0.0,71.93,259.72,77.31,6.62,87.62,34.5,10.0,4.1,0.88,64.03,0.78,46.42,39.16,102.03,116.12,0.23,35.38,25.72,31.92,37.48,67.88,48.72,55.53,50.8,97.88,101.34,15.96,292.44,516003.0___NA__
Dutron Polymers,517437.0,__NA__,Plastics Products,176.9,6.25,6.0,0.0,20.43,0.0,6.25,36.26,22.34,0.19,15.24,7.1,0.0,0.0,23.27,2.01,0.0,0.0,0.0,36.26,21.26,0.0,10.49,11.92,10.0,0.66,0.0,0.01,0.6,9.64,23.19,7.68,21.82,0.0,24.18,24.58,22.32,17.14,13.25,16.59,15.66,10.71,8.66,8.74,8.8,106.14,517437.0___NA__
Dwarikesh Sugar,532610.0,DWARKESH,Sugar,74.23,455.77,18.83,0.0,803.25,450.52,5.25,1415.31,1226.43,0.0,643.35,583.08,0.4,0.54,824.7,382.71,0.0,0.0,0.22,1415.31,746.55,5.26,740.91,35.65,1.0,33.56,0.0,43.16,18.83,374.68,544.92,582.3,1183.27,0.0,744.71,709.3,428.15,-20.04,609.47,655.64,532.8,392.2,409.94,319.42,330.6,1375.5,532610.0_DWARKESH
Dynacons Sys.,532365.0,DSSL,Computers - Software - Medium / Small,1154.6,35.77,12.71,0.0,144.85,63.22,5.41,587.03,9.06,0.0,2.33,5.5,0.0,0.81,577.37,414.51,0.0,0.5,46.45,587.03,187.29,2.57,73.39,401.52,10.0,87.89,0.0,381.92,1.27,68.63,166.53,6.73,9.06,0.0,87.03,64.22,38.09,21.33,43.51,35.43,20.1,13.89,6.39,2.5,3.03,1467.83,532365.0_DSSL
Dynamatic Tech.,505242.0,DYNAMATECH,Engineering,7377.7,585.09,6.79,0.0,660.95,537.59,215.95,1572.25,1004.2,0.0,322.5,791.57,9.98,0.33,754.82,576.57,0.0,0.0,26.0,1572.25,467.51,126.93,305.64,298.82,10.0,61.41,9.06,185.15,0.63,753.54,557.55,681.7,1004.2,78.52,410.38,245.01,172.88,-56.51,743.86,659.2,680.39,591.52,708.17,643.87,759.25,5010.51,505242.0_DYNAMATECH
Dynamic Cables,540795.0,DYCL,Cables - Power,586.45,119.26,22.01,0.0,191.94,47.97,34.37,498.53,113.46,0.0,57.85,62.66,7.31,1.03,426.36,276.89,0.0,0.0,116.88,498.53,263.07,0.1,126.61,255.28,10.0,29.93,4.49,152.87,2.2,82.34,200.82,55.6,113.46,2.51,180.4,156.4,86.24,,117.81,132.65,86.5,,54.51,57.72,18.27,1291.0,540795.0_DYCL
Dynamic Industri,524818.0,__NA__,Dyes And Pigments,72.0,15.05,3.03,0.0,43.67,2.16,0.28,73.75,32.53,0.0,6.42,40.81,0.32,2.5,29.16,15.7,0.0,0.0,2.75,73.75,18.05,0.0,14.34,9.28,10.0,0.24,0.0,10.26,0.3,2.44,19.09,26.11,32.53,2.15,21.77,23.64,20.31,24.6,2.57,3.32,4.58,15.5,21.88,23.42,22.15,21.82,524818.0___NA__
Dynamic Portfol,530779.0,__NA__,Finance & Investments,42.12,0.25,11.61,0.0,0.22,0.0,7.44,13.82,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.73,0.0,0.0,0.0,13.82,-0.83,0.0,0.84,0.0,10.0,0.06,0.0,0.49,1.17,7.44,0.93,0.0,0.0,0.0,1.13,1.72,1.09,1.71,2.34,1.01,0.0,0.04,0.01,0.0,0.05,49.24,530779.0___NA__
Dynamic Services,-1.0,DYNAMIC,Miscellaneous,225.0,25.48,13.52,0.0,66.06,12.2,6.19,116.66,3.95,0.0,0.86,0.8,4.25,14.03,68.53,32.32,0.0,0.0,6.92,116.66,57.19,0.0,2.27,32.55,10.0,0.51,0.0,7.51,1.35,18.39,54.49,3.09,3.95,0.0,44.48,25.53,,,49.32,30.88,,,0.67,0.66,,309.28,-1.0_DYNAMIC
Dynavision,517238.0,__NA__,Miscellaneous,346.0,24.26,3.84,0.0,14.24,0.0,0.0,68.14,6.9,0.0,0.36,39.53,0.0,0.0,23.02,3.19,0.0,0.0,0.0,68.14,19.83,0.0,1.65,0.0,10.0,19.78,0.67,0.51,0.38,0.0,17.98,6.55,6.9,0.03,,,,,,,,,,,,132.86,517238.0___NA__
Dynemic Products,532707.0,DYNPRO,Dyes And Pigments,297.55,115.76,12.03,0.0,190.61,147.97,0.0,399.69,319.29,0.0,59.98,244.63,0.0,0.98,133.07,151.22,0.0,0.0,1.16,399.69,62.62,1.22,65.83,56.08,10.0,1.82,2.58,67.0,1.17,147.97,63.46,259.31,319.29,0.0,74.48,73.78,56.96,35.05,152.82,31.43,25.48,27.67,34.47,38.4,34.81,357.9,532707.0_DYNPRO
E Factor Experie,-1.0,EFACTOR,Miscellaneous,228.0,3.77,9.63,0.0,37.31,5.46,3.67,97.29,14.21,0.0,7.26,8.33,0.0,0.55,85.14,45.27,0.0,0.0,4.82,97.29,42.99,0.0,0.0,50.11,10.0,26.18,0.21,33.04,0.96,9.13,9.66,6.95,14.21,0.24,-4.02,-4.36,,,6.83,9.29,,,3.09,4.32,,298.41,-1.0_EFACTOR
E-Land Apparel,532820.0,__NA__,Textiles - Processing,9.0,63.04,47.99,0.0,-546.52,0.0,49.58,177.48,97.99,28.81,13.1,97.9,0.0,0.01,77.44,43.72,0.0,0.0,0.84,177.48,35.57,14.03,19.13,25.4,10.0,17.14,1.83,28.87,4.8,49.58,29.71,84.89,97.99,0.13,6.58,29.78,37.61,138.67,59.84,35.05,128.02,338.24,48.37,41.99,45.51,43.19,532820.0___NA__
E2E Networks,-1.0,E2E,Computers - Software - Medium / Small,1642.05,144.03,14.48,0.0,56.38,0.6,5.29,255.24,89.87,5.97,47.86,210.39,0.0,0.0,38.54,57.18,0.0,0.0,0.0,255.24,7.49,40.95,0.0,2.56,10.0,9.01,0.69,6.04,1.45,5.89,14.68,42.0,89.87,0.0,3.75,4.27,2.71,,3.8,0.0,2.2,,26.5,11.28,11.23,2378.81,-1.0_E2E
Earthstahl &All.,543765.0,__NA__,Steel - Medium / Small,43.03,12.97,12.24,0.0,24.68,6.95,5.78,60.34,37.41,0.0,13.25,22.97,11.91,0.15,14.61,14.13,0.13,0.0,0.7,60.34,5.75,0.0,9.92,1.61,10.0,1.03,0.48,6.09,1.22,12.73,14.82,24.16,37.41,1.56,-0.25,-3.44,,,13.97,14.99,,,15.84,17.07,,52.67,543765.0___NA__
East Buildtech,507917.0,__NA__,Construction,31.5,0.65,1.91,0.0,4.5,0.65,0.0,7.15,0.09,0.0,0.08,0.0,0.0,0.0,7.02,0.75,0.0,0.0,0.0,7.15,6.92,0.0,6.66,0.01,10.0,0.16,0.0,0.0,0.19,0.65,6.92,0.0,0.09,0.0,6.65,6.53,6.41,5.66,0.46,0.13,0.5,0.0,0.0,0.01,0.13,5.91,507917.0___NA__
East West Holdin,540006.0,__NA__,Miscellaneous,9.18,57.94,25.52,0.0,39.21,0.0,0.0,135.97,0.01,0.0,0.0,36.96,1.65,6.01,91.52,34.85,0.0,0.0,0.0,135.97,80.86,0.63,0.0,69.79,2.0,6.89,0.0,7.08,12.31,0.0,1.93,0.0,0.01,0.0,-0.5,10.76,4.27,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.12,540006.0___NA__
Eastcoast Steel,520081.0,__NA__,Trading,25.0,2.55,5.4,0.0,13.99,0.0,2.55,28.83,0.4,0.0,0.39,0.01,0.0,1.28,28.31,9.28,0.0,0.0,0.0,28.83,21.58,0.0,0.0,9.39,10.0,17.68,0.0,6.48,0.54,2.55,5.54,0.01,0.4,0.0,-1.51,-0.46,-9.5,2.29,2.55,13.77,1.94,2.55,0.03,1.11,1.17,13.5,520081.0___NA__
Eastern Treads,531346.0,__NA__,Miscellaneous,39.9,30.96,5.41,2.4,-15.07,25.21,6.0,35.37,26.84,0.0,12.55,13.51,0.0,0.0,21.79,35.07,0.0,0.0,4.2,35.37,10.18,0.0,7.15,12.09,10.0,1.28,0.04,9.51,0.52,31.21,11.85,14.29,26.84,0.0,28.96,19.64,16.81,18.02,29.57,21.88,21.35,11.89,12.0,16.87,15.96,20.88,531346.0___NA__
Easun Capital Ma,542906.0,__NA__,Finance & Investments,46.22,0.0,5.23,0.0,15.83,0.0,0.0,21.09,0.0,0.0,0.0,0.0,0.0,14.82,0.1,0.03,0.0,0.0,0.0,21.09,0.07,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.52,0.0,1.26,0.0,0.0,0.0,0.27,7.79,6.3,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.17,542906.0___NA__
Easy Trip Plann.,543272.0,EASEMYTRIP,Travel Agencies,41.58,19.47,177.2,0.0,427.32,82.63,4.19,893.61,41.53,0.0,4.84,130.7,0.0,40.03,560.25,244.77,0.0,0.0,147.08,893.61,326.03,6.65,0.85,232.55,1.0,101.54,0.0,79.19,173.83,86.82,411.58,36.69,41.53,0.0,172.85,,,,17.34,,,,11.61,,,7368.13,543272.0_EASEMYTRIP
eClerx Services,532927.0,ECLERX,Computers - Software - Medium / Small,2418.0,265.74,48.23,0.0,2199.27,0.0,193.56,2928.97,1292.6,0.0,520.09,842.94,0.77,406.5,1949.75,376.96,0.0,270.46,63.09,2928.97,1613.7,265.74,0.65,496.0,10.0,692.09,0.0,19.16,4.9,193.56,801.68,772.51,1292.6,20.82,719.95,727.11,624.96,268.69,174.73,1.67,1.06,0.0,728.03,347.91,325.06,11854.34,532927.0_ECLERX
Eco Hotels,514402.0,__NA__,Hotels,47.87,0.0,29.87,,-9.13,,,38.46,,,,16.71,0.0,0.0,21.45,1.84,,,,38.46,19.61,0.0,0.0,0.02,10.0,21.11,,0.2,1.78,,,,,,,,4.87,,,,48.47,,,,4.4,150.03,514402.0___NA__
Eco Recyc.,530643.0,__NA__,Miscellaneous,609.0,6.09,19.29,0.0,46.53,0.0,2.31,80.61,38.82,1.85,5.08,39.36,0.0,17.74,30.43,5.93,0.0,4.93,3.93,80.61,24.9,4.94,6.28,4.45,10.0,1.51,0.24,0.27,1.93,2.31,-3.23,33.74,38.82,0.0,4.48,10.46,20.24,,11.38,20.24,19.6,,21.68,21.88,14.47,1175.17,530643.0___NA__
