Name,BSE Code,NSE Code,Industry,Current Price,Sales,OPM,Profit after tax,Return on capital employed,EPS,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year,Dividend last year,Material cost last year,Employee cost last year,OPM last year,NPM last year,Operating profit,Interest,Depreciation,EPS last year,EBIT,Net profit,Current Tax,Tax,Other income,Last annual result date,Sales preceding year,Operating profit preceding year,Other income preceding year,EBIDT preceding year,Depreciation preceding year,EBIT preceding year,Interest preceding year,Profit before tax preceding year,Tax preceding year,Profit after tax preceding year,Extraordinary items preceding year,Net Profit preceding year,Dividend preceding year,OPM preceding year,NPM preceding year,EPS preceding year,Sales preceding 12months,Net profit preceding 12months,Market Capitalization,join_key
G G Engineering,540614.0,__NA__,Trading,2.07,212.11,3.72,7.1,7.77,0.05,-1.64,212.11,7.89,3.2,11.09,0.15,10.94,0.63,10.31,3.2,7.1,0.0,7.1,0.0,94.05,0.32,3.72,3.35,7.89,0.63,0.15,0.05,10.94,7.1,3.19,3.2,3.2,202403.0,99.57,0.05,8.85,5.38,0.11,5.27,0.02,8.77,0.83,4.79,3.52,7.93,0.0,0.05,4.81,0.09,160.62,7.0,289.7,540614.0___NA__
G K Consultants,531758.0,__NA__,Finance & Investments,16.13,1.1,17.27,0.14,2.73,0.26,0.0,1.1,0.19,0.0,0.19,0.0,0.19,0.0,0.19,0.05,0.14,0.0,0.14,0.0,46.36,0.21,17.27,12.73,0.19,0.0,0.0,0.26,0.19,0.14,0.0,0.05,0.0,202403.0,0.66,-0.2,0.0,-0.2,0.0,-0.2,0.01,-0.21,-0.05,-0.16,0.0,-0.16,0.0,-30.3,-24.24,-0.3,0.94,0.11,8.57,531758.0___NA__
G K P Printing,542666.0,__NA__,Trading,9.77,28.2,-2.84,-1.77,-5.5,-0.8,0.0,28.2,-0.8,0.13,-0.67,0.68,-1.35,0.42,-1.77,0.01,-1.77,0.0,-1.77,0.0,82.02,1.93,-2.84,-6.28,-0.8,0.42,0.68,-0.8,-1.35,-1.77,0.0,0.01,0.13,202403.0,56.07,1.95,-0.02,2.08,0.59,1.49,0.16,1.18,0.33,0.97,-0.15,0.86,0.0,3.48,1.73,0.39,36.05,0.26,21.51,542666.0___NA__
G M Breweries,507488.0,GMBREW,Breweries & Distilleries,655.25,615.23,17.46,147.68,23.53,66.46,0.0,615.23,107.39,80.33,183.11,6.13,176.98,0.37,181.22,29.69,147.68,4.61,151.52,12.8,43.03,14.94,17.46,24.0,107.39,0.37,6.13,66.46,176.98,151.52,30.3,29.69,80.33,202403.0,593.51,117.0,20.47,131.28,5.81,125.47,0.04,131.62,31.75,95.15,6.19,99.86,10.97,19.71,16.03,43.8,611.35,99.98,1497.07,507488.0_GMBREW
G M D C,532181.0,GMDCLTD,Mining / Minerals / Metals,397.25,2462.88,25.43,617.24,13.78,19.41,0.0,2462.88,626.2,273.47,899.67,78.73,820.94,2.92,818.02,200.77,617.24,0.0,617.24,271.89,0.1,148.36,25.43,25.06,626.2,2.92,78.73,19.41,820.94,617.24,210.75,200.77,273.47,202403.0,3501.44,1347.87,396.01,1743.72,81.16,1662.56,2.28,1660.44,444.7,1215.61,0.16,1215.73,364.11,38.49,34.72,38.23,2660.8,852.28,12632.55,532181.0_GMDCLTD
G M Polyplast,543239.0,__NA__,Plastics Products,192.0,92.02,12.32,7.09,37.46,5.27,0.0,92.02,11.34,0.18,11.52,1.29,10.23,0.37,9.86,2.78,7.09,0.0,7.09,0.0,75.16,3.02,12.32,7.7,11.34,0.37,1.29,5.27,10.23,7.09,2.78,2.78,0.18,202403.0,82.26,7.92,0.09,8.01,1.22,6.79,0.31,6.48,1.56,4.92,0.0,4.92,0.0,9.63,5.98,3.66,,,258.42,543239.0___NA__
G N F C,500670.0,GNFC,Chemicals,722.9,7930.0,6.34,485.0,7.72,33.01,0.0,7930.0,503.0,469.0,972.0,308.0,664.0,13.0,651.0,166.0,485.0,0.0,485.0,242.55,56.8,625.0,6.34,6.12,503.0,13.0,308.0,33.01,664.0,485.0,205.0,166.0,469.0,202403.0,10226.93,1878.52,361.23,2238.58,302.94,1935.64,5.26,1931.55,467.57,1463.14,1.17,1463.98,466.26,18.37,14.31,94.2,8091.0,692.0,10622.35,500670.0_GNFC
G R Infraproject,543317.0,GRINFRA,Construction,1725.4,8980.15,23.63,1088.61,17.0,136.9,-5.0,8980.15,2122.3,415.49,2231.51,244.23,1987.28,564.61,1728.95,405.99,1088.61,306.28,1322.97,0.0,66.57,665.42,23.63,12.12,2122.3,564.61,244.23,136.9,1987.28,1322.97,341.15,405.99,415.49,202403.0,9481.51,2553.7,87.3,2629.78,245.65,2384.13,443.01,1952.34,497.91,1446.04,11.22,1454.43,0.0,26.93,15.25,150.42,8956.15,1159.56,16682.71,543317.0_GRINFRA
G S Auto Intl.,513059.0,__NA__,Auto Ancillaries,36.58,150.7,6.15,0.69,10.13,0.48,0.0,150.7,9.27,0.36,9.63,3.86,5.77,4.76,1.01,0.32,0.69,0.0,0.69,0.0,49.81,26.07,6.15,0.46,9.27,4.76,3.86,0.48,5.77,0.69,0.0,0.32,0.36,202403.0,128.53,3.81,0.14,3.94,3.84,0.1,4.92,-4.81,-2.01,-2.8,0.01,-2.79,0.0,2.96,-2.18,-1.92,149.56,-0.85,53.1,513059.0___NA__
G S F C,500690.0,GSFC,Fertilizers,247.6,9154.64,5.61,563.78,5.77,14.15,0.0,9154.64,513.16,385.31,898.47,183.48,714.99,11.2,703.79,140.01,563.78,0.0,563.78,159.4,63.52,849.83,5.61,6.16,513.16,11.2,183.48,14.15,714.99,563.78,142.38,140.01,385.31,202403.0,11368.69,1588.15,151.58,1738.45,182.02,1556.43,15.03,1542.68,276.76,1264.95,1.28,1265.92,398.5,13.97,11.13,31.77,9573.26,764.27,9866.34,500690.0_GSFC
G V Films,523277.0,__NA__,Entertainment / Electronic Media Software,0.84,0.58,-134.48,-0.43,-2.27,0.0,0.0,0.58,-0.78,0.23,-0.55,0.32,-0.87,0.56,-1.43,-1.01,-0.43,0.0,-0.43,0.0,0.0,0.15,-134.48,-74.14,-0.78,0.56,0.32,0.0,-0.87,-0.43,0.0,-1.01,0.23,202403.0,1.41,0.44,0.0,0.44,0.57,-0.13,0.72,-0.85,0.17,-1.03,0.0,-1.03,0.0,31.21,-73.05,-0.01,1.63,-1.69,76.85,523277.0___NA__
G-Tec Janix,-1.0,GTECJAINX,Miscellaneous,67.0,8.32,4.45,-0.12,2.59,-0.12,0.0,8.32,0.37,0.11,0.48,0.34,0.14,0.01,0.13,0.24,-0.12,0.0,-0.12,0.0,-0.96,1.72,4.45,-1.44,0.37,0.01,0.34,-0.12,0.14,-0.12,0.12,0.24,0.11,202403.0,8.3,1.44,0.25,1.69,0.37,1.32,0.04,1.28,-0.02,1.3,0.0,1.3,0.0,17.35,15.66,1.28,8.75,0.93,68.27,-1.0_GTECJAINX
G-Tech Info.,532139.0,__NA__,Computers - Software - Medium / Small,1.6,0.0,,0.01,18.18,0.03,0.0,0.0,-0.09,0.11,0.02,0.0,0.02,0.0,0.02,0.0,0.01,0.0,0.01,0.0,,0.04,,25.0,-0.09,0.0,0.0,0.03,0.02,0.01,0.0,0.0,0.11,202403.0,0.04,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,25.0,25.0,0.03,0.0,0.0,0.56,532139.0___NA__
Gabriel India,505714.0,GABRIEL,Auto Ancillaries,488.05,3342.65,8.94,185.16,26.89,12.89,0.0,3342.65,299.0,22.14,321.14,65.68,255.46,5.42,250.04,64.88,185.16,0.0,185.16,35.9,74.94,206.37,8.94,5.54,299.0,5.42,65.68,12.89,255.46,185.16,66.97,64.88,22.14,202403.0,2971.74,213.69,17.39,230.86,48.59,182.27,4.59,177.9,45.55,132.19,0.22,132.35,36.62,7.19,4.45,9.21,3221.01,166.16,7010.55,505714.0_GABRIEL
Gabriel Pet,544108.0,__NA__,Textiles - Manmade,150.0,10.72,8.4,0.65,,2.46,,10.72,0.9,0.01,0.91,0.01,0.9,0.02,0.88,0.23,0.65,0.0,0.65,0.0,78.54,0.31,8.4,6.06,0.9,0.02,0.01,2.46,0.9,0.65,0.23,0.23,0.01,202403.0,,,,,,,,,,,,,,,,,,,39.7,544108.0___NA__
GACM Tech,531723.0,GATECH,Finance & Investments,1.23,7.21,33.56,1.1,13.71,0.03,0.0,7.21,2.42,0.03,2.45,0.71,1.74,0.63,1.11,0.0,1.1,0.0,1.1,0.0,0.0,2.93,33.56,15.26,2.42,0.63,0.71,0.03,1.74,1.1,0.0,0.0,0.03,202403.0,9.58,0.48,0.06,0.54,0.69,-0.15,1.06,-1.21,0.0,-1.22,0.0,-1.22,0.0,5.01,-12.73,-0.04,8.49,0.97,60.82,531723.0_GATECH
GACM Tech-DVR,570005.0,GATECHDVR,Finance & Investments,3.08,9.62,5.41,-1.22,-1.41,-0.21,0.0,9.62,0.52,0.02,0.54,0.69,-0.15,1.06,-1.21,0.0,-1.22,0.0,-1.22,0.0,0.0,2.27,5.41,-12.68,0.52,1.06,0.69,-0.21,-0.15,-1.22,0.0,0.0,0.02,202303.0,1.59,-11.2,4.2,-7.0,0.47,-7.47,0.61,-8.08,0.0,-8.08,0.0,-8.08,0.0,-704.4,-508.18,-1.41,,,18.2,570005.0_GATECHDVR
Gagan Gases,524624.0,__NA__,Chemicals,22.29,2.13,7.98,0.06,3.82,0.13,0.21,2.13,0.17,0.03,0.2,0.07,0.13,0.04,0.09,0.03,0.06,0.0,0.06,0.0,61.03,0.37,7.98,2.82,0.17,0.04,0.07,0.13,0.13,0.06,0.04,0.03,0.03,202403.0,2.21,0.21,2.36,0.27,0.07,0.2,0.05,2.45,0.59,0.14,2.3,1.87,0.0,9.5,6.33,4.14,1.83,0.03,10.09,524624.0___NA__
GAIL (India),532155.0,GAIL,Miscellaneous,220.1,133228.46,10.73,9899.22,14.64,15.06,0.0,133228.46,14296.32,2689.89,16986.21,3672.0,13314.21,719.2,12595.01,2692.2,9899.22,0.0,9902.81,3616.3,81.03,2273.69,10.73,7.43,14296.32,719.2,3672.0,15.06,13314.21,9902.81,2680.63,2692.2,2689.89,202403.0,145668.3,7502.16,2822.37,10339.05,2701.57,7637.48,366.58,7256.38,1660.49,5606.98,-14.52,5595.89,3287.55,5.15,3.85,8.54,133678.76,8071.26,144717.93,532155.0_GAIL
Gajanan Sec.Serv,538609.0,__NA__,Finance & Investments,89.0,0.36,66.67,0.98,0.21,3.16,0.0,0.36,0.24,0.0,0.24,0.0,0.24,0.0,0.24,0.08,0.98,0.0,0.98,0.0,0.0,0.04,66.67,272.22,0.24,0.0,0.0,3.16,0.24,0.98,0.02,0.08,0.0,202403.0,0.06,-0.11,0.0,-0.11,0.0,-0.11,0.0,-0.11,0.01,0.52,0.0,0.52,0.0,-183.33,866.67,1.68,0.2,0.3,27.6,538609.0___NA__
Gala Global,539228.0,__NA__,Printing & Stationery,3.6,75.3,-0.08,-0.14,1.23,0.04,-0.71,75.3,-0.06,1.49,1.01,0.18,0.83,0.97,0.28,0.06,-0.14,0.42,0.21,0.0,99.3,0.36,-0.08,-0.19,-0.06,0.97,0.18,0.04,0.83,0.21,0.03,0.06,1.49,202403.0,84.48,1.72,0.22,1.95,0.24,1.71,1.62,0.08,0.05,0.03,-0.01,0.03,0.0,2.04,0.04,0.01,89.63,-0.3,19.66,539228.0___NA__
Galactico Corpo.,542802.0,__NA__,Finance & Investments,3.97,22.63,11.36,2.06,7.27,0.14,-7.54,22.63,2.57,2.06,4.63,0.95,3.68,0.75,2.93,0.86,2.06,0.0,2.06,0.0,59.04,3.49,11.36,9.1,2.57,0.75,0.95,0.14,3.68,2.06,0.67,0.86,2.06,202403.0,35.88,14.49,-0.44,14.58,0.98,13.6,0.71,12.36,2.61,9.91,-0.53,9.75,0.0,40.38,28.34,0.64,33.3,9.11,59.16,542802.0___NA__
Galada Finance,538881.0,__NA__,Finance & Investments,16.47,1.34,66.42,0.34,9.72,1.13,0.0,1.34,0.89,0.11,1.0,0.19,0.81,0.41,0.4,0.06,0.34,0.0,0.34,0.0,0.0,0.33,66.42,25.37,0.89,0.41,0.19,1.13,0.81,0.34,0.05,0.06,0.11,202403.0,0.91,0.38,0.03,0.38,0.05,0.33,0.3,0.06,0.04,0.01,0.03,0.02,0.0,41.76,1.1,0.07,1.15,0.22,4.94,538881.0___NA__
Galaxy Agrico,531911.0,__NA__,Castings & Forgings,41.55,7.32,-3.55,-0.56,-11.0,-2.05,-1.48,7.32,-0.26,0.15,-0.11,0.52,-0.63,0.08,-0.71,-0.16,-0.56,0.0,-0.56,0.0,32.65,1.85,-3.55,-7.65,-0.26,0.08,0.52,-2.05,-0.63,-0.56,0.0,-0.16,0.15,202403.0,5.71,-0.25,0.38,-0.18,0.57,-0.75,0.09,-0.53,-0.12,-0.72,0.31,-0.41,0.0,-4.38,-12.61,-1.5,8.19,-0.58,11.34,531911.0___NA__
Galaxy Bearings,526073.0,__NA__,Bearings,1415.0,127.12,16.44,18.84,27.63,59.25,0.0,127.12,20.9,6.83,27.73,1.8,25.93,0.5,25.43,6.58,18.84,0.0,18.84,0.0,43.91,6.73,16.44,14.82,20.9,0.5,1.8,59.25,25.93,18.84,5.1,6.58,6.83,202403.0,118.68,21.1,2.7,23.73,1.74,21.99,0.43,21.63,5.69,15.9,0.07,15.95,0.0,17.78,13.4,50.16,131.17,18.63,449.96,526073.0___NA__
Galaxy Cloud,506186.0,__NA__,Food - Processing - Indian,42.92,2.12,-291.98,-5.35,,-3.17,0.0,2.12,-6.19,-6.56,-3.87,0.32,-4.19,1.16,-14.23,0.0,-5.35,-8.88,-14.23,0.0,69.34,1.61,-291.98,-252.36,-6.19,1.16,0.32,-3.17,-4.19,-14.23,0.0,0.0,-6.56,202403.0,22.08,-7.25,1.63,-0.26,2.38,-2.64,1.0,-9.0,0.0,-9.09,-5.36,-9.0,0.0,-32.84,-41.17,-2.0,9.61,-18.42,192.87,506186.0___NA__
Galaxy Surfact.,540935.0,GALAXYSURF,Chemicals,2759.05,3794.38,12.18,301.47,17.39,85.03,-0.01,3794.38,462.22,35.46,497.68,99.81,397.87,22.4,375.47,74.0,301.47,0.0,301.47,77.99,67.94,275.46,12.18,7.95,462.22,22.4,99.81,85.03,397.87,301.47,73.07,74.0,35.46,202403.0,4443.17,568.28,9.85,579.07,83.48,495.59,21.7,472.95,91.97,381.74,-0.94,380.98,205.61,12.79,8.59,107.46,3844.98,314.5,9782.12,540935.0_GALAXYSURF
Gallantt Ispat L,532726.0,GALLANTT,Steel - Medium / Small,362.0,4227.12,10.6,225.34,11.96,9.34,0.0,4227.12,448.19,6.85,455.04,115.53,339.51,28.2,311.31,85.98,225.34,0.0,225.34,24.13,78.97,108.18,10.6,5.33,448.19,28.2,115.53,9.34,339.51,225.34,55.56,85.98,6.85,202403.0,4034.58,342.02,25.34,367.41,100.25,267.16,27.22,239.89,98.98,140.94,-0.05,140.91,0.0,8.48,3.49,5.84,4143.1,197.87,8734.37,532726.0_GALLANTT
Gallops Enterp.,531902.0,__NA__,Construction,22.1,0.08,12.5,0.01,0.67,0.02,0.0,0.08,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,-100.0,0.03,12.5,12.5,0.01,0.0,0.0,0.02,0.01,0.01,0.0,0.0,0.0,202403.0,0.0,-0.14,0.1,-0.04,0.0,-0.04,0.0,-0.04,0.0,-0.04,0.0,-0.04,0.0,,-40.0,-0.08,0.1,0.08,11.09,531902.0___NA__
Gandhar Oil Ref.,544029.0,GANDHAR,Refineries,209.15,4113.21,6.78,140.52,21.7,14.36,0.0,4113.21,278.73,9.89,288.62,20.13,268.49,58.19,210.3,44.99,140.52,0.0,165.32,4.89,88.01,56.74,6.78,4.02,278.73,58.19,20.13,14.36,268.49,165.32,42.81,44.99,9.89,202403.0,4079.44,317.48,22.28,339.83,16.51,323.32,52.3,270.95,57.78,190.16,-0.07,213.17,0.0,7.78,5.23,23.76,4160.66,181.58,2046.94,544029.0_GANDHAR
Gandhi Spl. Tube,513108.0,GANDHITUBE,Steel - Medium / Small,804.0,170.88,37.52,55.58,36.25,45.74,0.0,170.88,64.12,12.38,76.5,3.07,73.43,0.09,73.34,17.76,55.58,0.0,55.58,15.81,38.61,7.9,37.52,32.53,64.12,0.09,3.07,45.74,73.43,55.58,17.51,17.76,12.38,202403.0,167.47,60.69,5.45,62.35,3.13,59.22,0.14,62.87,15.53,44.49,3.79,47.34,14.59,36.24,26.57,38.96,166.14,52.69,977.02,513108.0_GANDHITUBE
Ganesh Benzopl.,500153.0,GANESHBE,Miscellaneous,150.35,226.72,39.44,60.63,18.22,8.42,-1.95,226.72,89.42,15.83,105.25,17.47,87.78,6.21,81.57,20.95,60.63,0.0,60.63,0.0,3.62,22.04,39.44,26.74,89.42,6.21,17.47,8.42,87.78,60.63,21.07,20.95,15.83,202403.0,192.69,77.95,10.63,88.84,15.27,73.57,5.15,68.16,17.23,51.12,-0.26,50.94,0.0,40.45,26.53,7.81,218.25,56.69,1082.36,500153.0_GANESHBE
Ganesh Holdings,504397.0,__NA__,Finance & Investments,170.0,0.14,-35.71,-0.04,-2.48,-0.99,0.0,0.14,-0.05,0.0,-0.05,0.0,-0.05,0.0,-0.05,-0.01,-0.04,0.0,-0.04,0.0,0.0,0.08,-35.71,-28.57,-0.05,0.0,0.0,-0.99,-0.05,-0.04,-0.01,-0.01,0.0,202403.0,0.2,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.01,0.03,0.0,0.03,0.0,20.0,15.0,0.74,0.12,-0.05,6.88,504397.0___NA__
Ganesh Housing,526367.0,GANESHHOUC,Construction,952.7,892.01,69.86,460.71,45.22,55.25,0.0,892.01,623.13,6.93,630.06,6.59,623.47,3.73,619.74,159.04,460.71,0.0,460.71,91.73,25.71,17.78,69.86,51.65,623.13,3.73,6.59,55.25,623.47,460.71,159.67,159.04,6.93,202403.0,615.62,251.78,4.47,256.25,2.72,253.53,13.48,240.05,137.9,100.08,0.0,102.16,20.01,40.9,16.59,12.0,794.53,387.33,7944.26,526367.0_GANESHHOUC
Ganesha Ecosphe.,514167.0,GANECOS,Textiles - Processing,1417.7,1122.93,12.28,40.57,8.0,16.01,-5.87,1122.93,137.86,14.63,152.49,48.68,103.81,44.9,58.91,18.33,40.57,0.0,40.57,7.6,61.53,75.03,12.28,3.61,137.86,44.9,48.68,16.01,103.81,40.57,20.98,18.33,14.63,202403.0,1179.63,127.68,13.39,139.5,29.15,110.35,16.94,94.98,25.52,68.31,1.57,69.46,4.37,10.82,5.79,31.82,1118.95,34.36,3593.45,514167.0_GANECOS
Ganesha Ecoverse,539041.0,__NA__,Textiles - Products,71.99,5.93,-1.52,4.23,28.2,3.78,-0.05,5.93,-0.09,6.46,6.37,0.0,6.37,1.06,5.31,1.08,4.23,0.0,4.23,0.0,83.98,0.16,-1.52,71.33,-0.09,1.06,0.0,3.78,6.37,4.23,0.33,1.08,6.46,202403.0,0.1,-2.44,0.13,-2.33,0.0,-2.33,0.01,-2.32,0.01,-2.36,0.02,-2.34,0.0,-2440.0,-2360.0,-2.09,,,80.47,539041.0___NA__
Ganga Forging,-1.0,GANGAFORGE,Castings & Forgings,7.65,37.21,6.72,0.43,4.61,0.03,-2.7,37.21,2.5,0.1,2.59,1.0,1.59,0.85,0.75,0.31,0.43,0.01,0.44,0.0,64.42,2.0,6.72,1.16,2.5,0.85,1.0,0.03,1.59,0.44,0.0,0.31,0.1,202403.0,33.41,2.0,0.57,2.07,0.88,1.19,0.81,0.88,-0.78,1.16,0.5,1.66,0.0,5.99,3.47,0.16,35.42,1.94,102.64,-1.0_GANGAFORGE
Ganga Papers,531813.0,__NA__,Paper,102.23,245.5,2.73,1.48,6.93,1.37,0.0,245.5,6.71,0.32,7.03,2.24,4.79,2.78,2.01,0.53,1.48,0.0,1.48,0.0,75.5,2.66,2.73,0.6,6.71,2.78,2.24,1.37,4.79,1.48,0.57,0.53,0.32,202403.0,297.48,9.2,0.18,9.38,2.16,7.22,2.78,4.44,1.18,3.25,0.0,3.25,0.0,3.09,1.09,3.01,256.01,1.12,110.31,531813.0___NA__
Ganga Pharma.,539680.0,__NA__,Pharmaceuticals - Indian - Formulations,24.67,2.74,1.82,0.05,3.3,0.1,0.0,2.74,0.05,0.24,0.29,0.05,0.24,0.18,0.06,0.02,0.05,0.0,0.05,0.0,45.62,0.58,1.82,1.82,0.05,0.18,0.05,0.1,0.24,0.05,0.02,0.02,0.24,202403.0,2.47,0.0,0.3,0.3,0.06,0.24,0.19,0.05,0.02,0.04,0.0,0.04,0.0,0.0,1.62,0.1,,,11.93,539680.0___NA__
Ganges Securitie,540647.0,GANGESSECU,Finance & Investments,181.85,34.82,15.57,3.48,1.19,3.48,0.0,34.82,5.42,1.28,6.7,0.78,5.92,0.01,5.91,2.43,3.48,0.0,3.48,0.0,-1.23,20.45,15.57,9.99,5.42,0.01,0.78,3.48,5.92,3.48,2.27,2.43,1.28,202403.0,41.93,12.19,1.38,13.5,0.73,12.77,0.17,12.67,2.92,9.7,0.07,9.75,0.0,29.07,23.13,9.75,36.66,4.75,181.91,540647.0_GANGESSECU
Gangotri Textile,521176.0,GANGOTRI,Textiles - Cotton/Blended,1.44,0.0,,-0.07,-0.14,-0.02,0.0,0.0,-0.07,0.0,-0.07,0.0,-0.07,0.0,-0.07,0.0,-0.07,0.0,-0.07,0.0,,0.0,,,-0.07,0.0,0.0,-0.02,-0.07,-0.07,0.0,0.0,0.0,202403.0,0.0,-0.07,0.0,-0.07,0.0,-0.07,0.0,-0.07,0.79,-0.86,0.0,-0.86,0.0,,,-0.26,0.0,-0.06,4.7,521176.0_GANGOTRI
Ganon Products,512443.0,__NA__,Trading,6.8,27.9,-2.54,0.13,6.42,0.14,0.0,27.9,-0.71,1.41,0.7,0.0,0.7,0.53,0.17,0.04,0.13,0.0,0.13,0.0,100.32,0.28,-2.54,0.47,-0.71,0.53,0.0,0.14,0.7,0.13,0.04,0.04,1.41,202403.0,12.74,-0.84,1.35,0.51,0.0,0.51,0.49,0.02,0.01,0.01,0.0,0.01,0.0,-6.59,0.08,0.01,25.8,0.44,6.34,512443.0___NA__
Garbi Finvest,539492.0,__NA__,Finance & Investments,18.59,4.3,0.93,-0.9,0.06,-0.77,-1.28,4.3,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.94,-0.9,0.0,-0.9,0.0,0.0,0.39,0.93,-20.93,0.04,0.0,0.0,-0.77,0.04,-0.9,0.49,0.94,0.0,202403.0,6.74,5.88,0.03,5.91,0.0,5.91,0.0,5.91,1.57,4.34,0.0,4.34,0.0,87.24,64.39,3.7,5.0,4.19,21.81,539492.0___NA__
Garden Reach Sh.,542011.0,GRSE,Miscellaneous,2297.05,3592.64,6.52,357.27,28.42,31.19,0.0,3592.64,234.12,299.62,533.74,41.33,492.41,11.49,480.92,123.66,357.27,0.0,357.27,90.72,62.67,348.93,6.52,9.94,234.12,11.49,41.33,31.19,492.41,357.27,124.56,123.66,299.62,202403.0,2561.15,152.94,201.84,343.16,39.17,303.99,10.4,305.21,77.09,219.43,11.62,228.12,71.02,5.97,8.57,19.91,3178.08,300.97,26313.22,542011.0_GRSE
Garg Furnace,530615.0,__NA__,Steel - Medium / Small,282.25,258.03,2.32,5.56,15.17,12.06,4.63,258.03,5.98,1.33,7.31,1.57,5.74,0.18,5.56,0.0,5.56,0.0,5.56,0.0,86.9,1.66,2.32,2.15,5.98,0.18,1.57,12.06,5.74,5.56,0.0,0.0,1.33,202403.0,238.24,7.31,0.2,7.51,1.41,6.1,0.16,5.94,0.0,5.94,0.0,5.94,0.0,3.07,2.49,14.82,249.36,6.57,130.08,530615.0___NA__
Garment Mantra,539216.0,__NA__,Textiles - Products,6.19,164.13,4.96,2.46,7.86,0.25,-19.92,164.13,8.14,0.16,8.29,0.78,7.51,4.16,3.36,0.88,2.46,0.01,2.47,0.0,90.25,2.26,4.96,1.5,8.14,4.16,0.78,0.25,7.51,2.47,0.87,0.88,0.16,202403.0,171.97,6.03,0.26,6.29,0.89,5.4,3.77,1.63,0.71,0.92,0.0,0.92,0.0,3.51,0.53,0.09,163.17,2.21,62.13,539216.0___NA__
Garnet Construct,526727.0,__NA__,Construction,25.75,11.13,-17.61,2.94,4.52,2.11,0.0,11.13,-1.96,7.06,5.1,0.29,4.81,0.72,4.09,1.15,2.94,0.0,2.94,0.0,56.51,2.14,-17.61,26.42,-1.96,0.72,0.29,2.11,4.81,2.94,1.18,1.15,7.06,202403.0,2.05,-1.34,2.37,1.03,0.33,0.7,0.24,0.46,0.17,0.29,0.0,0.29,0.0,-65.37,14.15,0.21,3.67,4.44,35.79,526727.0___NA__
Garnet Intl.,512493.0,__NA__,Finance & Investments,67.5,20.33,-6.54,-0.56,-1.13,-3.05,1.06,20.33,-1.33,-4.62,-0.51,0.0,-0.51,0.01,-5.96,0.03,-0.56,-5.44,-5.98,0.0,69.8,0.43,-6.54,-2.75,-1.33,0.01,0.0,-3.05,-0.51,-5.98,0.02,0.03,-4.62,202403.0,59.33,5.94,0.0,5.94,0.94,5.0,1.18,3.82,0.56,2.84,0.0,3.26,0.0,10.01,5.49,1.45,43.81,-0.46,132.53,512493.0___NA__
Garodia Chemical,530161.0,__NA__,Trading,7.87,0.0,,-0.13,,-0.18,0.0,0.0,-0.13,0.0,-0.13,0.0,-0.13,0.0,-0.13,0.0,-0.13,0.0,-0.13,0.0,,0.01,,,-0.13,0.0,0.0,-0.18,-0.13,-0.13,0.0,0.0,0.0,202403.0,0.0,-0.06,0.0,-0.06,0.0,-0.06,0.0,-0.06,0.0,-0.06,0.0,-0.06,0.0,,,-0.08,0.0,-0.12,5.66,530161.0___NA__
Garware Hi Tech,500655.0,GRWRHITECH,Packaging,2434.15,1677.02,16.81,203.29,13.89,87.5,0.0,1677.02,281.99,39.06,321.05,39.02,282.03,11.78,270.25,66.96,203.29,0.0,203.29,23.23,47.74,142.67,16.81,12.12,281.99,11.78,39.02,87.5,282.03,203.29,61.32,66.96,39.06,202403.0,1438.01,227.19,42.16,263.1,32.41,230.69,16.99,219.95,53.81,161.42,6.25,166.14,23.23,15.8,11.23,71.51,1579.45,188.55,5655.1,500655.0_GRWRHITECH
Garware Marine,509563.0,__NA__,Miscellaneous,12.3,0.66,-18.18,-0.07,-0.74,-0.12,0.0,0.66,-0.12,0.05,-0.07,0.0,-0.07,0.0,-0.07,0.0,-0.07,0.0,-0.07,0.0,0.0,0.41,-18.18,-10.61,-0.12,0.0,0.0,-0.12,-0.07,-0.07,0.0,0.0,0.05,202403.0,1.22,0.12,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.12,0.0,9.84,9.84,0.21,0.7,-0.06,7.09,509563.0___NA__
Garware Synth,514400.0,__NA__,Textiles - Products,18.69,10.7,3.55,-0.32,-0.62,-0.09,0.0,10.7,0.38,0.29,0.4,0.44,-0.04,0.37,-0.14,-0.1,-0.32,0.27,-0.05,0.0,52.9,2.19,3.55,-2.99,0.38,0.37,0.44,-0.09,-0.04,-0.05,0.0,-0.1,0.29,202403.0,11.4,0.85,0.3,0.93,0.47,0.46,0.33,0.35,-0.22,0.4,0.22,0.58,0.0,7.46,3.51,1.0,10.83,0.43,10.86,514400.0___NA__
