Name,BSE Code,NSE Code,Industry,Current Price,Return over 3months,Return over 6months,Volume 1month average,Volume 1week average,Volume,High price,Low price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization,join_key
Future Market,533296.0,FMNL,Miscellaneous,6.55,7.7,7.7,187690,143070,169092,11.0,4.35,372.7,3.8,-0.3,-4.09,-12.4,6.72,6.49,6.72,6.49,44.37,0.01,0.03,0.08,0.1,36.88,-30.12,-28.52,140935,-29.25,-7.02,37.71,533296.0_FMNL
Future Retail,540064.0,FRETAIL,Trading,3.09,39.11,-16.53,1398602,0,0,3.95,1.9,650.67,1.9,-1.28,0.0,49.05,2.6,4.58,2.58,4.6,68.0,0.19,0.17,0.08,0.05,4.33,-63.75,-63.32,1128462,-49.28,,167.56,540064.0_FRETAIL
Future Supply,540798.0,FSC,Miscellaneous,3.37,-50.45,-71.5,217931,285610,212837,14.37,3.17,760.0,3.17,1.51,-11.47,-23.68,4.92,9.46,4.98,9.52,18.84,-0.41,-0.4,-0.4,-0.4,-71.86,-67.21,-64.14,85160,,,14.79,540798.0_FSC
Futuristic Sec.,523113.0,__NA__,Finance & Investments,20.59,5.32,11.81,422,79,30,27.82,15.35,31.1,0.0,-4.63,1.84,7.68,21.32,19.34,21.31,19.32,49.92,0.35,0.41,0.53,0.57,7.95,25.93,14.65,269,11.45,9.51,4.02,523113.0___NA__
Futuristic Solu,534063.0,__NA__,Finance & Investments,102.0,-7.86,25.14,593,697,1633,132.0,44.54,132.0,14.75,0.64,1.3,-5.15,102.22,88.56,102.26,88.43,49.49,-0.99,-1.12,-0.33,-0.16,81.57,58.4,21.23,570,10.62,8.46,106.79,534063.0___NA__
G D Trad&Agency,504346.0,__NA__,Finance & Investments,21.07,40.47,,1,0,0,21.07,0.0,21.07,0.0,4.98,0.0,4.98,15.84,15.23,15.63,15.17,,1.19,0.94,0.57,0.41,,,,9,,,0.21,504346.0___NA__
G G Automotive,531399.0,__NA__,Engineering,148.6,38.64,29.33,14253,8729,10326,159.15,53.05,159.15,9.8,4.98,-1.7,2.72,131.1,105.29,130.68,104.92,52.73,4.76,5.4,5.63,5.84,150.93,,,15873,,,123.8,531399.0___NA__
G G Dandekar,505250.0,__NA__,Miscellaneous,103.0,-2.15,-35.52,2863,2443,3420,162.8,51.0,184.4,23.8,3.05,1.01,-4.85,105.16,103.41,105.38,103.44,46.12,-2.15,-2.31,-2.27,-2.3,71.91,24.37,15.75,5738,8.55,5.23,49.03,505250.0___NA__
G G Engineering,540614.0,__NA__,Trading,2.07,2.97,-5.02,9663189,7723946,5719017,2.97,0.98,12.51,0.74,-0.48,0.97,4.52,2.07,1.96,2.07,1.95,52.81,0.01,0.01,0.01,0.01,92.59,-43.59,-8.98,16491199,,,289.7,540614.0___NA__
G K Consultants,531758.0,__NA__,Finance & Investments,16.45,92.02,52.17,41814,27260,20850,17.0,6.55,153.9,1.77,1.98,8.11,23.13,13.8,11.09,13.7,11.04,68.86,0.43,0.34,0.16,0.09,67.5,101.55,18.1,6140,12.71,-0.73,8.74,531758.0___NA__
G K P Printing,542666.0,__NA__,Trading,9.89,-9.95,-30.46,29286,25463,12230,16.6,9.0,206.8,5.87,1.23,-1.71,-1.61,10.13,12.49,10.14,12.52,43.71,-0.06,-0.05,-0.08,-0.09,-19.12,-14.2,-8.63,40217,,,21.77,542666.0___NA__
G M Breweries,507488.0,GMBREW,Breweries & Distilleries,657.2,5.63,12.51,77088,61088,90105,688.7,440.0,775.68,8.08,3.52,-4.91,2.88,619.51,562.44,618.88,561.71,50.51,7.18,8.41,7.38,7.43,36.4,8.69,9.26,99630,12.37,25.49,1501.53,507488.0_GMBREW
G M D C,532181.0,GMDCLTD,Mining / Minerals / Metals,396.3,0.7,-9.11,1961771,1931352,888393,506.0,164.05,506.0,23.5,0.85,-0.98,0.15,397.12,366.87,397.29,366.61,48.39,0.21,0.55,-0.93,-1.21,137.5,78.84,39.33,5500553,15.08,9.01,12602.34,532181.0_GMDCLTD
G M Polyplast,543239.0,__NA__,Plastics Products,182.0,2.16,4.12,28958,28175,37100,215.5,106.0,240.9,20.0,2.82,-3.54,-1.58,182.85,168.42,183.09,168.33,41.17,-0.94,-0.62,-1.47,-1.6,55.2,94.65,,40453,,,244.96,543239.0___NA__
G N F C,500670.0,GNFC,Chemicals,723.2,7.81,-10.7,3816054,3811860,7510576,814.9,532.0,912.0,48.0,1.79,0.5,12.13,678.08,666.78,676.76,666.34,55.7,10.34,9.58,9.56,9.36,18.58,24.3,23.17,1405632,13.95,20.33,10626.77,500670.0_GNFC
G R Infraproject,543317.0,GRINFRA,Construction,1726.5,24.76,58.64,120726,112000,98551,1860.0,1024.95,2277.0,930.0,-0.78,-0.6,8.0,1564.92,1350.85,1557.77,1346.94,59.47,69.77,74.01,69.45,69.38,35.79,,,115194,,,16693.34,543317.0_GRINFRA
G S Auto Intl.,513059.0,__NA__,Auto Ancillaries,36.55,11.24,47.16,12471,11439,13123,46.46,17.4,105.2,2.4,-0.73,1.13,-2.33,36.84,31.63,36.84,31.58,49.84,-0.15,-0.17,-0.22,-0.24,64.74,45.35,57.0,20682,16.41,10.66,53.06,513059.0___NA__
G S F C,500690.0,GSFC,Fertilizers,246.7,9.71,-14.92,10518285,5285601,4570565,322.45,146.15,322.45,12.2,1.77,-0.24,15.13,230.08,217.93,229.58,217.69,56.59,5.66,5.66,3.84,3.38,47.9,27.7,21.17,5713951,10.23,11.41,9830.47,500690.0_GSFC
G V Films,523277.0,__NA__,Entertainment / Electronic Media Software,0.84,6.25,32.81,7045577,22274710,19427451,1.2,0.4,16.36,0.22,-1.18,6.25,19.72,0.78,0.73,0.78,0.73,58.42,0.03,0.03,0.02,0.02,73.47,2.47,14.08,3236402,-0.33,1.96,76.85,523277.0___NA__
G-Tec Janix,-1.0,GTECJAINX,Miscellaneous,70.0,-15.19,-35.73,1068,1091,19,140.65,56.75,140.65,9.51,4.48,-1.25,-10.07,73.53,74.02,73.79,74.09,37.59,-2.19,-2.24,-2.45,-2.52,-13.88,46.64,20.44,4574,,,71.33,-1.0_GTECJAINX
G-Tech Info.,532139.0,__NA__,Computers - Software - Medium / Small,1.6,5.26,20.3,3285,0,0,1.6,1.16,11.48,0.02,0.0,0.0,0.63,1.41,1.51,1.41,1.5,78.82,0.07,0.06,0.06,0.05,12.68,36.44,13.75,2511,-5.63,,0.56,532139.0___NA__
Gabriel India,505714.0,GABRIEL,Auto Ancillaries,486.5,35.45,21.01,1205951,2606811,620714,517.0,191.4,517.0,3.03,0.5,11.13,35.51,397.7,350.83,394.17,349.49,79.6,26.84,25.06,19.21,17.31,146.93,58.73,34.37,738857,18.11,24.96,6988.31,505714.0_GABRIEL
Gabriel Pet,544108.0,__NA__,Textiles - Manmade,150.0,11.48,,8188,7500,6000,170.15,111.2,170.15,111.2,0.0,3.06,1.69,140.49,130.78,140.1,130.58,55.59,2.76,2.59,1.79,1.55,,,,25358,,,39.7,544108.0___NA__
GACM Tech,531723.0,GATECH,Finance & Investments,1.21,-6.4,-36.76,234698,235601,413569,2.92,0.94,64.0,0.19,3.42,-3.31,-2.5,1.28,1.32,1.28,1.32,40.03,-0.02,-0.02,-0.02,-0.02,1.74,18.68,5.39,570890,-22.94,-19.49,59.84,531723.0_GATECH
GACM Tech-DVR,570005.0,GATECHDVR,Finance & Investments,2.91,1.67,-63.25,107411,89652,82258,17.23,2.85,20.45,0.15,-4.59,0.66,-3.17,3.26,6.2,3.27,6.24,47.91,-0.02,-0.03,-0.03,-0.03,-81.11,6.15,40.86,346294,,,17.2,570005.0_GATECHDVR
Gagan Gases,524624.0,__NA__,Chemicals,22.09,6.91,-3.22,9374,12971,17041,32.0,11.74,32.0,1.41,0.55,0.97,12.78,21.39,20.09,21.37,20.07,54.81,0.27,0.26,0.24,0.23,60.95,2.59,17.05,4725,22.62,15.15,10.0,524624.0___NA__
GAIL (India),532155.0,GAIL,Miscellaneous,219.75,19.78,35.4,41608896,21192536,26405708,233.2,104.7,233.2,22.5,0.09,3.24,7.46,205.84,172.94,205.28,172.47,57.23,3.68,3.55,3.87,3.91,109.0,29.6,16.63,23291463,13.27,9.67,144487.8,532155.0_GAIL
Gajanan Sec.Serv,538609.0,__NA__,Finance & Investments,89.0,75.27,141.86,657,882,293,90.0,30.37,90.0,9.75,1.6,11.99,16.88,69.1,53.09,68.34,52.75,76.43,4.25,3.67,3.24,2.99,98.96,,,1345,,,27.6,538609.0___NA__
Gala Global,539228.0,__NA__,Printing & Stationery,3.6,15.26,-0.28,188113,104191,103582,9.24,2.8,189.05,2.8,1.41,-0.84,-11.25,3.72,5.21,3.72,5.22,40.55,-0.07,-0.06,-0.05,-0.04,-62.31,-52.17,-44.76,366341,-31.75,,19.67,539228.0___NA__
Galactico Corpo.,542802.0,__NA__,Finance & Investments,3.97,-11.19,-17.12,450664,297320,354696,9.4,3.25,88.15,0.88,0.0,0.51,-0.25,4.12,5.36,4.13,5.38,44.99,-0.03,-0.04,-0.04,-0.05,-58.6,9.3,,1224543,,,59.16,542802.0___NA__
Galada Finance,538881.0,__NA__,Finance & Investments,16.47,19.96,38.64,2205,3970,3137,18.35,9.76,35.9,8.1,-1.38,-5.83,5.58,15.95,14.53,15.93,14.51,52.56,0.15,0.14,0.04,0.02,37.71,16.19,8.41,1436,-4.18,,4.94,538881.0___NA__
Galaxy Agrico,531911.0,__NA__,Castings & Forgings,41.55,-17.66,17.04,6494,4109,106,53.29,20.65,53.7,6.75,0.0,0.19,-2.62,44.55,40.19,44.68,40.18,44.02,-1.25,-1.28,-1.21,-1.2,58.59,71.76,33.04,6496,3.66,9.0,11.34,531911.0___NA__
Galaxy Bearings,526073.0,__NA__,Bearings,1412.1,-6.23,-7.2,2656,2545,1007,1800.0,1290.5,1800.0,3.78,-0.28,-0.98,-3.9,1457.71,1448.18,1459.41,1448.5,45.74,-16.65,-17.05,-16.42,-16.36,2.56,81.97,52.97,1617,87.16,,449.03,526073.0___NA__
Galaxy Cloud,506186.0,__NA__,Food - Processing - Indian,42.07,216.52,196.41,72928,13176,9554,46.5,10.0,420.4,4.57,-1.98,-3.98,38.99,29.89,19.47,29.36,19.24,77.71,5.53,5.87,5.88,5.96,243.63,43.58,8.04,19564,15.14,1.22,189.05,506186.0___NA__
Galaxy Surfact.,540935.0,GALAXYSURF,Chemicals,2755.4,13.43,-0.8,27313,29874,24931,2974.0,2241.1,3600.0,871.8,0.4,2.59,11.96,2593.91,2602.93,2587.77,2601.51,65.07,53.21,51.68,42.78,40.17,3.57,-3.52,17.04,27669,,,9769.16,540935.0_GALAXYSURF
Gallantt Ispat L,532726.0,GALLANTT,Steel - Medium / Small,361.0,77.76,99.72,92076,40754,38508,372.0,58.85,372.0,8.0,0.84,0.1,34.84,294.15,206.57,291.54,205.04,74.08,23.38,23.68,19.86,18.98,508.33,65.13,56.36,378370,36.14,31.62,8710.24,532726.0_GALLANTT
Gallops Enterp.,531902.0,__NA__,Construction,22.1,-12.8,6.74,2677,2578,4197,29.9,16.36,112.65,3.8,-1.07,-7.88,-2.91,23.53,23.19,23.58,23.19,45.53,0.2,0.37,0.34,0.38,11.76,74.84,10.16,2042,,,11.09,531902.0___NA__
Gandhar Oil Ref.,544029.0,GANDHAR,Refineries,208.45,-6.27,-23.28,430930,285460,197923,344.6,182.45,344.6,182.45,-0.21,-0.25,3.89,214.19,245.53,214.41,245.9,47.59,-0.21,-0.08,-0.9,-1.07,,,,1400079,,,2040.08,544029.0_GANDHAR
Gandhi Spl. Tube,513108.0,GANDHITUBE,Steel - Medium / Small,801.7,4.58,8.75,8483,3866,3838,935.0,559.5,935.0,28.0,0.99,0.66,6.9,791.0,742.45,790.89,741.93,50.75,-0.9,-1.3,-2.23,-2.57,37.83,21.78,14.78,26676,13.16,14.3,974.23,513108.0_GANDHITUBE
Ganesh Benzopl.,500153.0,GANESHBE,Miscellaneous,151.55,-21.5,-7.13,317222,206800,203475,217.05,126.95,217.05,1.05,1.74,3.01,4.31,156.95,162.96,157.28,163.1,45.92,-1.73,-1.68,-1.46,-1.39,-2.03,23.57,31.35,427182,14.77,37.65,1091.0,500153.0_GANESHBE
Ganesh Holdings,504397.0,__NA__,Finance & Investments,170.0,100.24,211.79,361,295,82,199.55,0.0,199.55,0.0,3.66,1.52,-16.18,151.89,99.51,151.4,98.86,49.61,-0.21,-0.16,2.92,3.7,317.62,119.87,,837,,,6.88,504397.0___NA__
Ganesh Housing,526367.0,GANESHHOUC,Construction,956.4,22.9,128.06,217260,107559,95821,1072.0,361.8,1072.0,8.41,0.6,-1.77,22.58,868.5,674.41,865.15,671.64,55.72,34.15,36.89,42.04,44.01,155.14,115.49,82.04,179450,33.64,21.89,7975.13,526367.0_GANESHHOUC
Ganesha Ecosphe.,514167.0,GANECOS,Textiles - Processing,1412.9,37.26,44.55,89062,68613,41915,1439.05,811.15,1439.05,4.0,0.87,2.76,20.99,1188.78,1058.42,1180.14,1054.99,74.98,74.01,73.11,60.98,57.72,29.61,37.42,36.96,76755,21.56,33.65,3581.29,514167.0_GANECOS
Ganesha Ecoverse,539041.0,__NA__,Textiles - Products,70.01,-13.42,-8.62,49934,50938,37500,105.0,60.05,131.8,3.59,2.35,1.68,-5.32,70.6,72.07,70.69,72.11,47.95,-0.61,-0.64,-0.77,-0.81,-32.03,112.78,32.11,92834,6.13,,78.26,539041.0___NA__
Ganga Forging,-1.0,GANGAFORGE,Castings & Forgings,7.8,-18.95,19.08,323306,278430,343516,17.5,5.8,25.0,0.65,0.78,-2.27,1.18,8.37,8.57,8.4,8.58,41.03,-0.09,-0.08,-0.09,-0.09,29.0,-5.8,39.22,588328,,,104.65,-1.0_GANGAFORGE
Ganga Papers,531813.0,__NA__,Paper,102.23,-6.15,17.55,881,1396,3346,191.26,66.2,191.26,9.53,-3.47,-4.99,11.91,101.61,98.53,101.59,98.49,50.7,2.57,3.0,2.79,2.85,40.91,30.08,2.52,1094,33.31,,110.31,531813.0___NA__
Ganga Pharma.,539680.0,__NA__,Pharmaceuticals - Indian - Formulations,24.67,1.07,-8.97,8000,0,0,28.49,7.5,28.49,5.0,0.0,0.0,0.0,18.06,12.97,17.79,12.85,61.39,2.73,2.88,3.0,3.06,137.21,,,12952,16.64,,11.93,539680.0___NA__
Ganges Securitie,540647.0,GANGESSECU,Finance & Investments,182.7,37.76,38.43,30042,23410,16203,186.73,106.3,186.73,19.45,7.04,-0.66,16.43,152.81,135.15,152.08,134.8,61.69,6.07,5.99,4.65,4.3,53.63,27.55,30.73,39774,,,182.76,540647.0_GANGESSECU
Gangotri Textile,521176.0,GANGOTRI,Textiles - Cotton/Blended,1.44,13.33,51.11,38518,0,0,1.48,0.7,71.05,0.05,4.35,0.0,0.74,1.15,1.03,1.14,1.02,63.42,0.09,0.1,0.1,0.1,51.11,10.79,8.61,13943,1.68,-3.78,4.7,521176.0_GANGOTRI
Ganon Products,512443.0,__NA__,Trading,6.8,-25.98,-55.82,32020,56874,34136,18.0,5.17,18.0,1.61,-2.58,9.4,30.96,7.11,10.11,7.11,10.14,62.42,0.04,0.0,-0.15,-0.2,-48.33,,-10.45,78141,,10.38,6.34,512443.0___NA__
Garbi Finvest,539492.0,__NA__,Finance & Investments,18.59,-14.75,-38.73,17027,11015,13675,36.99,15.3,70.2,0.0,1.47,-0.54,7.89,18.91,24.42,18.93,24.49,55.67,0.05,0.0,-0.24,-0.31,-32.0,,,36184,,,21.81,539492.0___NA__
Garden Reach Sh.,542011.0,GRSE,Miscellaneous,2296.55,154.42,141.82,6519918,14010882,3603252,2309.5,558.6,2309.5,77.0,9.41,19.74,53.29,1386.89,987.82,1357.82,976.65,74.68,224.19,214.45,177.27,165.54,264.87,117.22,76.28,1994851,,,26307.49,542011.0_GRSE
Garg Furnace,530615.0,__NA__,Steel - Medium / Small,277.0,-12.36,1.51,1443,1687,182,392.55,80.0,392.55,6.65,-1.86,-2.03,2.86,295.17,253.55,295.69,253.27,43.39,-2.04,-1.5,-1.18,-0.96,205.83,110.18,86.38,5867,56.1,34.47,127.66,530615.0___NA__
Garment Mantra,539216.0,__NA__,Textiles - Products,6.19,-8.3,5.27,312080,277994,112797,9.22,3.78,22.7,1.06,0.0,-7.34,15.27,6.11,5.91,6.1,5.91,52.04,0.15,0.17,0.15,0.15,21.14,-15.67,21.58,468394,19.3,,62.13,539216.0___NA__
Garnet Construct,526727.0,__NA__,Construction,25.75,14.8,16.03,10032,13969,13914,29.0,11.7,126.8,5.56,-1.19,-2.03,6.5,25.82,22.82,25.81,22.79,50.02,0.03,0.04,0.01,0.01,69.11,-3.17,25.35,16388,7.12,7.19,35.79,526727.0___NA__
Garnet Intl.,512493.0,__NA__,Finance & Investments,66.79,15.99,-2.66,71808,84012,99473,76.0,39.0,665.67,1.59,0.32,20.12,43.31,52.95,54.68,52.39,54.56,83.59,3.28,2.52,1.07,0.52,15.05,41.0,19.69,31171,-15.16,5.31,131.13,512493.0___NA__
Garodia Chemical,530161.0,__NA__,Trading,7.87,-13.75,-3.16,100,100,100,9.6,6.32,48.49,3.98,-4.95,1.1,1.1,7.85,14.35,7.83,14.41,52.97,0.09,0.09,0.16,0.17,-12.84,16.03,,926,,-15.68,5.66,530161.0___NA__
Garware Hi Tech,500655.0,GRWRHITECH,Packaging,2463.4,32.16,69.9,114517,196809,236822,2476.95,817.75,2476.95,15.5,4.54,10.15,30.61,1904.6,1610.39,1886.16,1602.9,69.87,126.98,114.7,105.1,99.63,167.06,35.13,57.67,59141,50.28,36.49,5723.03,500655.0_GRWRHITECH
Garware Marine,509563.0,__NA__,Miscellaneous,12.3,9.84,34.25,2654,2116,849,15.76,6.78,67.85,1.63,4.95,21.33,-9.85,11.68,10.88,11.68,10.87,53.13,-0.47,-0.59,-0.56,-0.59,41.2,33.37,34.13,4052,7.55,-7.52,7.09,509563.0___NA__
Garware Synth,514400.0,__NA__,Textiles - Products,18.3,9.94,6.8,2151,2336,2931,20.99,10.91,43.0,0.8,-2.09,-1.32,6.8,17.28,15.74,17.22,15.71,55.93,0.54,0.56,0.57,0.58,34.95,4.77,37.88,2040,17.15,6.6,10.63,514400.0___NA__
Garware Tech.,509557.0,GARFIBRES,Textiles - Products,4046.7,14.67,13.11,26721,12534,9854,4288.8,3002.05,4288.8,27.1,5.21,-2.26,10.85,3653.91,3406.19,3646.07,3401.76,52.94,119.41,137.28,161.98,172.62,23.83,4.98,25.72,17562,24.55,42.17,8246.4,509557.0_GARFIBRES
Gateway Distri,543489.0,GATEWAY,Miscellaneous,104.55,-3.36,-7.0,917853,536020,775725,121.55,64.01,121.55,58.5,1.97,-0.52,4.3,103.02,99.02,103.04,98.98,50.26,0.08,0.08,-0.16,-0.22,42.01,,,1176140,,,5223.75,543489.0_GATEWAY
Gautam Exim,540613.0,__NA__,Trading,68.73,2.74,-6.36,1500,1500,1500,77.0,63.56,93.54,17.55,5.0,5.0,5.0,53.9,43.84,53.29,43.59,57.78,4.63,4.8,6.53,7.01,-1.81,32.49,6.27,2100,,,21.18,540613.0___NA__
Gautam Gems,540936.0,__NA__,Trading,8.67,-9.73,-23.43,63054,41938,62049,14.35,7.97,58.12,6.84,0.46,-2.38,-0.69,9.1,10.44,9.12,10.46,43.06,-0.08,-0.07,-0.11,-0.11,-22.04,-13.9,-28.72,113340,,,35.41,540936.0___NA__
Gayatri BioOrga.,524564.0,__NA__,Miscellaneous,6.34,25.76,-31.26,61024,35080,44235,11.8,4.75,30.0,1.27,2.26,-5.2,6.16,5.99,7.29,5.98,7.3,54.25,0.18,0.2,0.16,0.15,-41.56,-23.65,31.95,53535,-11.17,0.67,49.96,524564.0___NA__
Gayatri Highways,541546.0,GAYAHWS,Construction,1.58,50.0,73.68,205618,163351,163351,1.66,0.55,10.9,0.15,-4.24,4.43,26.92,1.25,1.05,1.23,1.04,75.62,0.08,0.07,0.04,0.02,94.12,22.39,17.08,406474,,,37.86,541546.0_GAYAHWS
Gayatri Projects,532767.0,GAYAPROJ,Construction,6.41,-15.57,-31.59,355271,0,0,10.85,5.2,228.22,4.54,-3.61,0.0,-14.49,7.09,7.7,7.11,7.71,46.72,-0.02,0.0,-0.16,-0.19,16.0,-40.68,-46.75,435403,-35.86,-14.99,119.98,532767.0_GAYAPROJ
Gayatri Rubbers,-1.0,GRCL,Miscellaneous,323.3,23.16,70.16,3000,3167,500,389.0,37.7,389.0,32.0,0.0,-4.15,-5.95,313.19,189.94,312.78,188.6,44.64,1.86,3.59,8.42,10.06,810.7,,,7301,,,185.51,-1.0_GRCL
Gayatri Sugars,532183.0,__NA__,Sugar,22.32,22.03,16.25,264172,123527,131626,29.41,8.35,30.45,0.41,-4.29,-4.19,25.85,20.79,19.43,20.69,19.39,61.57,1.33,1.38,1.17,1.13,192.96,84.22,55.44,111540,15.09,20.15,144.64,532183.0___NA__
GCM Capital,538319.0,__NA__,Finance & Investments,7.1,32.71,41.15,33235,13250,21000,11.55,3.1,141.6,0.0,0.0,13.42,20.75,6.33,6.04,6.3,6.03,56.61,0.24,0.23,0.19,0.18,90.86,46.46,46.28,22249,13.53,-17.13,12.03,538319.0___NA__
GCM Commodity,535917.0,__NA__,Finance & Investments,6.56,1.13,63.61,11571,6000,6000,9.88,0.0,21.25,0.0,4.96,10.04,-0.95,6.14,5.86,6.14,5.86,52.81,-0.12,-0.16,-0.14,-0.14,16.6,,-0.69,15874,7.37,-5.5,4.87,535917.0___NA__
GCM Securit.,535431.0,__NA__,Finance & Investments,1.0,17.86,12.5,618530,796443,1051448,3.0,0.75,90.25,0.75,1.01,0.0,-1.98,0.98,1.18,0.97,1.18,51.72,0.0,0.0,0.0,0.0,-50.99,-26.95,,793120,-31.95,-33.32,19.0,535431.0___NA__
Gconnect Logitec,544156.0,__NA__,Miscellaneous,73.5,,,73737,42000,39000,73.5,32.2,73.5,32.2,5.0,16.67,112.12,44.39,42.94,43.35,42.67,85.34,7.59,6.78,4.79,4.09,,,,77638,,,27.34,544156.0___NA__
GE Power,532309.0,GEPIL,Engineering - Turnkey Services,404.55,36.22,74.25,897496,538920,725457,430.0,152.6,1109.0,97.45,-2.25,3.94,33.5,348.41,276.88,345.74,275.51,66.36,20.6,19.72,16.87,15.94,163.6,5.58,-13.48,819367,-5.83,-2.17,2719.81,532309.0_GEPIL
GE Shipping Co,500620.0,GESHIP,Shipping,1220.65,23.1,23.06,1351445,925276,1618708,1256.6,717.3,1256.6,130.8,-0.36,2.21,13.71,1098.04,961.86,1092.86,959.21,64.12,40.52,39.48,40.04,39.92,64.98,47.22,35.4,656149,16.7,12.58,17426.9,500620.0_GESHIP
GE T&D India,522275.0,GET&D,Electric Equipment,1536.0,69.24,156.04,127058,68797,59438,1660.0,210.0,1660.0,11.61,2.97,-6.39,9.66,1309.27,863.61,1301.83,857.3,56.99,76.58,84.77,89.85,93.17,580.21,121.94,43.94,134921,23.65,16.02,39329.26,522275.0_GET&D
GEE,504028.0,__NA__,Electrodes - Welding Equipment,121.15,-14.24,-5.12,18803,26882,26557,172.9,63.26,172.9,1.1,3.68,-3.19,-2.3,124.34,114.7,124.65,114.68,41.4,-2.42,-2.32,-1.32,-1.04,71.99,27.44,38.09,52848,12.32,15.17,314.86,504028.0___NA__
GeeCee Vent.,532764.0,GEECEE,Construction,382.45,41.14,65.88,105790,105903,36870,410.0,162.25,410.0,22.25,0.29,-1.17,16.6,335.01,270.26,333.12,269.14,62.35,18.43,19.17,16.42,15.92,114.0,33.91,27.99,66828,16.98,25.61,799.76,532764.0_GEECEE
Geekay Wires,-1.0,GEEKAYWIRE,Steel - Medium / Small,92.57,-10.2,-0.88,201692,364252,103549,126.5,43.9,126.5,6.2,1.51,2.5,1.89,94.72,87.17,94.86,87.13,47.58,-0.99,-1.05,-1.62,-1.77,94.1,68.3,70.12,102783,,,483.77,-1.0_GEEKAYWIRE
Geetanjali Cred.,539486.0,__NA__,Finance & Investments,4.75,9.2,101.27,1608,0,0,5.86,1.59,24.0,0.75,0.0,0.0,-9.52,3.5,2.39,3.45,2.36,64.58,0.61,0.67,0.7,0.72,169.89,69.81,22.24,14878,3.51,,2.1,539486.0___NA__
Gem Enviro,544199.0,__NA__,Miscellaneous,173.15,,,590933,590933,120000,173.15,142.5,173.15,142.5,4.97,,,150.5,149.85,149.91,149.69,,1.68,0.6,0.43,0.12,,,,590933,,,390.46,544199.0___NA__
Gem Spinners,521133.0,__NA__,Textiles - Cotton/Blended,3.52,-1.12,-47.07,412,100,100,7.35,3.26,18.76,1.2,0.0,0.0,5.39,3.95,4.79,3.97,4.81,39.93,-0.13,-0.15,-0.19,-0.21,-42.58,,,824,,1.96,21.61,521133.0___NA__
Gemstone Invest.,531137.0,__NA__,Finance & Investments,1.78,15.58,56.14,221799,151972,193329,2.31,0.76,20.65,0.17,0.0,-6.32,25.35,1.67,1.36,1.67,1.35,54.2,0.07,0.07,0.05,0.05,122.5,-5.81,18.56,198186,12.1,4.11,13.31,531137.0___NA__
General Insuranc,540755.0,GICRE,Finance & Investments,385.6,11.74,21.92,2427227,1449082,1078850,467.8,181.55,467.8,81.5,1.81,-4.56,6.36,365.23,317.9,364.68,317.29,52.17,8.48,9.67,10.36,10.83,107.36,23.7,10.9,2467737,,,67649.66,540755.0_GICRE
Generic Engineer,539407.0,GENCON,Construction,48.41,13.46,15.12,315285,131063,127726,64.52,32.55,194.4,6.25,2.56,-7.54,21.18,43.47,44.95,43.31,44.93,56.97,2.49,2.69,2.07,1.96,-11.94,0.75,-15.43,126904,-2.92,,256.74,539407.0_GENCON
Genesys Intl.,506109.0,GENESYS,Computers - Software - Medium / Small,601.1,-6.74,40.0,309992,420678,393159,739.0,266.0,739.0,6.42,1.43,-1.81,14.58,553.8,498.97,552.21,498.03,58.98,14.75,13.53,5.62,3.33,89.09,60.21,39.72,263105,15.38,24.93,2380.27,506109.0_GENESYS
Gennex Lab.,531739.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,15.65,-7.19,-10.16,559561,421554,456701,21.89,6.12,21.89,0.41,-0.57,0.0,-8.28,16.4,15.14,16.43,15.14,45.18,-0.23,-0.23,-0.19,-0.18,135.98,17.63,35.78,1087038,19.82,28.13,355.96,531739.0___NA__
Genomic Valley,539206.0,__NA__,Miscellaneous,64.0,78.37,41.2,7030,6959,2514,64.2,20.65,64.2,8.25,4.61,11.99,65.35,41.5,32.99,40.69,32.71,87.59,6.34,5.95,4.56,4.11,195.56,,,5051,,,19.56,539206.0___NA__
Genpharmasec,531592.0,__NA__,Trading,2.16,-15.92,-37.76,947906,789670,243058,7.31,1.69,10.81,0.15,4.85,6.74,1.48,2.21,2.74,2.21,2.75,51.6,-0.05,-0.06,-0.06,-0.07,-2.37,-26.93,-21.57,1236718,-4.09,8.16,119.61,531592.0___NA__
Gensol Engineer.,542851.0,GENSOL,Engineering - Turnkey Services,1053.0,12.05,20.85,291298,176617,186243,1377.1,436.75,1377.1,15.0,4.06,-6.94,10.07,980.12,864.2,978.82,862.71,51.87,25.66,29.35,27.83,28.37,125.01,281.33,,200904,,,3988.01,542851.0_GENSOL
Genus Paper & Bo,538961.0,GENUSPAPER,Paper,20.28,2.86,3.13,1109113,1050936,669379,28.5,13.81,28.5,1.6,0.85,-6.51,-5.14,21.0,20.27,21.04,20.27,41.21,-0.14,-0.08,-0.08,-0.06,44.16,19.79,28.45,1774116,21.82,,521.46,538961.0_GENUSPAPER
