Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization,join_key
Doms Industries,544045.0,DOMS,Printing & Stationery,2085.55,69.35,336.48,61.93,1.17,63.1,10.52,52.58,3.44,49.14,12.92,33.98,0.0,36.21,18.41,10.76,,912.21,12656.61,544045.0_DOMS
Donear Inds.,512519.0,DONEAR,Textiles - Processing,137.75,18.59,213.96,20.15,1.69,21.84,2.42,19.42,7.65,11.77,3.24,8.53,0.0,8.53,9.42,3.99,10.4,1.64,716.3,512519.0_DONEAR
Dr Agarwal's Eye,526783.0,__NA__,Healthcare,3250.0,20.77,69.42,21.13,0.4,21.53,1.54,19.99,1.81,18.18,4.5,13.68,0.0,13.68,30.44,19.71,4.7,29.11,1527.5,526783.0___NA__
Dr Lal Pathlabs,539524.0,LALPATHLAB,Healthcare,2825.4,140.6,491.0,115.6,14.2,129.8,37.6,92.2,9.0,83.2,26.3,56.7,0.0,56.9,23.54,11.59,83.3,6.8,23586.52,539524.0_LALPATHLAB
Dr Lalchand. Lab,541299.0,__NA__,Healthcare,23.5,0.35,2.76,0.26,,,,,,,,,,-0.59,,,,-1.36,10.18,541299.0___NA__
Dr Reddy's Labs,500124.0,DRREDDY,Pharmaceuticals - Indian - Bulk Drugs & Formln,6416.35,2023.1,6315.2,1533.9,146.1,1680.0,315.5,1364.5,35.4,1329.1,369.0,960.1,0.0,960.1,24.29,15.2,83.2,57.65,107043.78,500124.0_DRREDDY
DRA Consultants,540144.0,__NA__,Miscellaneous,56.0,1.24,8.01,1.18,,,,,,,,,,0.98,,,,0.89,61.43,540144.0___NA__
DRC Systems,543268.0,DRCSYSTEMS,Computers - Software - Medium / Small,28.31,5.71,6.77,-2.16,4.0,1.84,0.42,1.42,0.01,1.41,0.22,1.19,0.0,1.19,-31.91,17.58,3.87,0.09,375.03,543268.0_DRCSYSTEMS
Dreamfolks Servi,543591.0,DREAMFOLKS,Miscellaneous,484.1,27.37,237.75,33.71,1.38,35.09,0.92,34.17,0.17,34.0,8.7,25.3,0.0,25.3,14.18,10.64,10.45,4.84,2529.43,543591.0_DREAMFOLKS
Dredging Corpn.,523618.0,DREDGECORP,Miscellaneous,1096.95,68.78,337.44,-167.28,0.54,-166.74,48.86,-215.6,6.97,-222.57,0.37,-222.94,0.0,-222.94,-49.57,-66.07,28.0,-79.62,3071.46,523618.0_DREDGECORP
Drone Destinatio,-1.0,DRONE,Miscellaneous,372.15,1.9,9.02,3.99,,,,,,,,,,2.51,,,,,904.33,-1.0_DRONE
Droneacharya Aer,543713.0,__NA__,Miscellaneous,147.3,,,,,,,,,,,,,,,,,,353.35,543713.0___NA__
DRS Dilip Road,-1.0,DRSDILIP,Miscellaneous,135.0,4.34,81.96,2.57,,,,,,,,,,1.71,,,,1.13,203.34,-1.0_DRSDILIP
DSJ Keep Learn,526677.0,KEEPLEARN,Miscellaneous,2.9,0.19,1.56,0.15,0.0,0.15,0.05,0.1,0.06,0.04,0.0,0.03,0.0,0.03,9.62,1.92,,0.0,45.16,526677.0_KEEPLEARN
DU Digital,-1.0,DUGLOBAL,Miscellaneous,75.0,1.08,15.11,0.25,,,,,,,,,,-0.34,,,,-0.04,523.06,-1.0_DUGLOBAL
Ducol Organics,-1.0,DUCOL,Dyes And Pigments,140.05,2.87,46.31,5.97,,,,,,,,,,2.33,,,,1.6,203.63,-1.0_DUCOL
Ducon Tech,534674.0,DUCON,Engineering - Turnkey Services,8.45,6.65,103.6,2.03,0.0,2.03,0.59,1.44,1.29,0.15,-0.01,0.17,0.0,0.17,1.96,0.16,20.57,0.01,219.65,534674.0_DUCON
Dugar Housing,511634.0,__NA__,Construction,12.26,-0.05,0.0,-0.05,0.15,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,,,,3.33,0.37,511634.0___NA__
Duke Offshore,531471.0,__NA__,Oil Drilling / Allied Services,19.68,0.35,0.68,-0.64,0.06,-0.58,0.25,-0.83,0.01,-0.84,0.0,-0.83,0.0,-0.83,-94.12,-122.06,,-0.84,19.39,531471.0___NA__
Duncan Engg.,504908.0,__NA__,Engineering,552.0,1.61,18.47,2.95,0.37,3.32,0.4,2.92,0.08,2.84,0.66,2.18,0.0,2.18,15.97,11.8,3.7,5.9,204.24,504908.0___NA__
Durlax Top,-1.0,DURLAX,Miscellaneous,88.85,,,,,,,,,,,,,,,,,,147.74,-1.0_DURLAX
Duropack,526355.0,__NA__,Packaging,75.3,0.93,7.7,0.4,0.25,0.65,0.13,0.52,0.0,0.52,0.27,0.25,0.0,0.25,5.19,3.25,5.27,0.47,39.68,526355.0___NA__
Duroply Indust.,516003.0,__NA__,Miscellaneous,296.5,3.25,84.22,4.94,1.26,6.2,0.85,5.35,1.88,3.47,1.21,2.26,0.0,2.26,5.87,2.68,6.46,2.91,292.44,516003.0___NA__
Dutron Polymers,517437.0,__NA__,Plastics Products,176.9,1.13,28.02,1.55,-0.08,1.47,0.31,1.16,0.28,0.88,0.18,0.71,0.0,0.71,5.53,2.53,6.0,1.18,106.14,517437.0___NA__
Dwarikesh Sugar,532610.0,DWARKESH,Sugar,74.23,25.98,532.55,86.43,1.89,88.32,12.81,75.51,5.92,69.59,22.9,46.69,0.0,46.69,16.23,8.77,18.83,2.48,1375.51,532610.0_DWARKESH
Dynacons Sys.,532365.0,DSSL,Computers - Software - Medium / Small,1155.0,18.92,226.33,18.38,0.85,19.23,0.35,18.88,2.63,16.25,4.07,12.17,0.0,12.17,8.12,5.38,11.28,9.59,1468.34,532365.0_DSSL
Dynamatic Tech.,505242.0,DYNAMATECH,Engineering,7350.0,40.69,367.88,49.46,7.16,56.62,16.54,40.08,15.12,24.96,7.4,17.56,0.0,17.56,13.44,4.77,6.34,27.69,4991.7,505242.0_DYNAMATECH
Dynamic Cables,540795.0,DYCL,Cables - Power,587.8,18.02,178.46,18.98,1.15,20.13,2.14,17.99,4.93,13.06,3.08,9.98,0.0,9.98,10.64,5.59,22.01,4.53,1293.97,540795.0_DYCL
Dynamic Industri,524818.0,__NA__,Dyes And Pigments,70.21,0.18,7.99,0.18,-0.1,0.08,0.22,-0.14,0.03,-0.17,0.04,-0.21,0.0,-0.21,2.25,-2.63,3.03,-0.69,21.28,524818.0___NA__
Dynamic Portfol,530779.0,__NA__,Finance & Investments,42.12,-0.04,0.52,-0.66,0.0,-0.66,0.0,-0.66,0.2,-0.86,0.0,-0.85,0.0,-0.85,-126.92,-163.46,,-0.73,49.24,530779.0___NA__
Dynamic Services,-1.0,DYNAMIC,Miscellaneous,222.3,7.06,42.94,3.45,,,,,,,,,,8.75,,,,6.47,305.57,-1.0_DYNAMIC
Dynavision,517238.0,__NA__,Miscellaneous,346.0,2.03,1.93,1.35,0.14,1.49,0.02,1.47,0.1,1.37,0.39,0.97,0.0,0.97,69.95,50.26,,2.53,132.86,517238.0___NA__
Dynemic Products,532707.0,DYNPRO,Dyes And Pigments,295.0,7.89,72.43,10.6,0.24,10.84,4.14,6.7,3.59,3.11,-0.84,3.94,0.0,3.94,14.63,5.44,11.33,3.37,354.83,532707.0_DYNPRO
E Factor Experie,-1.0,EFACTOR,Miscellaneous,228.0,1.88,100.28,11.94,,,,,,,,,,8.05,,,,8.36,298.41,-1.0_EFACTOR
E-Land Apparel,532820.0,__NA__,Textiles - Processing,9.0,-0.22,57.6,2.37,1.0,3.37,1.15,2.22,12.69,-10.47,0.0,-10.46,0.0,-10.46,4.11,-18.16,47.99,-2.18,43.19,532820.0___NA__
E2E Networks,-1.0,E2E,Computers - Software - Medium / Small,1642.05,11.24,17.59,9.02,0.39,9.41,6.0,3.41,0.15,3.26,0.72,2.53,0.0,2.53,51.28,14.38,14.48,1.75,2378.81,-1.0_E2E
Earthstahl &All.,543765.0,__NA__,Steel - Medium / Small,43.03,2.48,43.65,3.32,,,,,,,,,,1.75,,,,1.43,52.67,543765.0___NA__
East Buildtech,507917.0,__NA__,Construction,31.5,0.07,0.26,0.19,0.0,0.19,0.0,0.19,0.02,0.17,0.04,0.13,0.0,0.13,73.08,50.0,1.91,0.69,5.91,507917.0___NA__
East West Holdin,540006.0,__NA__,Miscellaneous,9.19,2.33,50.53,1.99,0.92,2.91,0.6,2.31,2.36,-0.05,-0.04,-0.02,0.0,-0.02,3.94,-0.04,24.1,0.0,117.23,540006.0___NA__
Eastcoast Steel,520081.0,__NA__,Trading,25.0,-0.19,2.57,-0.15,0.27,0.12,0.0,0.12,0.0,0.12,0.08,0.04,0.0,0.04,-5.84,1.56,5.4,0.07,13.5,520081.0___NA__
Eastern Treads,531346.0,__NA__,Miscellaneous,39.9,0.63,14.36,-0.65,0.02,-0.63,0.42,-1.05,0.84,-1.89,-0.28,-1.61,0.0,-1.61,-4.53,-11.21,5.41,-3.08,20.88,531346.0___NA__
Easun Capital Ma,542906.0,__NA__,Finance & Investments,46.22,0.25,0.36,0.07,0.01,0.08,0.0,0.08,0.0,0.08,0.02,0.06,0.0,0.06,19.44,16.67,5.23,0.11,24.17,542906.0___NA__
Easy Trip Plann.,543272.0,EASEMYTRIP,Travel Agencies,41.55,60.86,116.6,42.43,4.2,46.63,0.94,45.69,1.27,44.42,13.37,31.05,0.0,31.05,36.39,26.63,43.46,0.18,7362.81,543272.0_EASEMYTRIP
eClerx Services,532927.0,ECLERX,Computers - Software - Medium / Small,2417.55,207.23,693.1,206.91,5.09,212.0,31.86,180.14,5.65,174.49,42.14,132.36,0.0,132.36,29.85,19.1,33.1,27.04,11852.13,532927.0_ECLERX
Eco Hotels,514402.0,__NA__,Hotels,48.1,-2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,150.75,514402.0___NA__
Eco Recyc.,530643.0,__NA__,Miscellaneous,604.9,5.24,4.95,-2.99,-0.18,-3.17,0.2,-3.37,0.03,-3.4,0.42,-3.82,0.0,-3.82,-60.4,-77.17,19.3,-1.98,1167.26,530643.0___NA__
Ecoboard Inds.,523732.0,__NA__,Miscellaneous,32.5,0.18,5.81,-4.5,1.9,-4.4,0.26,-4.66,0.81,-3.67,0.0,-5.47,1.8,-3.67,-77.45,-94.15,17.83,-2.06,57.95,523732.0___NA__
Ecofinity Ato,539455.0,__NA__,Trading,40.93,0.0,0.1,-0.23,0.07,-0.16,0.0,-0.16,0.0,-0.16,0.0,-0.16,0.0,-0.16,-230.0,-160.0,3.85,-0.42,15.76,539455.0___NA__
Econo Trade Indi,538708.0,__NA__,Finance & Investments,8.44,1.58,1.1,0.98,0.02,1.0,0.0,1.0,0.43,0.57,0.17,0.4,0.0,0.4,89.09,36.36,18.67,0.21,15.74,538708.0___NA__
Ecoplast,526703.0,__NA__,Packaging,389.0,2.79,26.85,3.14,2.42,5.56,0.56,5.0,0.11,4.89,1.58,3.31,0.0,3.31,11.69,12.33,3.0,11.03,116.71,526703.0___NA__
ECS Biztech,540063.0,__NA__,Computers - Software - Medium / Small,12.56,0.05,0.3,-0.01,0.04,0.03,0.06,-0.03,0.0,-0.03,-0.19,0.16,0.0,0.16,-3.33,53.33,20.56,0.08,25.82,540063.0___NA__
Edelweiss.Fin.,532922.0,EDELWEISS,Finance & Investments,66.19,831.81,3012.39,803.35,51.48,854.83,50.23,804.6,656.11,148.49,-23.62,149.31,0.0,172.11,26.67,5.71,89.82,1.58,6247.5,532922.0_EDELWEISS
Educomp Sol.,532696.0,EDUCOMP,Computers - Education,2.55,-12.49,1.0,-16.99,0.16,-16.83,0.08,-16.91,1.27,-18.18,0.0,-18.19,0.0,-18.19,-1699.0,-1819.0,,-1.49,31.23,532696.0_EDUCOMP
Edvenswa Enter,517170.0,__NA__,Computers - Software - Medium / Small,58.7,3.01,16.96,1.66,0.28,1.94,0.08,1.86,0.05,1.81,0.13,1.68,0.0,1.68,9.79,9.91,8.65,0.93,111.12,517170.0___NA__
eDynamics Solut.,535694.0,__NA__,Trading,2.94,-0.01,0.0,-0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,7.52,535694.0___NA__
EFC (I),512008.0,__NA__,Miscellaneous,565.0,61.06,60.32,35.14,0.43,35.57,15.56,20.01,6.46,13.55,4.4,8.84,0.0,9.16,58.26,15.19,0.7,2.59,2812.38,512008.0___NA__
Eicher Motors,505200.0,EICHERMOT,Automobiles - Motorcycles / Mopeds,4673.1,1090.27,3804.32,933.65,378.89,1312.54,148.03,1164.51,8.16,1156.35,250.77,905.58,0.0,905.58,24.54,23.8,27.34,33.11,128047.86,505200.0_EICHERMOT
EID Parry,500125.0,EIDPARRY,Sugar,769.8,411.71,6860.31,615.4,4.97,620.37,105.07,515.3,87.14,428.16,141.26,178.95,0.0,286.9,8.97,4.18,17.74,10.08,13665.3,500125.0_EIDPARRY
Eighty Jewellers,543518.0,__NA__,Trading,46.5,1.28,50.41,1.46,,,,,,,,,,0.67,,,,0.66,47.43,543518.0___NA__
EIH,500840.0,EIHOTEL,Hotels,422.8,324.39,637.06,204.2,-15.86,239.73,31.71,208.02,12.07,144.56,52.4,114.36,-51.39,92.16,32.05,19.61,125.07,1.35,26440.42,500840.0_EIHOTEL
EIH Assoc.Hotels,523127.0,EIHAHOTELS,Hotels,924.7,52.28,107.83,32.14,2.68,34.82,4.04,30.78,0.08,30.7,4.52,26.17,0.0,26.17,29.81,24.27,30.47,8.59,2817.58,523127.0_EIHAHOTELS
Eiko Lifescience,540204.0,__NA__,Chemicals,50.5,0.47,6.59,0.36,0.21,0.57,0.16,0.41,0.03,0.38,0.1,0.28,0.0,0.28,5.46,4.25,8.32,0.2,62.71,540204.0___NA__
Eimco Elecon(I),523708.0,EIMCOELECO,Engineering,2502.65,7.88,64.24,13.47,2.37,15.84,2.09,13.75,0.13,13.62,3.86,9.77,0.0,9.77,20.97,15.21,5.77,16.94,1444.04,523708.0_EIMCOELECO
Ekam Leasing,530581.0,__NA__,Finance & Investments,5.81,0.1,0.15,0.02,0.01,0.03,0.0,0.03,0.04,-0.01,0.05,-0.05,0.0,-0.05,13.33,-33.33,3.0,-0.08,3.49,530581.0___NA__
Ekansh Concept,531364.0,__NA__,Miscellaneous,53.79,-7.87,40.46,8.46,1.41,9.87,0.03,9.84,3.27,6.57,1.92,4.67,0.0,4.67,20.91,11.54,15.13,3.09,81.39,531364.0___NA__
Ekennis Software,543475.0,__NA__,Computers - Software - Medium / Small,108.5,0.44,2.43,0.06,,,,,,,,,,0.01,,,,0.07,15.19,543475.0___NA__
EKI Energy,543284.0,__NA__,Miscellaneous,330.05,-21.34,91.29,-56.41,3.78,-52.63,0.81,-53.44,0.75,-54.19,-15.89,-38.3,0.0,-38.3,-61.79,-41.95,6.87,-13.92,908.52,543284.0___NA__
EL Forge,531144.0,__NA__,Castings & Forgings,19.73,1.0,18.24,2.11,-0.72,2.12,1.27,0.85,0.09,0.03,0.0,0.76,-0.73,0.03,11.57,4.17,20.32,0.01,40.09,531144.0___NA__
Elango Industrie,513452.0,__NA__,Miscellaneous,12.36,-0.02,0.0,-0.04,0.02,-0.02,0.0,-0.02,0.0,-0.02,0.0,-0.03,0.0,-0.03,,,3.82,-0.08,4.72,513452.0___NA__
Elantas Beck,500123.0,__NA__,Chemicals,11638.8,35.57,169.44,35.61,7.79,43.4,2.86,40.54,0.12,40.42,10.37,30.05,0.0,30.05,21.02,17.73,,37.91,9229.57,500123.0___NA__
Elcid Investment,503681.0,__NA__,Finance & Investments,3.53,58.59,3.08,1.14,0.0,1.14,0.21,0.93,0.0,0.93,1.31,-0.37,0.0,-0.37,37.01,-12.01,0.2,-18.5,0.07,503681.0___NA__
Eldeco Housing,523329.0,ELDEHSG,Construction,1036.1,9.27,38.7,18.1,3.29,21.39,0.17,21.22,0.52,20.7,5.79,14.9,0.0,14.9,46.77,38.5,1.97,15.15,1018.8,523329.0_ELDEHSG
Elecon Engg.Co,505700.0,ELECON,Engineering,1330.0,120.39,424.54,92.85,9.44,102.29,13.6,88.69,4.6,84.09,16.15,67.94,0.0,67.94,21.87,16.0,22.44,6.06,14922.62,505700.0_ELECON
Electro Force,-1.0,EFORCE,Electric Equipment,78.7,9.79,17.94,6.66,,,,,,,,,,4.47,,,,2.57,184.16,-1.0_EFORCE
Electronics Mart,543626.0,EMIL,Trading,230.4,115.31,1327.81,90.92,5.46,96.38,23.12,73.26,27.12,46.14,10.02,36.12,0.0,36.12,6.85,2.72,300.0,0.94,8864.62,543626.0_EMIL
Electrost.Cast.,500128.0,ELECTCAST,Castings & Forgings,177.55,406.42,1872.37,192.7,36.29,228.99,30.68,198.31,77.24,121.07,31.58,89.43,0.0,89.49,10.29,4.78,59.46,1.5,10557.25,500128.0_ELECTCAST
Electrotherm(I),526608.0,ELECTHERM,Steel - Medium / Small,794.8,125.96,1033.16,107.11,-34.47,109.1,12.08,97.02,18.99,41.57,0.0,78.03,-36.46,41.57,10.37,7.55,12.74,32.62,1012.8,526608.0_ELECTHERM
Elegant Floricul,526473.0,__NA__,Miscellaneous,6.18,0.03,0.76,-0.08,0.75,0.67,0.43,0.24,0.05,0.19,0.06,0.14,0.0,0.14,-10.53,18.42,19.97,0.07,12.36,526473.0___NA__
Elegant Marbles,526705.0,__NA__,Miscellaneous,256.8,1.15,10.6,1.82,-0.1,2.41,0.08,2.33,0.0,1.64,0.53,1.57,-0.69,1.11,17.17,14.81,3.66,3.03,93.99,526705.0___NA__
Elgi Equipments,522074.0,ELGIEQUIP,Compressors / Drilling Equipment,732.25,129.4,835.74,127.24,128.27,255.51,19.5,236.01,5.4,230.61,60.51,170.1,0.0,170.1,15.22,20.35,31.69,5.37,23205.71,522074.0_ELGIEQUIP
Elgi Rubber Co,-1.0,ELGIRUBCO,Miscellaneous,73.95,4.52,96.38,3.35,-5.95,0.6,3.88,-3.28,10.59,-17.07,-0.97,-12.92,-3.2,-16.09,3.48,-13.41,5.01,-3.21,370.49,-1.0_ELGIRUBCO
Elin Electronics,543725.0,ELIN,Electronics - Components,212.25,8.49,268.72,8.84,1.84,10.68,5.86,4.82,2.55,2.27,0.67,1.6,0.0,1.6,3.29,0.6,20.42,0.32,1053.98,543725.0_ELIN
Elixir Capital,531278.0,__NA__,Finance & Investments,106.95,4.29,-0.6,-2.11,0.24,-1.87,0.1,-1.97,0.3,-2.27,0.38,-1.96,0.0,-2.65,,,5.8,-3.38,62.03,531278.0___NA__
Elnet Technolog,517477.0,__NA__,Construction,341.0,4.7,6.46,3.46,1.67,5.13,0.5,4.63,0.06,4.57,1.78,2.79,0.0,2.79,53.56,43.19,4.0,6.97,136.4,517477.0___NA__
Elpro Internatio,504000.0,__NA__,Construction,100.3,38.78,43.32,10.08,1.8,11.88,1.24,10.64,2.06,8.58,8.91,-0.32,0.0,-0.32,23.27,-0.74,16.95,-0.02,1699.84,504000.0___NA__
EMA India,522027.0,__NA__,Engineering,43.42,-0.1,0.0,-0.12,0.0,-0.12,0.02,-0.14,0.0,-0.14,0.0,-0.13,0.0,-0.13,,,1.01,-1.29,4.39,522027.0___NA__
Emami,531162.0,EMAMILTD,Personal Care - Indian,757.35,313.84,835.95,199.46,13.75,213.21,63.97,149.24,1.37,147.87,6.25,141.62,0.0,141.62,23.86,16.94,44.12,3.27,33058.36,531162.0_EMAMILTD
Emami Paper,533208.0,EMAMIPAP,Paper,117.65,80.98,552.3,18.94,0.99,19.93,17.29,2.64,18.14,-15.5,-4.23,-11.27,0.0,-11.27,3.43,-2.04,12.1,-1.86,711.77,533208.0_EMAMIPAP
Emami Realty Ltd,533218.0,EMAMIREAL,Construction,103.65,-12.81,26.3,-34.27,19.31,-14.96,0.37,-15.33,8.72,-24.05,-6.26,-15.3,0.0,-15.3,-130.3,-58.17,7.57,-4.04,392.25,533218.0_EMAMIREAL
Embassy Off.REIT,542602.0,EMBASSY,Construction,355.56,737.63,895.32,648.68,29.1,677.78,347.02,330.76,253.65,77.11,41.67,35.45,0.0,35.45,72.45,3.96,,0.37,33703.31,542602.0_EMBASSY
Emerald Finance,538882.0,__NA__,Finance & Investments,31.2,2.03,3.87,2.04,-0.07,2.06,0.03,2.03,0.23,1.71,0.45,1.32,-0.09,1.25,52.71,34.11,29.04,0.41,94.04,538882.0___NA__
Emerald Leisures,507265.0,__NA__,Hotels,232.4,2.05,4.34,1.56,0.04,1.6,0.93,0.67,5.46,-4.79,0.17,-4.96,0.0,-4.96,35.94,-114.29,2.5,-9.91,116.34,507265.0___NA__
Emergent Indust.,506180.0,__NA__,Trading,99.22,2.03,80.04,-0.98,1.65,0.67,0.02,0.65,0.01,0.64,0.16,0.47,0.0,0.47,-1.22,0.59,4.57,1.03,45.34,506180.0___NA__
Emk.Global Fin.,532737.0,EMKAY,Finance & Investments,164.0,10.5,42.15,-11.84,8.3,-3.5,2.44,-5.94,1.34,-7.32,-2.01,-5.33,-0.04,-5.37,-28.09,-12.65,24.64,-2.18,405.29,532737.0_EMKAY
Emkay Taps & Cut,-1.0,EMKAYTOOLS,Engineering,995.0,24.02,44.07,19.92,,,,,,,,,,24.86,,,,23.3,1061.79,-1.0_EMKAYTOOLS
Emmbi Industries,533161.0,EMMBI,Packaging,112.2,9.5,100.19,9.06,0.06,9.12,2.45,6.67,4.14,2.53,0.8,1.72,0.0,1.72,9.04,1.72,17.69,0.97,198.49,533161.0_EMMBI
Emmessar Biotech,524768.0,__NA__,Chemicals,39.1,-0.21,0.32,-0.16,0.42,0.26,0.02,0.24,0.0,0.24,0.05,0.2,0.0,0.2,-50.0,62.5,5.0,0.4,19.55,524768.0___NA__
Emmforce,544166.0,__NA__,Auto Ancillaries,175.0,,,,,,,,,,,,,,,,,,358.74,544166.0___NA__
Empire Inds.,509525.0,__NA__,Diversified - Medium / Small,1012.85,6.96,177.62,26.89,4.47,31.36,4.47,26.89,10.89,16.0,2.43,13.57,0.0,13.57,15.14,7.64,6.0,22.62,607.71,509525.0___NA__
Empower India,504351.0,__NA__,Trading,2.65,3.36,1.98,0.03,0.02,0.05,0.0,0.05,0.01,0.04,0.04,-0.01,0.0,-0.01,1.52,-0.51,116.38,0.0,308.41,504351.0___NA__
EMS,543983.0,EMSLIMITED,Construction,669.1,46.84,190.24,47.71,2.02,49.73,1.01,48.72,1.2,47.52,11.71,35.46,0.0,35.82,25.08,18.83,,,3715.58,543983.0_EMSLIMITED
eMudhra,543533.0,EMUDHRA,Computers - Software - Medium / Small,870.0,24.62,76.81,23.77,2.17,25.94,3.94,22.0,1.6,20.4,4.59,15.8,0.0,15.8,30.95,20.57,35.09,2.03,7204.64,543533.0_EMUDHRA
Enbee Trade,512441.0,__NA__,Finance & Investments,11.56,-0.44,2.16,0.79,0.19,0.98,0.06,0.92,0.58,0.34,0.05,0.29,0.0,0.29,36.57,13.43,1.6,0.09,16.55,512441.0___NA__
Encode Packaging,530733.0,__NA__,Packaging,14.92,0.19,0.65,-0.03,0.0,-0.03,0.07,-0.1,0.0,-0.1,0.0,-0.1,0.0,-0.1,-4.62,-15.38,3.15,-0.32,4.7,530733.0___NA__
Endurance Tech.,540153.0,ENDURANCE,Auto Ancillaries,2704.15,299.0,2234.34,285.39,20.82,306.21,121.56,184.65,7.98,176.67,40.21,136.47,0.0,136.47,12.77,6.11,140.66,9.7,38037.35,540153.0_ENDURANCE
Energy Devl.Co.,532219.0,ENERGYDEV,Power Generation And Supply,24.0,6.37,3.55,-0.75,1.21,0.46,2.56,-2.1,1.45,-3.55,1.71,-5.27,0.0,-5.27,-21.13,-148.45,47.5,-1.35,114.02,532219.0_ENERGYDEV
Energy-Mission,-1.0,EMMIL,Engineering,375.0,8.77,56.11,9.64,,,,,,,,,,6.05,,,,2176.26,424.76,-1.0_EMMIL
Enfuse,-1.0,ENFUSE,Computers - Software - Medium / Small,132.9,2.76,,,,,,,,,,,,,,,,,117.57,-1.0_ENFUSE
Engineers India,532178.0,ENGINERSIN,Engineering - Turnkey Services,249.25,50.07,880.1,166.88,44.92,211.8,7.09,204.71,0.43,204.28,47.4,190.18,0.0,190.18,18.96,21.61,281.02,3.38,14008.9,532178.0_ENGINERSIN
Enkei Wheels,533477.0,__NA__,Auto Ancillaries,649.2,15.59,132.43,2.82,2.01,4.83,9.3,-4.47,2.08,-6.55,-2.15,-4.4,0.0,-4.4,2.13,-3.32,,-2.45,1166.92,533477.0___NA__
Enser,-1.0,ENSER,Computers - Software - Medium / Small,170.0,3.42,14.62,1.7,,,,,,,,,,0.93,,,,,148.17,-1.0_ENSER
Ent.Network,532700.0,ENIL,Entertainment / Electronic Media Software,245.75,45.8,125.51,11.35,7.08,18.43,21.41,-2.98,4.03,-7.01,0.3,-7.3,0.0,-7.3,9.04,-5.82,47.67,-1.54,1171.5,532700.0_ENIL
Entero Healthcar,544122.0,ENTERO,Trading,1055.95,28.6,887.21,20.39,0.58,20.97,7.17,13.8,12.82,0.98,4.8,-3.72,0.0,-3.82,2.3,-0.43,,-9.05,4592.74,544122.0_ENTERO
Enterprise Intl.,526574.0,__NA__,Trading,28.01,-0.07,1.34,-0.04,0.16,0.12,0.02,0.1,0.03,0.07,-0.06,0.13,0.0,0.13,-2.99,9.7,,0.44,8.36,526574.0___NA__
Envair Electrody,500246.0,__NA__,Engineering,193.95,-0.58,0.0,-0.18,-2.22,-10.78,0.0,-10.78,0.0,-2.4,-0.53,-10.25,8.38,-1.87,,,4.64,-4.03,89.98,500246.0___NA__
EP Biocomposites,543595.0,__NA__,Miscellaneous,159.0,0.26,3.68,0.42,,,,,,,,,,0.3,,,,1.78,26.74,543595.0___NA__
Epack Durable,544095.0,EPACK,Air-conditioners,250.25,23.39,639.08,61.16,1.1,63.81,7.06,56.75,9.27,45.93,12.58,34.48,-1.55,33.35,9.57,5.4,,6.4,2397.35,544095.0_EPACK
Epic Energy,530407.0,__NA__,Electric Equipment,15.75,0.04,0.29,-0.27,-0.02,-0.29,0.05,-0.34,0.0,-0.34,-0.01,-0.33,0.0,-0.33,-93.1,-113.79,,-0.46,11.36,530407.0___NA__
Epigral,543332.0,EPIGRAL,Chlor Alkali / Soda Ash,1426.0,122.77,562.18,154.71,4.54,159.25,30.13,129.12,18.99,110.13,33.33,76.8,0.0,76.8,27.52,13.66,41.55,18.48,5925.01,543332.0_EPIGRAL
EPL Ltd,500135.0,EPL,Packaging,203.35,183.4,969.3,154.6,27.4,182.0,79.0,103.0,20.6,82.4,-2.7,84.3,0.0,85.1,15.95,8.78,63.2,2.65,6474.22,500135.0_EPL
Epsom Properties,531155.0,__NA__,Construction,7.04,-0.06,0.0,-0.12,0.0,-0.12,0.0,-0.12,0.0,-0.12,0.0,-0.12,0.0,-0.12,,,7.45,-0.16,5.24,531155.0___NA__
Epuja Spiritech,532092.0,__NA__,Entertainment / Electronic Media Software,5.24,0.01,0.0,-0.1,0.0,-0.1,0.0,-0.1,0.0,-0.1,0.0,-0.1,0.0,-0.1,,,4.01,-0.02,40.64,532092.0___NA__
Equippp Social,590057.0,EQUIPPP,Computers - Software - Medium / Small,25.5,-0.04,0.3,0.22,0.01,0.23,-0.32,0.55,0.02,0.53,0.0,0.53,0.0,0.53,73.33,176.67,10.31,0.05,262.88,590057.0_EQUIPPP
Equitas Sma. Fin,543243.0,EQUITASBNK,Banks - Private Sector,97.04,714.1,1155.73,470.87,238.69,709.56,0.0,709.56,448.77,260.79,70.75,190.04,0.0,190.04,40.74,16.44,,1.71,11024.42,543243.0_EQUITASBNK
