Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter,join_key
Atlantaa,532759.0,ATLANTAA,Engineering - Turnkey Services,44.66,363.98,4.41,0.0,2.3,16.82,1.53,,72.18,15.96,0.0,37.82,554.77,8.15,19.36,0.21,0.71,0.0,7.0,3.0,0.27,3.11,23032.0,72.18,25.12,348.75,4.55,,458.74,19.05,169.54,1863.96,329.6,348.75,1844.81,27.81,0.0,0.0,0.0,0.0,-47.19,-0.67,-5.96,,23528.0,532759.0_ATLANTAA
Atmastco Ltd,-1.0,ATMASTCO,Engineering - Turnkey Services,323.4,799.92,48.92,0.0,7.4,6.92,0.66,29.62,68.43,4.44,0.0,37.82,812.41,2.47,43.65,0.97,1.38,0.0,5.0,3.0,0.95,4.28,2134.0,68.43,16.63,69.88,4.55,,118.91,12.06,80.57,210.89,234.22,69.88,375.22,31.53,0.03,,,0.0,,25.42,6.9,26.08,,-1.0_ATMASTCO
Atul,500027.0,ATUL,Chemicals,6559.05,19310.99,59.8,0.3,3.77,5.3,0.05,6.6,45.17,2.4,0.98,39.79,19475.24,2.94,1737.1,4.35,1.87,46.05,6.0,1.0,0.77,1.2,66589.0,44.73,7.9,71.6,3.67,,103.3,7.13,2070.79,77.26,84.23,71.6,89.89,20.69,8.47,0.41,-0.41,25.67,1582.78,15.3,9.13,11.48,65757.0,500027.0_ATUL
Atul Auto,531795.0,ATULAUTO,Automobiles - Scooters And 3 - Wheelers,716.55,1988.51,281.23,0.0,4.71,1.12,0.34,1.84,42.73,1.29,0.0,140.21,2110.71,2.78,151.3,5.22,1.19,8.22,6.0,5.0,0.83,1.51,49815.0,42.73,3.58,33.3,6.65,,117.05,3.66,104.96,68.81,38.81,33.3,74.32,56.39,0.48,-0.01,0.0,0.41,145.59,4.43,0.51,0.94,49414.0,531795.0_ATULAUTO
ATV Projects,500028.0,__NA__,Engineering,26.75,142.11,21.98,0.0,0.7,2.42,0.25,3.31,27.13,3.4,0.0,40.0,189.46,5.31,37.38,1.08,1.15,0.0,9.0,4.0,0.23,1.35,125317.0,27.13,2.57,42.47,6.71,,194.69,2.4,31.98,360.31,16.48,42.47,334.32,70.39,0.0,0.0,-0.48,2.48,36.17,1.49,1.4,1.96,124927.0,500028.0___NA__
AU Small Finance,540611.0,AUBANK,Banks - Private Sector,673.2,50014.56,31.39,0.15,4.08,1.77,6.89,14.52,22.93,6.43,0.0,12.74,116253.03,74.29,164.64,,3.05,0.0,4.0,3.0,0.12,8.22,230378.0,22.93,8.63,0.0,1.94,,-72.99,8.28,291.48,0.0,,0.0,,20.43,35.47,-5.66,0.34,21.15,164.64,7.39,1.79,15.45,155660.0,540611.0_AUBANK
Aurangabad Dist.,-1.0,AURDIS,Breweries & Distilleries,271.0,222.22,10.61,0.0,2.54,13.02,0.71,31.49,74.93,11.2,0.0,29.92,283.94,0.82,106.59,2.33,1.14,0.0,4.0,5.0,0.81,2.42,686.0,74.93,25.02,9.16,7.31,,135.33,17.46,247.41,55.01,110.66,9.16,156.51,25.07,0.0,0.0,0.0,0.0,81.06,29.58,12.07,28.94,371.0,-1.0_AURDIS
Aurionpro Sol.,532668.0,AURIONPRO,Computers - Software - Medium / Small,1376.95,7602.64,53.97,0.09,7.63,12.73,0.09,19.75,26.89,2.48,21.23,34.11,7415.18,5.52,180.91,-0.16,2.12,0.0,5.0,4.0,0.79,1.21,13489.0,21.18,14.95,119.62,3.7,,119.69,13.01,334.12,119.62,,119.62,,59.13,12.23,6.01,0.89,1.75,109.15,24.92,13.63,21.76,12767.0,532668.0_AURIONPRO
Auro Impex,-1.0,AUROIMPEX,Electrodes - Welding Equipment,66.6,81.26,13.99,0.0,2.24,9.67,0.81,46.41,71.55,11.2,0.0,27.0,101.61,1.22,29.74,9.76,1.15,0.0,3.0,5.0,4.05,4.8,1264.0,71.55,16.58,19.9,3.84,,57.17,14.73,56.45,54.5,2.79,19.9,37.4,28.45,0.0,0.0,-0.22,0.0,,24.5,10.32,57.32,1377.0,-1.0_AUROIMPEX
Auro Labs.,530233.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,195.0,121.49,15.59,0.0,2.9,10.99,0.63,20.46,52.15,7.47,0.0,32.0,146.09,0.62,67.32,2.9,0.94,0.0,6.0,3.0,0.76,1.69,9441.0,52.15,22.63,91.11,3.4,,89.41,12.94,137.6,119.01,85.34,91.11,113.24,47.85,0.0,0.0,0.0,0.01,54.87,9.92,4.4,7.43,9905.0,530233.0___NA__
Aurobindo Pharma,524804.0,AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1210.8,70945.48,21.6,0.37,2.39,7.76,0.22,11.58,51.83,6.84,20.86,34.7,71314.81,58.59,509.32,1.38,1.18,0.0,6.0,4.0,0.69,1.42,244575.0,41.02,11.03,60.62,3.58,,125.71,10.79,787.76,215.68,129.0,60.62,284.06,6.87,18.01,-2.71,2.68,23.28,458.07,9.2,5.25,7.47,241944.0,524804.0_AUROPHARMA
Aurum Proptech,539289.0,AURUM,Computers - Software - Medium / Small,155.4,925.24,,0.0,2.52,-12.45,1.77,-27.07,49.99,-4.14,0.0,34.11,1221.22,2.92,61.92,,0.44,0.0,5.0,5.0,0.41,2.87,72619.0,49.99,-9.46,39.61,3.7,,-76.24,-7.82,,39.61,,39.61,,50.0,0.01,0.01,0.0,0.0,31.08,-16.19,-13.27,-14.91,76677.0,539289.0_AURUM
Ausom Enter.,509009.0,AUSOMENT,Finance & Investments,92.2,125.57,13.71,0.54,1.01,6.05,0.03,7.59,73.7,9.78,0.0,23.18,127.15,1.36,91.66,134.73,6.57,0.0,7.0,4.0,6.39,1.21,7988.0,73.7,26.03,0.0,1.78,,11.65,9.76,117.76,0.05,0.05,0.0,0.1,26.3,0.0,-0.44,0.0,0.0,85.44,2.07,0.78,1.03,7601.0,509009.0_AUSOMENT
Austin Engg Co,522005.0,__NA__,Bearings,227.75,79.25,21.54,0.0,1.3,3.73,0.02,6.24,34.17,7.3,0.0,34.78,72.78,0.35,174.71,1.62,2.09,59.44,7.0,5.0,1.13,1.62,5030.0,34.17,5.87,75.08,4.44,,155.79,5.66,203.95,179.23,104.74,75.08,208.89,65.76,0.0,0.0,0.0,0.07,164.62,9.27,4.3,7.81,4410.0,522005.0___NA__
Australian Prem,-1.0,APS,Electric Equipment,559.15,1103.76,179.47,0.0,22.95,15.69,0.2,42.5,73.64,0.82,0.0,58.82,1092.66,1.97,24.36,26.63,2.62,0.0,3.0,4.0,3.82,2.71,1126.0,73.64,44.18,23.7,8.34,,12.8,10.59,41.32,-17.12,54.53,23.7,13.7,21.49,1.42,,,3.44,,33.35,9.02,26.02,,-1.0_APS
Authum Invest,539177.0,AIIL,Finance & Investments,1125.0,19107.59,4.55,0.0,1.84,45.65,0.06,61.44,74.72,21.34,0.0,23.18,19289.52,16.98,609.09,,11.08,0.0,7.0,6.0,0.47,0.9,8562.0,74.72,426.28,5.02,1.78,,15.08,36.43,1859.4,5.02,,5.02,,18.09,7.19,0.0,0.0,0.0,201.15,,,,8147.0,539177.0_AIIL
Auto Pins (I),531994.0,__NA__,Auto Ancillaries,192.5,109.86,106.66,0.0,13.32,5.19,0.47,13.33,70.03,2.14,0.0,36.73,112.82,0.57,14.46,6.82,0.59,0.0,8.0,3.0,3.26,2.41,1423.0,70.03,12.36,32.88,3.72,,31.47,11.37,24.23,38.14,50.57,32.88,55.83,29.94,0.0,0.0,0.0,0.03,12.63,14.08,5.08,12.52,1412.0,531994.0___NA__
Auto.Corp.of Goa,505036.0,__NA__,Auto Ancillaries,2392.0,1456.38,37.98,0.83,6.68,10.82,0.29,18.6,49.77,3.46,0.0,36.73,1477.56,0.61,359.61,8.27,1.86,0.0,9.0,5.0,1.65,1.62,10649.0,49.77,13.52,47.85,3.72,,119.58,13.71,714.07,33.32,58.58,47.85,44.06,50.21,0.01,0.0,0.0,0.0,318.14,14.3,8.22,14.11,10129.0,505036.0___NA__
Autoline Industr,532797.0,AUTOIND,Auto Ancillaries,126.65,493.46,31.11,0.0,3.64,3.13,1.43,15.05,33.39,5.96,0.0,36.73,668.84,3.9,34.81,2.83,0.48,0.0,8.0,3.0,1.29,3.74,25763.0,33.39,11.36,63.67,3.72,,66.03,6.83,57.42,129.35,62.87,63.67,128.56,53.89,0.15,0.15,0.27,12.58,19.25,6.83,0.29,1.96,24254.0,532797.0_AUTOIND
Automotive Axles,505010.0,AUTOAXLES,Auto Ancillaries,2047.9,3094.37,18.63,1.58,3.55,13.93,0.02,20.32,71.04,7.62,0.0,36.73,3032.87,1.51,579.63,6.6,2.17,0.0,7.0,5.0,1.87,1.36,30108.0,71.04,19.31,59.68,3.72,,91.69,18.35,1197.48,52.45,64.79,59.68,57.56,16.49,0.51,-0.12,0.01,11.97,502.46,30.81,14.69,23.43,34527.0,505010.0_AUTOAXLES
Automotive Stamp,520119.0,ASAL,Auto Ancillaries,1023.0,1622.49,81.01,0.0,,7.84,,,75.0,2.04,0.0,36.73,1725.32,1.59,-4.65,11.84,0.41,0.0,7.0,3.0,3.45,-34.65,29992.0,75.0,38.03,29.65,3.72,,-10.06,12.37,,-16.07,81.19,29.65,35.47,24.92,0.09,0.09,-0.01,0.0,-17.24,41.3,4.07,,31125.0,520119.0_ASAL
Avadh Sugar,540649.0,AVADHSUGAR,Sugar,638.05,1277.27,9.95,1.58,1.25,4.86,1.28,13.35,60.4,10.74,23.82,16.08,2592.49,2.0,513.69,1.55,0.04,0.0,5.0,6.0,1.02,2.56,23220.0,46.01,7.82,6.48,1.31,,153.01,9.75,860.04,210.63,69.43,6.48,273.57,34.5,4.13,-0.05,0.13,0.98,445.17,10.41,3.98,11.33,23069.0,540649.0_AVADHSUGAR
Available Fin.,531310.0,__NA__,Finance & Investments,275.0,280.5,2.36,0.0,0.26,11.74,0.0,11.74,66.32,0.1,0.0,23.18,280.48,1.02,1060.11,,0.75,0.0,3.0,5.0,0.0,0.94,2659.0,66.32,0.03,0.0,1.78,,-19.91,0.03,1666.67,0.0,,0.0,,33.69,0.0,0.0,0.0,0.0,923.78,0.05,20.43,20.45,2726.0,531310.0___NA__
Avalon Tech,543896.0,AVALON,Electronics - Components,542.85,3569.98,127.54,0.0,6.51,2.65,0.38,5.16,50.91,1.49,0.0,74.31,3672.02,6.58,83.29,1.74,1.4,0.0,4.0,2.0,0.82,1.93,70431.0,50.91,5.75,78.65,6.5,,186.27,5.85,89.35,223.33,64.36,78.65,209.05,24.19,2.43,-3.27,5.4,22.47,,16.72,5.93,16.77,71388.0,543896.0_AVALON
Avance Tech.,512149.0,__NA__,Trading,1.01,200.18,41.02,0.0,0.53,1.06,0.0,1.31,0.68,2.83,0.0,34.16,185.38,198.19,1.9,10.82,0.59,,6.0,3.0,0.31,1.23,75261.0,0.68,,30.71,3.16,,-105.36,1.03,1.03,-209.1,290.28,30.71,50.46,99.32,0.0,0.0,0.0,0.0,1.87,,,,49912.0,512149.0___NA__
Avantel,532406.0,__NA__,Telecommunications - Equipment,181.75,4421.41,79.73,0.12,25.8,29.44,0.1,39.15,40.06,1.87,0.0,75.7,4426.63,24.33,7.05,1.73,2.16,8.72,8.0,4.0,1.19,1.1,98052.0,40.06,38.1,104.49,13.89,,158.51,35.27,19.01,295.36,27.88,104.49,218.76,59.94,0.0,0.0,-0.01,0.0,4.59,37.08,22.76,30.72,82759.0,532406.0___NA__
Avanti Feeds,512573.0,AVANTIFEED,Food - Processing - Indian,606.4,8261.89,23.14,1.05,3.46,13.5,0.01,16.01,43.25,7.25,0.0,38.34,7541.33,13.62,173.62,5.11,4.62,0.0,7.0,5.0,1.84,1.23,110902.0,43.25,14.89,9.75,3.49,,96.39,17.37,320.0,57.45,27.17,9.75,74.87,32.44,14.11,0.64,-1.17,7.47,153.8,18.3,11.45,13.44,108983.0,512573.0_AVANTIFEED
Avasara Finance,511730.0,__NA__,Finance & Investments,29.66,14.83,67.41,0.0,6.05,8.0,0.0,9.36,65.88,1.49,0.0,23.18,14.81,0.5,4.9,,5.54,0.0,7.0,1.0,0.48,1.12,2051.0,65.88,13.84,406.17,1.78,,430.86,7.19,6.96,406.17,,406.17,,32.2,0.0,0.0,0.0,1.93,4.48,1.35,1.25,1.35,2061.0,511730.0___NA__
Aveer Foods,543737.0,__NA__,Food - Processing - Indian,509.0,205.04,164.04,0.0,11.73,3.53,0.29,7.41,72.6,1.2,0.0,38.34,209.84,0.4,43.37,2.36,0.15,0.0,8.0,3.0,2.72,2.03,3601.0,72.6,10.08,2.8,3.49,,49.52,7.34,55.03,111.34,23.12,2.8,131.66,27.41,0.0,0.0,0.0,0.0,40.34,8.36,2.55,6.48,3642.0,543737.0___NA__
Avenue Super.,540376.0,DMART,Trading,4662.25,303388.0,119.7,0.0,16.22,12.91,0.03,14.58,74.65,1.15,0.0,60.14,303341.98,65.07,287.33,12.07,1.15,0.0,5.0,6.0,2.59,1.05,684326.0,74.65,14.46,1.2,5.58,,27.15,16.62,501.96,26.01,8.31,1.2,33.12,8.5,8.26,0.3,0.06,8.51,248.03,20.1,14.14,15.95,740037.0,540376.0_DMART
AVG Logistics,543910.0,AVG,Miscellaneous,501.0,684.28,31.31,0.2,3.41,5.11,1.1,15.1,52.76,6.44,0.0,38.47,896.0,1.37,146.5,0.0,1.73,0.0,6.0,4.0,1.12,2.14,7519.0,52.76,10.84,122.94,3.17,,123.21,12.63,281.02,122.94,,122.94,,37.77,8.03,2.84,-0.25,1.44,75.71,11.74,1.88,9.15,3791.0,543910.0_AVG
AVI Polymers,539288.0,__NA__,Trading,12.76,5.22,261.2,0.0,1.08,0.38,0.17,0.41,25.17,0.5,0.0,34.16,6.01,0.41,11.86,1.11,114.0,0.0,4.0,0.0,0.12,1.08,9267.0,25.17,0.58,570.31,3.16,,1916.25,0.53,3.61,1217.89,11.77,570.31,659.35,74.84,0.0,0.0,0.0,0.0,11.81,3.35,2.31,2.52,9595.0,539288.0___NA__
AVI Products,523896.0,__NA__,Trading,25.0,8.27,31.8,0.0,1.18,4.05,0.04,4.49,23.68,7.78,0.0,34.16,5.2,0.33,21.32,1.63,4.13,0.0,4.0,4.0,0.76,0.91,14045.0,23.68,3.67,60.21,3.16,,185.13,4.19,19.42,240.4,71.61,60.21,251.8,76.32,0.0,0.0,0.0,0.0,17.57,7.18,4.42,4.73,14007.0,523896.0___NA__
Avishkar Infra,508929.0,__NA__,Construction,47.58,11.42,,0.0,,-11.56,,,34.69,-1.03,0.0,36.76,19.42,0.24,-41.32,0.0,0.12,,3.0,2.0,0.0,-0.91,1750.0,34.69,,,3.11,,,-2.78,,,,,,65.3,0.0,0.0,-0.04,0.0,-37.12,-12.54,-10.95,,1744.0,508929.0___NA__
Aviva Industries,512109.0,__NA__,Trading,23.5,3.52,,0.0,1.13,-0.72,0.24,-0.96,65.3,-0.73,0.0,34.16,4.09,0.15,20.75,,0.59,0.0,4.0,4.0,0.14,1.33,676.0,65.3,-0.78,0.0,3.16,,-207.67,-0.71,,0.0,,0.0,0.0,34.7,0.0,0.0,0.0,0.0,20.75,0.26,0.24,0.32,670.0,512109.0___NA__
Avonmore Capital,511589.0,AVONMORE,Finance & Investments,13.64,318.53,15.87,0.0,1.06,4.15,0.09,6.93,69.17,7.69,0.0,23.18,330.73,23.35,12.92,0.0,1.5,0.0,5.0,2.0,0.26,1.6,10622.0,69.17,17.55,202.72,1.78,,136.56,4.85,,202.72,,202.72,,30.81,0.0,-0.01,0.0,0.01,11.91,45.41,29.83,47.66,8193.0,511589.0_AVONMORE
AVP Infracon,-1.0,AVPINFRA,Construction,130.0,324.74,17.77,0.0,3.5,15.33,0.64,73.28,62.33,7.76,0.0,23.53,369.45,2.5,37.26,1.4,1.39,0.0,4.0,4.0,1.27,4.78,1431.0,62.33,31.22,23.04,2.74,,117.16,15.52,78.35,138.66,144.67,23.04,260.29,28.45,4.94,,,4.28,,30.02,12.69,60.05,,-1.0_AVPINFRA
Avro India,543512.0,AVROIND,Plastics Products,116.65,117.68,29.12,0.0,4.07,8.47,0.54,15.05,70.37,5.33,0.0,34.93,132.94,1.01,28.62,10.66,1.25,0.0,4.0,4.0,1.96,1.65,8843.0,70.37,11.52,80.65,3.72,,89.83,12.89,50.78,79.61,36.45,80.65,35.42,29.6,0.02,0.02,0.0,0.0,24.62,20.53,10.34,17.79,8356.0,543512.0_AVROIND
AVSL Industries,-1.0,AVSL,Plastics Products,202.85,108.14,45.25,0.0,3.06,3.13,0.99,7.23,71.88,4.38,0.0,34.93,142.33,0.53,66.22,5.86,0.75,0.0,7.0,1.0,1.8,2.31,102.0,71.88,6.54,66.41,3.72,,101.01,6.85,79.12,108.31,20.36,66.41,62.26,28.12,0.0,0.0,0.0,0.0,62.01,4.71,0.93,2.16,103.0,-1.0_AVSL
AVT Natural Prod,519105.0,AVTNPL,Food - Processing - Indian,85.35,1299.87,24.39,0.94,2.79,9.52,0.09,11.84,75.0,5.93,0.0,38.34,1314.61,15.23,30.83,1.02,2.57,0.0,4.0,3.0,0.92,1.19,50423.0,75.0,11.43,77.6,3.49,,283.94,13.05,49.27,345.9,96.93,77.6,365.23,24.84,0.15,0.13,0.0,0.02,28.26,25.03,15.63,18.99,48975.0,519105.0_AVTNPL
AWFIS Space,544181.0,AWFIS,Miscellaneous,504.9,3505.01,,0.0,,-1.51,2.92,-15.42,28.56,1.75,0.0,34.07,4233.69,6.94,,89.0,0.65,0.0,7.0,5.0,0.73,4.63,44621.0,28.56,8.41,32.15,3.2,,-10.72,5.39,,32.15,,32.15,,52.49,7.47,,,11.49,,5.24,-6.02,,,544181.0_AWFIS
Axel Polymers,513642.0,__NA__,Plastics Products,66.25,56.42,36.17,0.0,3.77,2.6,1.71,10.94,61.26,6.22,0.0,34.93,81.06,0.85,17.6,3.18,0.29,0.0,8.0,4.0,2.13,4.01,10221.0,61.26,9.18,31.19,3.72,,77.75,7.96,26.93,85.42,71.47,31.19,125.7,38.51,0.0,0.0,0.0,0.24,15.89,12.63,2.13,9.13,10158.0,513642.0___NA__
Axis Bank,532215.0,AXISBANK,Banks - Private Sector,1266.3,391292.34,14.86,0.08,3.01,1.97,8.88,20.33,8.22,6.73,0.0,12.74,1434622.7,309.0,421.8,,2.84,0.0,3.0,6.0,0.08,10.36,786166.0,8.22,7.53,0.0,1.94,,17.72,7.18,900.73,0.0,,0.0,,7.81,53.84,-0.84,1.29,30.12,421.8,5.12,0.86,8.73,785502.0,532215.0_AXISBANK
AXISCADES Tech.,532395.0,AXISCADES,Computers - Software - Medium / Small,555.0,2328.12,70.93,0.0,4.0,3.27,0.54,7.11,60.3,4.63,20.58,34.11,2494.19,4.19,139.54,2.72,1.72,68.66,6.0,3.0,0.93,1.75,19144.0,47.89,7.82,89.47,3.7,,120.03,9.6,156.71,100.49,125.4,89.47,136.42,30.77,0.38,0.07,8.4,8.56,88.5,22.85,-3.77,-9.58,18983.0,532395.0_AXISCADES
Axita Cotton,542285.0,AXITA,Textiles - Products,21.26,554.61,27.3,0.35,8.59,22.7,0.39,34.79,62.77,4.91,0.0,31.14,574.16,26.09,2.48,81.05,2.42,14.76,4.0,5.0,12.3,1.39,128135.0,62.77,23.56,12.66,2.37,,24.57,28.56,6.59,18.13,1.13,12.66,6.61,36.76,0.47,0.01,0.0,0.0,2.0,49.06,17.98,38.45,105410.0,542285.0_AXITA
Axtel Industries,523850.0,__NA__,Engineering,604.0,975.75,30.37,1.0,8.63,17.14,0.0,30.72,49.95,4.81,0.0,40.0,951.14,1.62,69.95,2.21,1.4,0.0,8.0,3.0,1.19,1.66,19749.0,49.95,30.41,81.33,6.71,,97.62,22.7,176.92,147.24,111.03,81.33,176.95,49.79,0.02,0.02,0.25,0.25,59.52,26.2,10.77,18.86,19180.0,523850.0___NA__
AYM Syntex,508933.0,AYMSYNTEX,Textiles - Processing,103.0,522.53,61.99,0.0,1.22,0.87,0.76,2.0,73.54,6.14,0.0,21.29,826.98,5.07,83.71,3.65,0.59,0.0,5.0,4.0,1.4,2.29,11208.0,73.54,7.12,33.01,2.79,,54.27,4.88,27.55,21.76,114.8,33.01,103.56,26.25,0.1,0.01,-0.02,0.13,83.46,6.84,0.85,1.88,10928.0,508933.0_AYMSYNTEX
Azad Engineering,544061.0,AZAD,Engineering,1882.95,11130.69,190.03,0.0,17.22,8.45,0.06,13.8,65.9,1.14,0.0,40.0,11111.21,5.91,109.12,0.42,2.94,0.0,6.0,3.0,0.49,1.07,106231.0,65.9,15.71,182.03,6.71,,294.44,16.07,155.99,840.41,396.17,182.03,1054.55,22.13,6.98,2.3,-0.71,5.0,,15.95,1.71,5.23,135090.0,544061.0_AZAD
Aztec Fluids,544177.0,__NA__,Computers - Hardware,70.2,95.47,15.57,0.0,,19.84,0.34,39.91,73.53,8.49,0.0,115.53,101.37,1.36,,34.96,1.11,0.0,5.0,3.0,2.19,2.01,892.0,73.53,48.44,52.15,4.42,,41.42,19.57,,1.94,60.65,52.15,10.44,15.55,4.64,,,6.28,,23.71,11.04,23.06,,544177.0___NA__
B & A,508136.0,__NA__,Tea,615.05,190.66,18.66,0.08,1.44,5.73,0.37,8.04,59.15,10.1,0.0,30.73,208.16,0.31,426.19,3.1,1.31,0.0,5.0,3.0,1.24,1.78,2218.0,59.15,8.33,30.06,1.36,,69.58,8.59,562.81,87.48,38.27,30.06,95.69,40.85,0.0,0.0,0.0,0.01,393.74,12.68,5.42,7.89,2338.0,508136.0___NA__
B & A Packaging,523186.0,__NA__,Packaging,265.35,131.62,11.49,0.57,1.78,12.23,0.04,16.69,72.37,12.13,0.0,26.93,122.58,0.5,149.04,2.51,2.59,0.0,8.0,4.0,1.38,1.27,2873.0,72.37,15.47,64.05,1.82,,116.99,16.7,278.21,144.1,37.31,64.05,117.36,27.64,0.0,0.0,0.0,0.0,127.57,21.03,9.3,14.18,2941.0,523186.0___NA__
B C C Fuba India,517246.0,__NA__,Electronics - Components,66.0,101.05,26.88,0.0,5.21,11.62,0.46,21.39,32.82,3.73,1.99,74.31,109.32,1.53,12.72,2.61,1.18,0.0,7.0,2.0,1.0,1.66,12838.0,32.17,14.85,100.81,6.5,,186.91,11.85,26.51,145.12,81.61,100.81,125.93,66.97,0.0,0.0,0.0,0.2,10.24,13.32,7.92,15.81,11922.0,517246.0___NA__
B H E L,500103.0,BHEL,Electric Equipment,300.2,104531.55,370.43,0.13,4.29,0.47,0.36,1.1,63.17,0.91,0.0,58.82,107230.54,348.21,70.18,2.28,1.08,0.0,3.0,2.0,0.4,2.44,1499202.0,63.17,4.72,73.1,8.34,,181.61,1.65,35.78,41.06,188.86,73.1,156.81,12.14,8.76,1.72,-1.63,15.95,77.05,3.33,0.77,1.7,1265436.0,500103.0_BHEL
B N Rathi Sec.,523019.0,__NA__,Finance & Investments,135.55,138.93,13.15,1.11,2.21,5.85,0.0,19.76,47.61,524.05,0.0,17.68,4.07,1.02,61.45,,1.33,0.0,6.0,6.0,0.32,2.86,5756.0,47.61,22.39,77.04,2.85,,-556.99,7.45,119.18,77.04,,77.04,,52.4,0.0,0.0,0.0,0.0,52.24,30.4,5.11,19.27,5716.0,523019.0___NA__
B P C L,500547.0,BPCL,Refineries,306.55,132996.91,4.9,3.44,1.74,13.86,0.72,41.9,52.98,22.54,0.0,8.02,181309.6,433.85,174.33,9.3,0.28,0.0,8.0,7.0,2.29,2.58,723571.0,52.98,29.47,6.8,1.74,,-1.92,20.06,492.78,20.9,27.47,6.8,41.57,8.0,16.79,2.58,-0.83,21.3,123.37,6.86,1.78,6.34,749213.0,500547.0_BPCL
B P Capital,536965.0,__NA__,Finance & Investments,5.51,3.31,,0.0,0.71,-1.65,0.2,-2.96,7.06,-3.31,0.0,23.18,4.23,0.6,7.75,,1.52,,3.0,3.0,0.0,1.82,1738.0,7.06,-4.81,,1.78,,,-1.65,,,,,,92.94,0.0,0.0,0.0,0.0,7.98,-2.87,-1.65,-2.87,1734.0,536965.0___NA__
B-Right Real,543543.0,__NA__,Construction,145.4,150.22,61.82,0.0,1.08,2.07,1.1,1.77,71.92,3.28,0.0,33.28,300.12,1.03,135.08,0.43,0.57,0.0,5.0,3.0,0.16,1.87,142.0,71.92,7.04,0.0,2.89,,520.1,2.21,84.55,836.16,19.88,0.0,856.04,28.08,0.0,0.0,0.0,0.0,132.8,3.16,1.24,1.42,119.0,543543.0___NA__
B.C. Power,537766.0,BCP,Trading,4.73,33.02,45.84,0.0,0.83,0.92,0.02,1.79,19.33,5.82,0.0,34.16,33.81,6.98,5.83,31.98,36.18,0.0,6.0,5.0,1.21,1.93,38391.0,19.33,3.59,7.28,3.16,,158.11,4.76,3.68,7.36,0.0,7.28,0.08,80.47,0.19,0.0,0.0,0.0,5.72,3.65,0.7,1.75,37280.0,537766.0_BCP
B.L.Kashyap,532719.0,BLKASHYAP,Construction,93.5,2107.85,40.14,0.0,4.26,3.88,0.62,11.16,61.65,4.85,99.46,36.76,2384.64,22.54,22.02,1.24,0.72,0.0,8.0,4.0,0.92,2.73,38581.0,0.33,13.11,110.19,3.11,,153.4,7.94,33.97,297.53,160.5,110.19,347.84,37.44,0.89,0.59,0.02,0.02,19.73,13.77,3.17,9.98,30430.0,532719.0_BLKASHYAP
B&B Triplewall,543668.0,BBTCL,Paper,247.0,506.63,26.39,0.41,4.18,6.19,1.49,17.01,71.43,4.67,0.0,8.71,686.15,2.05,59.11,4.84,0.73,0.0,5.0,3.0,1.21,2.56,3098.0,71.43,16.67,74.76,1.1,,80.84,8.97,111.58,88.0,55.77,74.76,69.01,28.57,0.0,0.0,0.0,0.0,50.97,16.24,8.11,18.71,3050.0,543668.0_BBTCL
B2B Soft.Tech.,531268.0,__NA__,Computers - Software - Medium / Small,28.0,32.47,17.53,0.0,1.61,8.65,0.0,9.69,68.27,8.95,0.0,34.11,27.3,1.16,17.28,24.69,8.22,66.67,6.0,4.0,0.95,1.07,6971.0,68.27,9.48,33.41,3.7,,252.02,10.51,24.92,20.9,29.56,33.41,17.06,26.54,0.0,0.0,0.0,0.0,15.67,15.6,12.46,13.83,6817.0,531268.0___NA__
Baba Arts,532380.0,__NA__,Entertainment / Electronic Media Software,13.0,68.24,34.64,0.0,2.68,7.54,0.0,8.08,74.68,5.32,0.0,41.23,50.69,5.25,4.83,1.53,7.88,0.0,8.0,2.0,0.44,1.03,7860.0,74.68,8.53,21.02,2.96,,136.64,9.74,6.39,220.2,25.01,21.02,224.19,25.31,0.0,0.0,0.0,0.0,4.45,5.86,4.25,4.46,7734.0,532380.0___NA__
Baba Food,-1.0,BABAFP,Food - Processing - Indian,52.15,85.14,13.85,0.0,1.44,9.03,0.0,24.6,73.5,12.26,0.0,38.34,85.02,1.63,36.13,6.5,1.58,0.0,5.0,3.0,2.7,2.72,1925.0,73.5,13.9,23.66,3.49,,59.45,11.44,55.33,65.6,14.23,23.66,56.17,26.47,0.03,,,0.0,,17.93,8.19,22.37,,-1.0_BABAFP
