Name,BSE Code,NSE Code,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Market Capitalization,join_key
Ambition Mica,539223.0,__NA__,Miscellaneous,3.09,0.35,2.54,106.0,0.21,-0.13,,10.86,-228.26,-24.1,-12.5,0.35,-0.13,-127.93,-6.05,-30.67,11.92,10.06,-2.6,-2.74,0.0,,-704.77,0.01,12.68,37.58,9.57,0.62,0.25,0.0,,-1.42,-29.93,,0.97,-1.42,0.11,-3.05,4.61,539223.0___NA__
Ambitious Plasto,526439.0,__NA__,Trading,8.27,0.81,-29.98,92.5,0.6,,4.93,0.5,-81.82,346.79,-0.75,0.81,,92.5,-0.25,13.0,0.03,-320.0,-1.19,-0.86,0.0,,-17.92,0.01,90.59,4.94,100.24,0.95,-2.59,0.0,,43.61,-204.44,,0.05,43.64,11.25,240.0,4.8,526439.0___NA__
Ambo Agritec,543678.0,__NA__,Solvent Extraction,96.4,0.89,,,,2.26,,,,,,0.89,2.26,,,,,,,,0.0,,,,99.73,0.21,321.33,1.0,,0.0,,66.63,0.0,,,66.6,,,90.57,543678.0___NA__
Ambuja Cements,500425.0,AMBUJACEM,Cement - North India,672.9,5.0,363.87,20.84,1.99,21.1,5.8,36.63,40.04,9.41,38675.41,5.0,21.1,26.64,0.15,0.15,47192.56,1.1,0.18,1.51,12.29,203.79,1.93,0.04,94.02,2.48,66.56,0.98,3.12,12.29,253.86,29.36,14.66,188.31,49.31,29.36,5.92,180.62,165743.55,500425.0_AMBUJACEM
Amco India,530133.0,__NA__,Aluminium and Aluminium Products,58.1,0.23,19.96,9.81,1.71,1.98,16.16,19.27,,-29.82,35.61,0.23,1.98,14.63,-0.26,12.01,39.59,2.5,0.29,1.55,0.0,37.41,-39.2,0.04,38.97,20.3,19.42,0.8,2.12,0.0,62.74,3.54,7.72,19.28,48.68,3.55,4.27,95.52,23.88,530133.0___NA__
AMD Industries,532828.0,AMDIND,Packaging,72.0,0.5,-27.61,10.11,1.45,0.82,,50.18,107.32,81.98,156.12,0.5,0.82,25.87,-0.42,-62.43,247.11,-1.92,0.69,2.18,0.0,,-69.03,0.11,44.44,26.53,40.63,0.73,1.01,0.0,,5.67,9.23,,72.59,5.66,2.82,1533.67,138.03,532828.0_AMDIND
Amerise BioScie,531681.0,__NA__,Finance & Investments,0.65,,-53.71,-28.47,1.0,,,,133.33,,5.38,,,-28.47,1.15,0.0,0.0,-1.46,0.0,1.03,0.0,,0.47,0.0,28.21,30.11,20.37,0.7,0.4,0.0,,-25.27,1.78,,0.0,-25.24,2.58,214.5,4.29,531681.0___NA__
Ameya Precision,-1.0,AMEYA,Engineering,121.8,2.68,80.37,16.85,4.75,38.36,1.09,48.69,64.29,26.03,22.99,2.68,38.36,20.65,0.1,0.02,20.64,5.64,0.0,1.24,0.0,54.97,-0.03,0.0,82.57,12.81,229.19,0.87,2.94,0.0,52.17,14.78,16.13,122.86,22.09,14.78,8.99,217.52,91.36,-1.0_AMEYA
Amforge Inds.,513117.0,__NA__,Finance & Investments,11.82,,-10.09,26.91,8.89,1.45,,,-4700.0,,12.71,,1.45,53.81,-0.15,-2.63,12.6,-12.21,0.53,1.36,0.0,,-36.98,0.08,58.01,31.24,168.64,0.69,-0.79,0.0,,-14.42,3.96,,5.7,-14.42,3.32,-35.44,17.01,513117.0___NA__
Ami Organics,543349.0,AMIORG,Pharmaceuticals - Indian - Bulk Drugs,1304.25,7.44,-69.06,40.44,1.74,20.19,4.34,43.72,44.19,35.16,674.0,7.44,20.19,45.85,0.0,4.45,866.23,-10.32,0.29,1.38,25.87,420.31,-3.11,0.01,64.46,11.25,29.85,0.89,9.13,25.87,218.37,42.62,20.09,639.89,76.69,42.62,10.01,210.21,5335.09,543349.0_AMIORG
Amiable Logistic,-1.0,AMIABLE,Miscellaneous,88.0,0.63,83.11,6.44,1.4,8.19,,17.13,3.03,0.41,8.23,0.63,8.19,8.05,,1.52,5.91,1.85,0.25,1.76,0.0,99.71,-12.09,0.01,75.34,9.28,45.45,0.91,,0.0,90.11,24.13,28.8,21.24,24.59,24.82,5.31,35.79,15.39,-1.0_AMIABLE
Amic Forging,544037.0,__NA__,Castings & Forgings,1291.0,10.73,681.18,67.8,1.97,36.81,,19.69,,,54.97,10.73,36.81,70.32,,0.28,36.71,8.4,0.06,3.08,0.0,712.86,-0.28,0.0,82.76,14.5,439.26,0.85,,0.0,135.18,-170.3,53.24,2053.8,23.66,-170.11,26.73,376.13,1354.06,544037.0___NA__
Amin Tannery,541771.0,__NA__,Leather / Leather Products,2.27,0.52,20.04,17.89,1.12,1.3,3.27,73.29,140.0,4.83,12.51,0.52,1.3,25.62,-1.0,79.64,41.71,2.99,2.29,5.21,0.0,0.56,-115.3,0.02,29.31,26.54,17.62,0.73,1.6,0.0,0.93,13.93,4.59,134.12,3.2,13.93,2.41,204.25,24.51,541771.0___NA__
Amines & Plast.,506248.0,AMNPLST,Chemicals,292.05,2.48,443.72,23.01,2.18,5.1,2.08,35.15,30.97,1.18,220.1,2.48,5.1,24.78,0.01,2.13,310.41,1.26,0.62,1.67,6.9,100.46,-6.09,0.02,79.33,15.59,243.47,0.84,6.48,6.9,80.72,34.29,19.22,293.27,41.35,34.3,10.32,124.18,1606.85,506248.0_AMNPLST
Amit Internation,531300.0,__NA__,Trading,3.64,,-17.64,70.78,1.96,,-3.83,,-180.0,,19.61,,,70.78,0.68,0.0,0.3,-1.99,0.0,1.01,0.0,,7.68,0.05,29.8,40.23,40.0,0.6,-1.1,0.0,2.93,,0.5,34.5,0.14,,1.97,-172.5,6.9,531300.0___NA__
AMJ Land Holdin.,500343.0,AMJLAND,Construction,41.91,3.04,20.27,9.57,3.43,9.17,0.76,157.08,725.42,-61.6,178.95,3.04,9.17,10.69,0.76,1.3,116.04,4.9,0.08,1.15,7.39,64.1,-0.94,0.05,81.54,8.39,67.98,0.92,3.09,7.39,51.56,7.21,8.28,14.72,21.63,7.21,3.23,36.79,171.83,500343.0_AMJLAND
Amkay Products,544169.0,__NA__,Healthcare,74.5,2.08,-67.75,15.25,1.84,7.73,,31.32,,,3.92,2.08,7.73,17.37,-0.03,2.08,12.31,-7.69,,2.02,0.0,,-8.87,0.0,26.67,38.41,29.34,0.62,859.73,0.0,,-92.59,27.67,,11.18,-92.11,9.17,,64.48,544169.0___NA__
Amrapali Inds.,526241.0,__NA__,Trading,17.41,0.0,,19.49,1.02,1.22,,0.24,-81.25,-39.21,31.38,0.0,1.22,26.06,,69.97,88.53,,,5.81,0.0,2.92,,0.01,77.75,10.86,74.1,0.89,,0.0,4.9,19.75,0.0,283.43,12.73,19.76,160.94,2983.67,89.51,526241.0___NA__
Amraworld Agrico,531991.0,__NA__,Trading,1.04,,-68.24,29.0,7.0,,0.26,,5400.0,,11.33,,,29.0,0.48,0.0,0.3,-1.65,0.0,0.98,0.0,0.52,0.32,0.0,45.78,30.2,57.58,0.7,7.82,0.0,0.87,96.24,1.72,32.01,0.02,96.23,3.31,23.6,12.51,531991.0___NA__
Amrutanjan Healt,590006.0,AMRUTANJAN,Pharmaceuticals - Indian - Formulations,764.15,5.24,107.76,32.05,4.23,388.13,3.8,53.67,-21.72,8.61,288.49,5.24,388.13,35.17,0.07,0.04,278.01,7.04,0.04,1.26,23.14,303.77,0.67,0.02,83.93,4.96,37.42,0.95,4.22,23.14,186.88,79.13,26.13,376.75,78.23,79.15,13.18,161.73,2209.18,590006.0_AMRUTANJAN
Anand Rathi Wea.,543415.0,ANANDRATHI,Finance & Investments,3866.1,21.51,102.79,48.85,3.8,48.23,2.32,59.6,-2.03,1.01,648.85,21.51,48.23,51.88,0.03,0.23,601.25,25.56,0.08,1.16,26.02,1494.18,-0.12,0.0,87.42,10.09,354.22,0.9,10.27,26.02,433.27,58.22,50.47,1791.22,107.2,58.26,33.08,285.71,16171.22,543415.0_ANANDRATHI
Anand Rayons,542721.0,__NA__,Trading,46.96,0.2,6.69,11.47,2.22,2.47,2.85,18.43,163.01,4.4,36.25,0.2,2.47,11.83,-0.23,9.26,64.3,16.19,0.8,2.04,0.0,22.34,-19.84,0.12,43.59,27.74,42.17,0.72,-8.3,0.0,33.72,3.74,11.71,43.63,42.29,3.74,8.18,36.65,70.36,542721.0___NA__
Anant Raj,515055.0,ANANTRAJ,Construction,441.4,10.17,108.76,41.47,5.9,10.2,1.27,164.04,17.61,12.83,3656.36,10.17,10.2,43.59,0.01,2.36,3768.43,3.35,0.2,1.26,9.57,259.48,-2.79,0.01,95.83,2.56,152.23,0.97,29.11,9.57,135.51,625.16,5.57,237.76,71.17,625.15,7.16,192.66,15091.06,515055.0_ANANTRAJ
Andhra Cements,532141.0,ACL,Cement - South India,96.32,3.31,447.02,-685.8,1.03,-0.83,,15.96,11.37,-6.21,296.81,3.31,-0.83,-26.19,-0.48,-10.29,857.95,0.21,2.27,3.37,0.0,,-73.04,0.05,32.15,30.8,26.74,0.69,0.99,0.0,,-33.24,-22.39,,4.64,-33.23,1.81,-47.27,887.79,532141.0_ACL
Andhra Paper,502330.0,ANDHRAPAP,Paper,580.35,1.28,12.09,4.56,3.06,104.32,0.63,51.29,-53.43,-23.54,1893.2,1.28,104.32,5.21,0.77,0.34,1832.49,10.49,0.11,1.18,11.71,999.58,-7.94,0.02,64.68,14.02,42.59,0.86,0.69,11.71,956.55,7.25,31.73,8.33,232.03,7.24,4.39,60.09,2308.08,502330.0_ANDHRAPAP
Andhra Petrochem,500012.0,__NA__,Chemicals,116.0,1.25,10.77,6.87,8.93,10.93,-8.06,44.23,347.35,100.46,555.69,1.25,10.93,7.95,0.59,1.32,559.07,14.85,0.15,1.2,26.8,192.13,23.41,0.3,84.18,8.59,100.0,0.91,0.85,26.8,104.78,9.56,28.41,27.7,41.04,9.56,5.56,22.44,985.64,500012.0___NA__
Andhra Sugars,590062.0,ANDHRSUGAR,Chlor Alkali / Soda Ash,116.35,0.83,29.39,9.01,3.96,66.18,-1.27,34.52,202.2,-3.95,1582.87,0.83,66.18,16.06,0.62,0.41,1647.9,3.18,0.03,1.3,18.05,112.06,0.92,0.04,65.83,9.8,26.47,0.9,0.61,18.05,120.66,11.13,13.69,20.16,48.25,11.13,3.73,54.53,1576.96,590062.0_ANDHRSUGAR
Andrew Yule & Co,526173.0,__NA__,Diversified - Medium / Small,44.78,7.07,-78.38,-44.63,0.71,-3.72,,6.05,-77.96,-11.7,339.32,7.07,-3.72,-39.25,0.06,-2.4,269.12,-5.96,0.59,2.14,0.0,,-7.43,0.02,47.59,34.99,95.55,0.65,-55.08,0.0,,96.0,0.13,,0.38,95.99,5.8,-101.37,2189.51,526173.0___NA__
Aneri Fincap,531252.0,__NA__,Finance & Investments,6.82,2.09,-0.16,-1.01,0.0,-3401.0,,3.06,-15638.1,-93.33,-43.93,2.09,-3401.0,-1.01,-26.98,-0.95,0.03,-231.42,-0.74,-0.38,0.0,,-1582.44,0.39,80.83,9.79,84.32,0.9,-0.02,0.0,,-0.06,-218.7,,0.1,-0.06,-4235.98,-0.06,2.05,531252.0___NA__
ANG Lifesciences,540694.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs & Formln,51.3,0.51,21.11,12.13,1.26,0.24,,62.48,21.57,99.3,77.08,0.51,0.24,54.68,-0.44,-6.86,135.43,2.29,0.98,3.05,0.0,,-105.21,0.09,16.38,40.39,15.31,0.6,0.79,0.0,,-5.12,21.29,,62.66,-5.1,2.08,-29.38,66.99,540694.0___NA__
Angel Fibers,541006.0,__NA__,Textiles - Products,24.0,0.32,4.88,9.34,1.24,0.94,-31.88,13.86,-192.59,-0.21,26.12,0.32,0.94,27.51,0.09,946.6,69.92,15.07,2.21,3.56,0.0,1.48,-96.25,0.0,40.65,25.0,29.59,0.75,0.28,0.0,2.17,5.03,6.84,2760.0,10.49,5.03,4.1,17.14,60.0,541006.0___NA__
Angel One,543235.0,ANGELONE,Finance & Investments,2550.35,5.38,105.41,9.22,1.47,12.13,0.29,83.55,30.59,28.16,3038.61,5.38,12.13,9.5,0.33,2.26,3978.56,5.11,1.86,3.41,0.0,3495.23,16.46,0.33,44.99,34.61,76.37,0.65,19.32,0.0,1044.2,-69.65,39.37,142.86,396.14,-69.62,4.15,67.56,22967.96,543235.0_ANGELONE
ANI Integrated,-1.0,AISL,Miscellaneous,133.0,0.69,-33.83,14.6,1.9,3.14,,37.89,15.57,13.66,52.31,0.69,3.14,16.3,-0.21,4.28,74.29,-5.68,0.46,1.79,0.0,82.88,-16.49,0.02,74.75,17.65,173.38,0.82,-6.05,0.0,84.25,-14.58,12.2,56.09,73.25,-14.56,5.54,66.76,128.84,-1.0_AISL
Anik Industries,519383.0,ANIKINDS,Construction,50.62,1.4,3.91,11.85,5.67,13.2,3.03,142.28,-1179.31,396.39,383.76,1.4,13.2,12.44,0.41,24.47,300.3,8.55,0.38,1.17,0.0,10.93,-103.74,0.04,58.71,22.48,70.15,0.78,0.55,0.0,18.34,3.2,2.92,18.9,51.49,3.2,2.46,-44.88,140.47,519383.0_ANIKINDS
Anjani Finance,531878.0,__NA__,Finance & Investments,13.1,15.44,5.21,9.95,13.44,2.94,1.9,491.86,-77.78,-45.0,14.67,15.44,2.94,10.05,1.42,0.0,4.36,11.44,0.0,1.54,0.0,8.61,31.1,0.36,45.35,34.99,80.69,0.65,0.75,0.0,14.44,2.22,6.89,18.41,4.19,2.22,3.37,664.0,13.28,531878.0___NA__
Anjani Foods,511153.0,__NA__,Food - Processing - Indian,44.06,2.39,2048.79,31.43,0.63,3.66,,0.93,-3.57,-6.27,14.41,2.39,3.66,53.76,,7.28,29.93,0.27,0.62,2.41,0.0,5.21,-6.95,0.0,72.85,15.93,103.42,0.84,,0.0,7.46,18.71,10.49,855.02,0.17,18.74,7.52,456.07,123.14,511153.0___NA__
Anjani Portland,518091.0,APCL,Cement - South India,202.0,0.95,12.8,33.96,0.69,-0.56,,-7.04,23.23,-5.45,294.44,0.95,-0.56,-55.97,,-10.85,805.98,6.2,1.48,3.47,0.0,,-72.73,0.0,61.43,12.91,30.91,0.87,,0.0,,11.28,-3.08,,-14.95,11.27,1.87,-135.16,593.36,518091.0_APCL
Anjani Synth.,531223.0,__NA__,Textiles - Processing,48.85,0.28,6.17,9.69,1.75,2.02,2.02,39.03,77.89,7.16,82.45,0.28,2.02,12.33,-0.04,10.28,115.18,9.18,0.53,2.16,0.0,37.93,-60.46,0.0,74.32,13.39,80.93,0.87,0.53,0.0,60.27,5.6,7.23,15.69,67.04,5.58,3.86,42.63,72.05,531223.0___NA__
Anka India,531673.0,__NA__,Computers - Software - Medium / Small,15.49,,-5.22,45.16,0.08,,0.62,,-16.67,,5.68,,,46.24,-0.47,14.24,7.25,-19.6,1.07,1.63,0.0,5.0,-44.09,0.01,75.63,24.37,,0.76,-6.37,0.0,8.38,-84.23,-0.77,76.68,0.33,-84.63,2.0,135.4,13.54,531673.0___NA__
Ankit Met.Power,532870.0,ANKITMETAL,Steel - Medium / Small,4.0,0.07,1.8,-5.25,0.33,-1833.29,,-46.32,21.59,-28.67,-1032.17,0.07,-1833.29,-4.52,-14.15,-11.19,76.81,10.85,-1.98,-1.37,0.0,,-3610.19,0.02,44.62,34.53,73.91,0.65,0.05,0.0,,1.05,-19.25,,-26.85,1.05,-1.56,-0.74,56.44,532870.0_ANKITMETAL
Anlon Tech,-1.0,ANLON,Miscellaneous,555.0,9.91,-64.16,48.84,2.53,10.89,1.64,68.9,3.6,-0.91,29.79,9.91,10.89,50.43,0.0,0.77,32.77,-19.35,0.11,1.34,0.0,149.78,0.97,0.02,86.97,8.57,166.83,0.91,-22.43,0.0,98.2,170.56,37.45,801.9,38.3,169.35,15.46,185.65,347.17,-1.0_ANLON
Anmol India,542437.0,ANMOL,Trading,35.2,0.13,6.86,3.24,1.97,3.14,0.23,12.09,-12.13,-0.28,100.27,0.13,3.14,3.27,0.68,4.08,182.73,10.24,2.54,3.78,0.0,61.91,-52.12,0.8,13.68,48.24,17.33,0.52,0.72,0.0,38.15,0.94,7.28,19.16,31.89,0.94,8.2,51.24,200.34,542437.0_ANMOL
Anna Infrastruct,530799.0,__NA__,Construction,28.75,6.51,30.92,12.08,29.5,79.0,1.0,305.36,600.0,133.33,10.17,6.51,79.0,13.3,0.18,0.0,5.52,3.56,0.0,1.0,0.0,44.91,3.84,0.03,58.3,32.37,202.31,0.68,2.67,0.0,30.83,14.76,3.63,19.47,13.5,14.77,4.02,156.14,10.93,530799.0___NA__
Annapurna Swadi.,-1.0,ANNAPURNA,Food - Processing - Indian,340.0,2.26,-15.65,22.99,1.15,4.48,,26.9,16.62,2.06,107.27,2.26,4.48,26.71,,4.02,150.94,-45.61,0.53,1.87,0.0,342.28,-8.36,0.01,50.38,20.37,35.11,0.8,,0.0,105.89,-45.33,26.3,232.17,40.49,-45.31,6.63,456.53,598.05,-1.0_ANNAPURNA
ANS Industries,531406.0,__NA__,Food - Processing - Indian,11.18,,-623.84,78.13,0.57,-31.0,,,229.17,,5.21,,-31.0,-37.81,-0.22,-4.3,4.72,-0.24,0.3,1.87,0.0,,-13.24,0.02,69.14,30.86,,0.69,-2.88,0.0,,-16.25,-10.63,,-0.25,-16.17,2.38,33.39,10.35,531406.0___NA__
Ansal Buildwell,523007.0,__NA__,Construction,123.9,2.21,3.63,4.55,1.26,4.75,0.21,285.13,-131.2,-88.51,122.65,2.21,4.75,5.05,1.38,2.2,121.26,17.05,0.56,4.05,5.09,399.04,-46.83,0.2,45.76,35.38,85.9,0.65,0.26,5.09,271.01,4.33,10.63,4.73,159.41,4.32,1.09,-18.22,91.44,523007.0___NA__
Ansal Housing,507828.0,__NA__,Construction,14.75,0.22,1.45,7.2,1.1,1.07,1.67,104.67,398.48,35.13,121.32,0.22,1.07,7.37,-2.21,56.33,504.74,12.55,5.03,16.25,0.0,12.62,-571.3,0.18,58.51,35.08,320.23,0.65,0.13,0.0,21.13,1.57,7.25,24.6,69.9,1.57,0.87,7.24,102.72,507828.0___NA__
Ansal Properties,500013.0,ANSALAPI,Construction,9.5,0.25,0.8,76.42,0.76,-1.31,,-178.32,-224.65,38.56,-656.49,0.25,-1.31,-23.39,1.75,-10.24,-358.01,-216.84,-1.94,-9.38,0.0,,-824.16,0.29,21.28,36.88,18.75,0.63,0.06,0.0,,1.78,-84.15,,-67.69,1.78,-0.24,-4.84,149.52,500013.0_ANSALAPI
Antarctica,-1.0,ANTGRAPHIC,Packaging,1.5,27.69,634.09,-73.71,83.0,,,1171.43,-228.57,-12.5,16.29,27.69,,-54.89,-0.12,-6.6,18.87,0.19,0.18,1.21,0.0,,-11.01,0.02,66.67,23.08,150.0,0.77,-16.32,0.0,,581.25,-0.94,,0.63,581.5,3.69,-101.13,23.26,-1.0_ANTGRAPHIC
Antony Waste han,543254.0,AWHCL,Miscellaneous,547.0,1.78,-23.46,9.48,1.3,3.76,0.7,23.54,93.21,-3.21,573.69,1.78,3.76,12.88,-0.01,4.47,908.37,-6.2,0.79,2.35,0.0,828.8,-23.68,0.05,88.4,5.57,81.55,0.94,1.12,0.0,371.68,11.11,16.61,49.37,72.36,11.11,3.35,56.46,1552.53,543254.0_AWHCL
Anuh Pharma,506260.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,227.45,1.76,38.98,12.99,2.2,224.74,0.85,28.72,-19.62,-4.77,291.22,1.76,224.74,14.4,0.16,0.04,235.21,10.91,0.11,1.46,20.86,174.75,-1.95,0.01,77.64,14.17,134.24,0.86,3.62,20.86,125.19,88.13,22.14,74.06,37.09,88.15,7.54,74.21,1139.81,506260.0___NA__
Anupam Finserv,530109.0,__NA__,Finance & Investments,2.0,7.29,36.31,12.22,2.92,5.17,3.08,14.51,-44.74,-12.36,15.56,7.29,5.17,16.08,0.19,2.51,2.7,3.49,0.15,1.18,0.0,1.08,-7.83,0.02,35.83,37.5,50.38,0.63,1.06,0.0,1.57,9.59,10.3,36.21,0.04,9.59,3.71,110.05,23.11,530109.0___NA__
Anupam Rasayan,543275.0,ANURAS,Chemicals,767.9,5.72,-28.38,22.42,1.69,3.7,3.1,118.2,55.53,35.7,2761.03,5.72,3.7,27.81,-0.06,6.39,3854.27,-8.1,0.39,1.52,10.67,430.14,-9.26,0.05,12.27,30.66,6.59,0.69,12.21,10.67,257.6,142.7,10.9,200.61,158.93,142.82,4.78,272.74,8430.47,543275.0_ANURAS
Anuroop Packagin,542865.0,__NA__,Packaging,23.31,0.89,-24.69,5.43,1.95,4.91,0.31,47.22,45.8,97.74,25.72,0.89,4.91,6.12,0.21,3.56,26.39,-2.89,0.56,1.6,0.0,91.67,-57.16,0.01,52.12,23.07,48.47,0.77,1.04,0.0,45.57,-16.3,16.38,5.83,12.29,-16.25,3.27,13.02,24.86,542865.0___NA__
Anzen IYEP Trust,543655.0,ANZEN,Power Generation And Supply,101.8,6.42,,10.39,8.2,0.56,,62.52,-30.35,-0.91,1326.86,6.42,0.56,65.06,,-25.03,2068.85,,0.56,1.67,-128.76,,-43.88,0.02,70.59,0.73,1.8,0.99,,-128.76,,9.86,1.65,,9.92,9.86,2.38,-180.93,1608.44,543655.0_ANZEN
Apar Inds.,532259.0,APARINDS,Electric Equipment,8520.85,2.12,-2032.06,21.18,1.54,3.86,0.94,18.17,8.57,11.14,3876.44,2.12,3.86,22.82,0.02,0.58,4250.03,-0.48,0.14,2.3,24.83,3995.9,0.31,0.02,94.08,3.71,157.95,0.96,13.24,24.83,2111.93,-120.91,40.2,366.36,730.04,-120.82,8.82,144.89,34226.82,532259.0_APARINDS
Apcotex Industri,523694.0,APCOTEXIND,Miscellaneous,440.1,2.03,-93.43,20.1,1.57,5.77,14.64,21.73,37.56,20.85,521.74,2.03,5.77,27.14,0.06,3.5,637.95,-3.65,0.48,1.65,52.93,192.24,-9.91,0.01,29.84,23.37,14.91,0.77,2.85,52.93,153.4,56.7,25.42,184.09,47.16,56.74,6.61,149.03,2281.7,523694.0_APCOTEXIND
Apeejay Surrend.,544111.0,PARKHOTELS,Hotels,180.55,6.65,53.24,18.96,0.96,2.34,1.28,5.22,-32.79,-2.01,1197.99,6.65,2.34,25.15,,1.45,1305.58,5.86,0.16,1.18,0.0,110.07,-3.27,0.01,38.65,23.17,23.45,0.77,,0.0,63.82,22.91,8.38,179.76,1.42,22.91,6.07,209.03,3852.46,544111.0_PARKHOTELS
Apex Frozen Food,540692.0,APEX,Aquaculture,223.7,0.87,16.84,17.92,3.01,2.94,-1.93,42.47,-112.12,9.14,497.06,0.87,2.94,26.89,0.07,7.32,598.97,7.0,0.23,1.25,42.81,93.24,-14.85,0.01,45.81,21.73,30.67,0.78,1.17,42.81,129.31,62.54,9.16,67.03,109.47,62.64,4.94,-1941.92,699.09,540692.0_APEX
Apis India,506166.0,__NA__,Food - Processing - Indian,230.75,0.4,19.27,5.27,1.93,5.59,0.15,47.88,-80.99,-0.09,147.82,0.4,5.59,5.65,-0.01,1.86,165.15,3.3,0.47,1.75,0.0,501.14,-54.51,0.01,100.0,0.0,225.18,1.0,1.39,0.0,597.32,-37.11,12.0,3.35,275.2,-37.18,3.85,42.81,127.15,506166.0___NA__
APL Apollo Tubes,533758.0,APLAPOLLO,Steel - Large,1624.45,2.49,373.29,36.21,1.34,9.62,1.63,6.54,2.98,14.07,3604.62,2.49,9.62,42.05,0.04,1.56,4668.53,2.8,0.33,1.81,20.84,450.42,-1.83,0.01,64.02,10.06,24.86,0.9,4.58,20.84,277.72,40.55,28.23,767.4,42.69,40.56,13.96,264.51,45082.5,533758.0_APLAPOLLO
Aplab,517096.0,__NA__,Electronics - Components,95.36,2.13,28.79,24.4,1.04,1.41,4.55,57.13,250.0,47.61,10.13,2.13,1.41,26.6,-0.3,32.46,35.81,11.05,4.13,7.25,0.0,10.03,-37.79,0.02,57.86,24.91,83.7,0.75,-3.51,0.0,12.18,-31.32,18.43,772.99,25.5,-31.29,3.97,94.43,105.76,517096.0___NA__
APM Industries,523537.0,__NA__,Textiles - Spinning - Synthetic / Blended,58.6,0.42,21.44,11.07,1.9,2.59,-2.8,17.18,-35.29,-16.57,170.92,0.42,2.59,24.3,0.3,6.93,224.19,3.0,0.19,1.46,25.9,38.0,-24.93,0.01,25.79,36.29,24.68,0.64,0.48,25.9,58.63,15.82,11.51,22.47,23.84,15.83,3.28,164.48,126.65,523537.0___NA__
Apollo Finvest,512437.0,__NA__,Finance & Investments,860.0,16.07,-39.96,30.42,1.41,52.0,1.01,13.42,-69.72,50.54,60.11,16.07,52.0,30.89,0.05,0.79,5.95,-12.28,0.11,1.22,0.0,254.51,-0.14,0.01,44.45,36.76,86.96,0.63,14.03,0.0,278.95,-8.87,20.07,213.97,7.24,-8.95,8.98,422.3,320.95,512437.0___NA__
Apollo Hospitals,508869.0,APOLLOHOSP,Healthcare,6132.05,4.63,127.07,36.81,1.13,4.07,2.81,9.08,1.57,1.92,6935.4,4.63,4.07,50.64,0.01,5.7,12267.5,5.9,0.87,2.25,9.6,1071.88,-5.75,0.01,65.44,10.8,29.75,0.89,4.67,9.6,823.56,45.92,15.8,1247.65,120.36,45.92,10.62,347.4,88169.46,508869.0_APOLLOHOSP
Apollo Micro Sys,540879.0,APOLLO,Electronics - Components,108.55,8.73,-67.69,39.5,1.98,2.48,47.22,154.24,29.87,48.28,519.39,8.73,2.48,45.43,-0.05,6.31,740.84,-7.99,0.4,1.59,0.0,28.05,-5.98,0.01,54.35,32.89,140.15,0.67,116.49,0.0,21.55,-46.11,11.11,601.5,19.18,-46.11,7.57,247.08,3244.2,540879.0_APOLLO
Apollo Pipes,531761.0,APOLLOPIPE,Plastics Products,633.1,2.68,400.97,26.79,1.09,13.71,5.54,8.41,-28.19,10.94,573.84,2.68,13.71,38.26,0.11,1.45,435.89,1.15,0.15,1.29,0.0,256.98,-2.74,0.01,21.28,20.75,7.62,0.79,4.01,0.0,188.1,21.31,12.63,268.4,19.84,21.28,7.65,401.55,2618.09,531761.0_APOLLOPIPE
Apollo Sindoori,-1.0,APOLSINHOT,Hotels,1490.4,0.75,569.86,10.48,1.62,3.46,-3.01,29.54,-53.76,-0.13,135.1,0.75,3.46,13.49,0.22,7.88,205.33,0.29,0.71,2.42,0.0,1207.27,3.83,0.34,15.95,43.8,17.35,0.56,2.06,0.0,705.43,27.42,13.46,100.51,590.04,27.43,5.07,225.33,387.57,-1.0_APOLSINHOT
Apollo Tyres,500877.0,APOLLOTYRE,Tyres,540.95,1.35,23.02,8.33,1.28,6.17,1.18,13.8,-28.7,-5.11,13902.19,1.35,6.17,12.27,0.13,2.85,20856.54,7.83,0.35,1.95,22.13,261.61,-11.59,0.03,90.3,3.38,48.21,0.97,1.08,22.13,365.42,9.99,11.19,48.06,55.15,9.99,4.24,91.08,34355.8,500877.0_APOLLOTYRE
Apoorva Leasing,539545.0,__NA__,Finance & Investments,33.99,18.45,3.6,25.4,26.04,,-2.15,816.58,-131.46,-26.47,144.91,18.45,,25.99,0.85,0.0,100.21,13.08,0.0,1.0,0.0,23.8,0.87,0.11,75.61,13.27,90.21,0.87,0.41,0.0,39.92,3.3,2.68,16.37,15.03,3.29,2.46,-242.5,67.9,539545.0___NA__
