Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization,join_key
G K P Printing,542666.0,__NA__,Trading,9.87,1.35,-1.48,-3.46,1.95,-0.16,2.25,2.11,-1.14,1.32,-2.34,0.52,-0.5,2.75,2.27,-1.2,-10.61,,,5.66,-3.12,,,,,-8.19,-7.56,1.7,2.59,,21.73,542666.0___NA__
G M Breweries,507488.0,GMBREW,Breweries & Distilleries,657.0,59.27,6.6,-48.49,-11.34,-0.56,1.61,13.2,59.47,96.04,-86.78,-9.18,0.08,1.52,23.87,165.2,274.56,367.21,502.86,252.78,332.98,457.1,589.64,-477.8,-411.11,-292.4,-230.19,6.85,1.12,6.26,1501.07,507488.0_GMBREW
G M D C,532181.0,GMDCLTD,Mining / Minerals / Metals,396.9,108.6,-365.5,238.1,-364.55,-17.85,51.07,510.39,908.04,931.58,-785.88,-137.27,8.44,42.64,98.08,985.36,1111.46,1217.88,1443.53,1521.63,1669.04,2052.36,2810.19,-1595.02,-1164.98,-1050.62,-1221.29,267.16,88.67,51.15,12621.42,532181.0_GMDCLTD
G M Polyplast,543239.0,__NA__,Plastics Products,182.0,4.96,3.11,-1.83,-1.83,1.31,0.94,0.94,-1.21,-0.46,-0.72,0.78,-0.41,1.34,0.94,2.96,0.32,2.21,8.82,9.91,8.22,11.13,18.86,-10.26,-8.8,-7.73,-6.86,1.98,1.39,0.92,244.96,543239.0___NA__
G N F C,500670.0,GNFC,Chemicals,723.35,32.0,-217.0,1235.0,-1281.0,-14.0,56.0,1529.0,1202.31,1373.08,-1229.43,-160.1,-16.45,72.64,1993.91,2814.66,4639.2,7093.02,9589.26,3371.74,5541.88,8061.61,10993.12,-4211.49,-3910.7,-3649.91,-1893.19,1450.73,234.91,12.51,10628.98,500670.0_GNFC
G R Infraproject,543317.0,GRINFRA,Construction,1726.5,-1592.4,-1687.15,947.65,1120.27,475.52,211.2,740.32,-85.03,184.41,-556.73,-20.34,-392.65,603.85,779.3,-2028.39,-3546.4,-4911.11,,-1241.54,-1964.93,-2579.55,,,-1869.2,-745.17,133.78,830.78,715.83,548.68,16693.34,543317.0_GRINFRA
G S Auto Intl.,513059.0,__NA__,Auto Ancillaries,36.58,8.91,7.47,-1.3,-7.62,-0.01,0.1,1.03,4.92,6.36,-1.37,-5.02,-0.03,0.14,0.98,12.79,15.31,34.13,61.41,16.21,19.24,41.96,82.9,-17.77,-7.38,-3.32,-3.09,1.82,1.97,2.62,53.1,513059.0___NA__
G S F C,500690.0,GSFC,Fertilizers,247.0,-268.08,-508.28,105.58,-403.11,-565.61,1097.9,2302.96,781.86,923.89,-39.37,-114.12,770.41,327.49,1439.77,415.4,1842.0,1910.12,2230.61,892.45,2667.17,3533.05,4461.03,-1550.64,-1005.39,-240.32,48.07,247.81,68.36,58.54,9842.42,500690.0_GSFC
G V Films,523277.0,__NA__,Entertainment / Electronic Media Software,0.84,-3.66,-3.69,0.06,3.5,-0.1,0.22,0.12,0.98,1.79,-0.8,-1.04,-0.05,0.27,0.22,-2.98,-2.3,-17.25,-58.24,-2.02,-1.24,-16.18,-45.49,4.23,15.91,-1.13,-0.85,0.18,0.15,0.24,76.85,523277.0___NA__
G-Tec Janix,-1.0,GTECJAINX,Miscellaneous,70.0,-0.15,-0.39,-0.42,0.25,-0.32,0.53,0.38,-0.11,0.27,-0.12,0.02,0.16,0.36,0.54,-0.19,-3.57,-7.62,,0.69,-2.16,-4.28,,,-3.93,-1.76,-0.83,0.11,0.85,0.75,71.33,-1.0_GTECJAINX
G-Tech Info.,532139.0,__NA__,Computers - Software - Medium / Small,1.6,0.02,0.02,0.0,0.0,0.02,0.11,0.13,0.01,0.01,0.0,0.0,0.01,0.11,0.11,0.03,-0.06,0.0,0.11,0.03,-0.06,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.19,0.14,0.56,532139.0___NA__
Gabriel India,505714.0,GABRIEL,Auto Ancillaries,486.55,188.89,97.17,-119.73,-52.33,16.83,39.83,73.19,48.65,136.36,-103.83,-33.7,-1.17,41.0,107.45,165.21,377.99,436.28,649.77,420.25,744.26,940.84,1268.15,-856.29,-671.09,-532.71,-266.35,91.03,48.57,5.25,6989.03,505714.0_GABRIEL
Gabriel Pet,544108.0,__NA__,Textiles - Manmade,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7,544108.0___NA__
GACM Tech,531723.0,GATECH,Finance & Investments,1.21,-2.46,-2.46,0.03,2.63,0.2,0.83,6.75,-0.04,0.18,-0.19,-0.02,-0.03,0.85,0.83,-14.99,-20.55,-14.08,-20.12,-12.45,-18.27,-11.8,-8.37,-43.54,-1.42,-1.63,-2.34,0.95,2.19,4.2,59.84,531723.0_GATECH
GACM Tech-DVR,570005.0,GATECHDVR,Finance & Investments,2.89,0.18,-0.04,-0.19,-0.02,-0.03,0.85,0.83,-12.49,-10.17,-2.18,12.26,-0.09,0.95,0.85,,,,,,,,,,,,,,,,17.08,570005.0_GATECHDVR
Gagan Gases,524624.0,__NA__,Chemicals,22.09,0.09,0.18,0.12,-0.02,0.2,0.15,0.34,0.09,-0.03,0.13,-0.15,-0.05,0.2,0.15,0.38,0.27,0.46,1.16,0.17,0.17,0.36,1.04,0.2,0.18,0.31,0.26,0.31,0.17,0.09,10.0,524624.0___NA__
GAIL (India),532155.0,GAIL,Miscellaneous,220.0,12585.72,98.28,-8273.42,-3457.39,854.91,243.77,1712.13,-5548.38,3204.69,-7452.78,2972.06,-1276.03,1519.8,1102.97,-2968.73,-549.35,5263.22,13289.83,25210.32,42549.08,59301.99,73500.73,-46561.93,-42515.65,-34155.59,-21216.19,2024.64,1425.1,1420.96,144652.18,532155.0_GAIL
Gajanan Sec.Serv,538609.0,__NA__,Finance & Investments,89.0,0.8,-1.22,-1.83,-5.58,-6.61,12.64,6.03,0.46,0.46,-0.45,-3.06,-3.05,15.7,12.64,0.07,5.35,-13.24,,-3.37,1.91,-16.51,,,-13.98,7.18,-0.68,18.6,4.53,2.19,27.6,538609.0___NA__
Gala Global,539228.0,__NA__,Printing & Stationery,3.6,-1.4,-1.4,0.98,0.42,0.01,0.0,0.01,-6.7,-7.17,0.51,6.58,-0.08,0.09,0.0,-25.18,-20.43,-15.15,-22.82,-25.58,-21.91,-13.28,-19.08,1.79,3.55,7.37,1.44,3.71,0.19,0.4,19.67,539228.0___NA__
Galactico Corpo.,542802.0,__NA__,Finance & Investments,3.96,-7.36,-10.3,-14.19,22.1,0.55,0.49,1.03,-8.19,-5.24,0.49,1.29,-3.46,3.95,0.48,-9.34,-10.92,-8.18,,-2.67,-1.13,4.72,,,-31.37,-22.43,-20.92,0.07,2.63,,59.01,542802.0___NA__
Galada Finance,538881.0,__NA__,Finance & Investments,16.47,-2.18,-2.69,-0.45,2.71,0.09,0.18,0.27,1.02,1.21,-0.07,-1.06,0.09,0.1,0.18,-1.42,-2.71,-1.96,-2.41,-0.71,-2.0,-1.18,-1.47,0.4,0.14,0.4,-0.07,0.12,0.15,0.05,4.94,538881.0___NA__
Galaxy Agrico,531911.0,__NA__,Castings & Forgings,41.55,-0.64,-0.67,0.09,0.49,-0.06,0.1,0.24,-1.2,-0.73,0.15,0.13,-0.44,0.54,0.29,-1.8,-1.9,-1.28,0.68,-0.05,-0.32,1.1,3.23,-1.6,-1.86,-0.97,-1.12,0.27,0.16,0.25,11.34,531911.0___NA__
Galaxy Bearings,526073.0,__NA__,Bearings,1412.1,4.76,-10.92,-15.94,11.3,0.12,0.09,0.22,10.25,23.94,-24.63,0.7,0.01,0.08,0.09,-0.64,11.79,12.15,18.66,30.79,51.67,53.3,66.89,-66.74,-59.52,-58.28,-42.85,0.07,0.86,0.17,449.03,526073.0___NA__
Galaxy Cloud,506186.0,__NA__,Food - Processing - Indian,42.07,-10.62,-9.56,1.06,9.72,0.16,-0.11,0.28,-6.72,-7.26,0.57,6.6,-0.09,-0.02,0.07,-19.21,-17.09,-71.07,-77.0,-19.08,-4.72,-50.16,-52.73,52.84,54.21,-12.16,-0.05,3.09,2.39,0.05,189.05,506186.0___NA__
Galaxy Surfact.,540935.0,GALAXYSURF,Chemicals,2757.5,518.42,362.12,-343.91,-188.92,-14.41,231.87,239.29,429.09,572.95,-140.58,-264.26,168.11,63.76,247.57,641.42,1073.65,1277.74,1476.77,1096.3,1777.2,2205.52,2527.37,-1230.3,-1102.1,-881.97,-566.32,111.38,25.69,26.08,9776.61,540935.0_GALAXYSURF
Gallantt Ispat L,532726.0,GALLANTT,Steel - Medium / Small,361.0,344.32,151.1,-248.06,-101.57,-5.3,5.62,12.31,-131.67,95.56,-225.07,126.48,-3.03,8.65,11.32,-19.68,-37.3,-19.3,55.66,673.84,888.49,1040.39,1197.33,-1181.7,-1100.25,-980.85,-681.94,11.53,2.5,2.89,8710.24,532726.0_GALLANTT
Gallops Enterp.,531902.0,__NA__,Construction,22.1,-0.12,-0.12,0.81,0.0,0.69,0.01,0.7,-0.15,-0.15,0.15,0.0,0.0,0.01,0.01,-0.42,-0.71,-1.03,,-0.42,-0.71,-1.03,,,1.34,1.34,1.1,0.01,0.07,0.39,11.09,531902.0___NA__
Gandhar Oil Ref.,544029.0,GANDHAR,Refineries,208.7,-69.34,-124.66,-65.92,159.84,24.58,46.85,276.73,48.73,104.39,-73.43,-43.79,-12.83,59.68,108.24,-24.91,136.4,,,201.7,390.15,,,,,-301.19,-255.31,121.46,115.23,97.46,2042.53,544029.0_GANDHAR
Gandhi Spl. Tube,513108.0,GANDHITUBE,Steel - Medium / Small,801.7,26.36,25.21,-36.68,-14.7,-25.02,27.98,2.96,44.39,45.32,-7.45,-12.28,25.59,2.39,27.98,107.4,156.59,215.85,274.2,113.32,164.34,227.31,291.31,-10.31,9.78,13.48,-22.47,2.83,3.52,3.23,974.23,513108.0_GANDHITUBE
Ganesh Benzopl.,500153.0,GANESHBE,Miscellaneous,151.55,51.32,-27.53,-119.66,75.96,7.63,3.33,83.46,28.11,71.35,-94.42,15.78,-7.29,10.61,34.38,64.05,122.53,175.29,239.92,205.2,289.01,388.72,493.88,-402.98,-370.16,-323.65,-280.23,28.43,3.57,1.59,1091.0,500153.0_GANESHBE
Ganesh Holdings,504397.0,__NA__,Finance & Investments,170.0,-0.06,-0.06,0.05,0.0,-0.01,0.02,0.01,-0.64,-0.64,0.66,0.0,0.02,0.0,0.02,-0.83,-0.98,-0.93,-1.24,-0.83,-0.98,-0.93,-1.24,0.25,-0.01,0.99,-0.15,1.0,0.01,0.01,6.88,504397.0___NA__
Ganesh Housing,526367.0,GANESHHOUC,Construction,955.8,637.81,485.68,-488.64,-243.74,-94.57,325.21,230.64,2.74,30.66,278.23,1.39,310.28,14.93,325.21,526.35,794.25,999.3,824.25,709.48,964.35,1168.84,1158.99,-135.08,35.52,-74.56,-171.02,19.77,43.15,49.27,7970.12,526367.0_GANESHHOUC
Ganesha Ecosphe.,514167.0,GANECOS,Textiles - Processing,1410.8,43.48,-112.46,-227.15,222.82,39.15,4.27,153.19,-165.93,20.25,-166.37,128.28,-17.84,22.1,6.22,-486.75,-468.9,,,128.55,235.94,,,,,-767.16,-646.17,15.16,,,3575.97,514167.0_GANECOS
Ganesha Ecoverse,539041.0,__NA__,Textiles - Products,70.01,-0.21,-0.22,0.06,0.94,0.78,0.04,0.04,-0.75,-0.78,-0.98,1.79,0.03,0.01,0.04,2.26,2.26,2.26,2.26,2.24,2.24,2.24,2.24,-0.92,-0.92,-0.92,-0.92,0.0,0.0,0.03,78.26,539041.0___NA__
Ganga Forging,-1.0,GANGAFORGE,Castings & Forgings,7.7,-10.64,-11.81,-1.16,12.47,0.68,0.18,0.86,-1.65,-1.09,-0.56,1.81,0.17,0.01,0.18,-13.83,-10.41,-19.15,,-10.4,-6.07,-7.9,,,-10.95,-4.04,-3.41,0.19,0.09,,103.31,-1.0_GANGAFORGE
Ganga Papers,531813.0,__NA__,Paper,102.23,8.88,8.88,-0.17,-9.79,-1.08,1.24,1.55,-8.07,-6.71,-0.09,0.8,-6.0,7.24,2.43,2.78,9.55,0.76,1.0,4.13,12.35,20.01,25.78,-23.15,-17.37,-1.39,-0.59,6.71,0.2,0.16,110.31,531813.0___NA__
Ganga Pharma.,539680.0,__NA__,Pharmaceuticals - Indian - Formulations,24.67,-1.26,-1.28,0.13,1.14,0.0,0.03,0.03,-0.05,-0.04,0.49,-0.44,0.01,0.02,0.03,-1.55,-2.07,-2.01,-2.83,-1.51,-2.0,-1.65,-2.38,1.21,1.6,1.46,0.81,0.01,0.24,0.55,11.93,539680.0___NA__
Ganges Securitie,540647.0,GANGESSECU,Finance & Investments,183.6,-5.22,-6.07,-0.85,-0.04,-6.11,6.68,38.46,1.3,3.13,-1.3,-2.83,-0.99,7.67,34.57,10.48,24.16,32.16,,14.58,30.26,39.45,,,-21.86,-27.97,-24.41,40.97,22.66,16.86,183.66,540647.0_GANGESSECU
Gangotri Textile,521176.0,GANGOTRI,Textiles - Cotton/Blended,1.44,-0.07,-0.07,-0.01,0.08,0.0,0.01,0.01,-0.08,-0.08,-0.01,0.08,0.0,0.01,0.01,-0.18,-0.23,1.79,156.29,-0.18,-0.23,1.78,6.79,144.41,-2.2,-0.39,-0.09,0.0,0.04,0.12,4.7,521176.0_GANGOTRI
Ganon Products,512443.0,__NA__,Trading,6.8,5.6,5.6,-9.74,4.21,0.07,0.13,0.2,5.84,5.84,-1.8,-3.92,0.12,0.01,0.13,11.2,10.05,10.17,12.51,11.2,10.05,10.17,12.51,-17.41,-15.47,-15.04,-12.13,0.09,0.01,0.34,6.34,512443.0___NA__
Garbi Finvest,539492.0,__NA__,Finance & Investments,18.59,-3.08,-3.08,3.39,0.0,0.31,0.05,0.01,7.49,7.49,-6.9,-1.08,-0.49,0.54,0.05,37.64,36.92,17.52,14.76,37.64,36.93,17.53,14.78,-13.57,-16.3,-36.35,-36.42,0.23,0.72,0.07,21.81,539492.0___NA__
Garden Reach Sh.,542011.0,GRSE,Miscellaneous,2290.25,-706.89,-754.96,1055.7,-357.52,-8.72,13.99,3720.34,1407.97,1450.23,-1666.29,220.33,4.27,9.71,4327.81,242.48,1154.39,866.0,,387.64,1530.76,1345.07,,,-644.61,-1109.79,-182.01,2281.17,1989.4,1620.26,26235.32,542011.0_GRSE
Garg Furnace,530615.0,__NA__,Steel - Medium / Small,277.0,-13.41,-14.03,-0.41,18.99,5.17,0.8,8.62,6.43,8.45,-4.01,-5.67,-1.23,2.03,3.3,-9.23,16.05,51.16,30.87,-4.71,21.05,54.74,41.23,-8.03,-3.93,-6.24,-6.16,1.52,0.49,0.38,127.66,530615.0___NA__
Garment Mantra,539216.0,__NA__,Textiles - Products,6.18,3.31,3.06,-0.74,32.9,35.47,0.33,35.8,4.63,5.6,-0.72,-7.21,-2.32,2.66,0.33,13.82,12.37,,,16.41,17.48,,,,,-15.35,-2.7,1.39,,,62.03,539216.0___NA__
Garnet Construct,526727.0,__NA__,Construction,25.75,-2.33,-2.36,5.94,-4.88,-1.26,1.33,0.07,-1.46,-1.4,2.04,-1.51,-0.87,2.2,1.33,-4.92,35.54,31.29,40.11,-4.8,35.91,31.68,40.55,15.48,15.06,11.93,10.43,7.25,0.78,0.42,35.79,526727.0___NA__
Garnet Intl.,512493.0,__NA__,Finance & Investments,66.79,6.69,16.09,10.06,-16.67,0.07,0.14,0.34,-9.69,-0.62,-8.48,9.36,0.26,0.12,0.49,2.41,-15.09,-83.36,-71.09,2.42,-12.52,-78.43,-60.13,39.24,52.75,13.06,1.75,0.71,0.61,3.9,131.13,512493.0___NA__
Garodia Chemical,530161.0,__NA__,Trading,7.87,-0.16,-0.16,0.0,0.16,0.0,0.0,0.0,-0.03,-0.03,0.0,0.03,0.0,0.0,0.0,-0.32,-1.07,2.81,1.9,-0.32,-1.07,-1.37,-2.28,4.18,4.18,0.0,0.0,0.0,0.0,0.01,5.66,530161.0___NA__
Garware Hi Tech,500655.0,GRWRHITECH,Packaging,2476.95,172.11,156.14,46.92,-169.36,49.67,59.99,112.67,151.61,217.96,-167.9,-89.39,-39.32,99.31,70.45,371.33,555.58,794.1,1009.65,562.32,860.64,1136.27,1405.62,-574.66,-537.69,-431.85,-262.26,69.79,42.73,85.9,5754.51,500655.0_GRWRHITECH
Garware Marine,509563.0,__NA__,Miscellaneous,12.3,-0.02,-0.02,0.0,0.0,-0.03,0.06,0.04,-0.08,-0.08,0.0,0.0,-0.08,0.14,0.06,-0.01,0.2,0.27,-1.05,0.0,0.21,0.29,-1.05,1.08,0.27,0.03,0.0,0.55,0.47,0.07,7.09,509563.0___NA__
Garware Synth,514400.0,__NA__,Textiles - Products,18.3,0.39,0.39,0.0,-0.4,-0.02,0.24,0.22,0.57,0.57,0.0,-0.46,0.11,0.13,0.24,1.65,1.53,-0.11,0.22,2.29,2.18,0.64,1.0,-0.63,-0.71,-0.65,-0.64,0.04,0.25,0.1,10.63,514400.0___NA__
Garware Tech.,509557.0,GARFIBRES,Textiles - Products,4044.8,218.8,176.79,-72.66,-38.52,107.62,41.62,173.74,161.26,189.38,-101.72,-85.11,2.56,39.06,45.82,387.37,664.34,769.15,1023.06,472.03,809.64,970.53,1308.47,-673.38,-464.92,-334.36,-166.52,57.4,12.26,115.07,8242.53,509557.0_GARFIBRES
Gateway Distri,543489.0,GATEWAY,Miscellaneous,104.65,307.37,235.96,-105.55,-248.34,-46.53,50.98,8.22,315.53,358.9,-41.64,-209.72,107.54,54.91,51.63,805.9,1184.37,,,980.1,1397.62,,,,,-204.84,-344.14,108.84,0.36,0.96,5228.75,543489.0_GATEWAY
Gautam Exim,540613.0,__NA__,Trading,68.73,0.99,0.98,0.72,-5.18,-3.47,4.55,4.55,2.91,2.92,1.44,-5.17,-0.81,5.36,4.55,9.06,13.74,7.7,18.79,9.09,13.79,7.81,19.29,16.41,11.81,8.59,4.03,3.91,7.39,8.7,21.18,540613.0___NA__
Gautam Gems,540936.0,__NA__,Trading,8.76,-26.01,-26.01,-0.17,26.12,-0.07,0.15,0.08,-9.09,-9.09,-0.17,9.01,-0.25,0.4,0.15,-34.68,-35.85,-47.95,-47.95,-34.63,-33.99,-45.83,-45.27,-2.36,-1.8,-1.54,-0.53,0.11,0.5,0.02,35.77,540936.0___NA__
Gayatri BioOrga.,524564.0,__NA__,Miscellaneous,6.26,-0.69,-0.69,0.0,0.7,0.01,0.03,0.03,-0.56,-0.56,0.0,0.56,-0.01,0.03,0.03,-1.65,82.42,79.21,29.94,-1.65,82.42,79.21,40.04,-89.69,-80.42,-83.86,0.0,0.44,0.23,0.0,49.33,524564.0___NA__
Gayatri Highways,541546.0,GAYAHWS,Construction,1.58,311.76,311.75,19.66,-328.0,3.42,6.64,10.07,93.3,93.46,22.07,-113.93,1.6,5.04,6.64,1218.24,3382.89,3606.62,,1218.44,3397.38,3779.13,,,-302.47,-100.26,-122.74,3.37,5.98,42.72,37.86,541546.0_GAYAHWS
Gayatri Projects,532767.0,GAYAPROJ,Construction,6.41,-695.12,-708.34,211.31,425.42,-58.4,83.75,33.23,201.01,228.48,9.79,-272.88,-34.61,118.36,289.38,-266.64,298.46,151.09,-4651.96,-105.28,623.71,1327.58,3150.04,-7319.16,-315.19,382.36,532.41,333.32,197.04,250.84,119.98,532767.0_GAYAPROJ
Gayatri Rubbers,-1.0,GRCL,Miscellaneous,323.3,-0.31,-1.78,-1.47,0.2,-1.58,1.99,1.99,-6.61,-5.21,-1.4,8.6,1.99,0.0,1.99,,,,,,,,,,,,,,,,185.51,-1.0_GRCL
Gayatri Sugars,532183.0,__NA__,Sugar,22.51,23.56,19.13,-4.41,-18.77,0.38,0.62,1.0,30.81,43.4,-10.56,-32.57,0.26,0.36,0.62,92.02,131.42,197.18,231.3,122.14,162.51,233.67,272.08,-40.67,-36.34,-29.6,-30.03,0.92,3.51,8.6,145.87,532183.0___NA__
GCM Capital,538319.0,__NA__,Finance & Investments,7.1,0.46,0.58,0.12,-0.25,0.33,0.31,0.31,-0.23,0.67,-0.9,0.46,0.23,0.08,0.31,-0.61,-0.44,-5.52,-9.74,0.69,0.86,-4.2,-7.7,-1.2,3.07,-0.93,-1.33,0.74,0.38,1.71,12.03,538319.0___NA__
GCM Commodity,535917.0,__NA__,Finance & Investments,6.56,1.69,1.69,-1.23,0.01,0.47,0.25,0.25,-1.74,-1.74,1.87,0.0,0.13,0.12,0.25,-5.07,-5.62,-7.91,-10.54,-5.06,-5.61,-7.9,-10.53,5.04,3.38,6.15,5.74,0.02,0.16,5.22,4.87,535917.0___NA__
GCM Securit.,535431.0,__NA__,Finance & Investments,0.99,1.41,1.51,-1.2,0.0,0.21,0.24,0.44,1.14,1.14,-1.45,0.0,-0.31,0.54,0.24,2.28,-11.65,-11.76,-35.63,2.19,-11.64,-11.67,-34.99,27.07,3.53,0.19,-2.77,1.02,12.78,0.73,18.81,535431.0___NA__
Gconnect Logitec,544156.0,__NA__,Miscellaneous,73.5,-2.21,-2.93,-0.72,2.98,0.06,0.11,0.11,-0.56,-0.56,0.0,0.67,0.11,0.0,0.11,,,,,,,,,,,,,,,,27.34,544156.0___NA__
GE Power,532309.0,GEPIL,Engineering - Turnkey Services,404.05,173.03,166.74,-7.35,-239.64,-73.96,213.37,151.39,87.0,89.78,6.2,-48.04,47.94,165.43,222.16,298.13,-639.85,-833.56,-201.67,311.94,-729.06,-922.0,-240.95,590.59,496.99,973.91,-6.18,219.78,828.19,850.2,2716.45,532309.0_GEPIL
GE Shipping Co,500620.0,GESHIP,Shipping,1227.1,2808.05,2372.78,-914.63,-1330.15,563.27,2678.36,4890.79,2775.78,2974.58,38.76,-1893.3,1120.04,1558.32,3799.35,6059.22,8457.15,9435.8,10844.46,7105.19,10120.39,12185.0,17302.39,-4169.03,-1455.79,-1472.95,-1212.97,2749.1,2921.87,3466.81,17518.98,500620.0_GESHIP
GE T&D India,522275.0,GET&D,Electric Equipment,1540.0,518.36,489.2,-172.37,-258.66,87.33,44.67,134.1,-53.77,-37.34,2.65,8.56,-26.13,70.8,46.8,418.78,451.64,1133.24,1558.58,489.23,540.21,1239.34,1838.91,-324.01,-90.37,-71.58,-53.59,60.2,60.28,71.71,39431.68,522275.0_GET&D
GEE,504028.0,__NA__,Electrodes - Welding Equipment,121.5,45.18,11.35,-33.72,-13.32,-1.86,2.23,0.73,-0.16,0.99,-1.38,1.77,1.38,0.85,2.48,7.01,35.6,29.85,47.74,48.7,79.91,83.73,110.5,-80.71,-72.3,-62.76,-49.28,2.28,1.61,3.03,315.77,504028.0___NA__
GeeCee Vent.,532764.0,GEECEE,Construction,382.45,-20.9,-33.8,62.76,-4.25,37.61,38.82,76.79,67.39,68.36,-32.92,-0.2,35.24,3.58,39.03,38.16,101.35,88.48,-50.58,52.25,115.44,99.38,-34.52,48.52,-3.49,-23.23,29.9,2.93,6.24,9.47,799.76,532764.0_GEECEE
Geekay Wires,-1.0,GEEKAYWIRE,Steel - Medium / Small,92.52,61.54,43.06,-21.39,-41.46,-1.32,7.34,8.16,33.82,52.52,-20.84,-34.21,-2.52,9.85,7.34,71.19,55.37,43.12,20.47,112.79,109.37,112.23,106.54,-89.47,-73.28,-60.22,-51.95,4.88,8.32,3.88,483.51,-1.0_GEEKAYWIRE
Geetanjali Cred.,539486.0,__NA__,Finance & Investments,4.75,0.01,0.01,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,1.7,1.87,1.27,0.38,1.7,1.87,1.27,-0.24,-0.25,-0.65,0.0,0.0,0.09,0.14,2.1,539486.0___NA__
Gem Enviro,544199.0,__NA__,Miscellaneous,173.15,8.46,8.39,-0.41,-3.06,4.99,6.88,11.88,3.42,3.45,0.04,-0.47,3.02,3.86,6.88,11.99,,,,12.14,,,,,,,-0.33,,,,390.46,544199.0___NA__
Gem Spinners,521133.0,__NA__,Textiles - Cotton/Blended,3.52,-0.05,-0.05,0.0,0.0,-0.05,0.0,-0.02,-0.09,-0.09,0.0,0.0,-0.09,0.09,0.03,-0.05,-0.06,-0.06,-0.57,-0.05,-0.06,-0.09,-0.5,-0.07,0.03,0.0,0.0,0.03,0.04,0.03,21.61,521133.0___NA__
Gemstone Invest.,531137.0,__NA__,Finance & Investments,1.78,1.66,1.45,-0.21,-0.01,1.44,0.23,1.66,-0.09,-0.09,0.0,0.0,-0.09,0.32,0.23,0.86,2.45,0.85,-2.79,0.9,2.47,0.94,-2.28,4.1,1.32,0.28,-0.04,0.93,0.22,0.38,13.31,531137.0___NA__
General Insuranc,540755.0,GICRE,Finance & Investments,385.8,11144.45,11138.77,-8872.14,-1263.17,1009.14,23702.44,24855.19,11588.83,11722.24,-9076.4,-394.74,2251.1,21451.34,23702.44,31763.88,53656.22,70041.79,86511.44,31917.47,53818.06,70259.22,86808.11,-62569.03,-52059.89,-38954.07,-24136.79,18588.81,12933.14,12231.43,67684.75,540755.0_GICRE
Generic Engineer,539407.0,GENCON,Construction,48.41,5.54,0.85,-7.11,-1.5,-3.07,14.14,11.07,-13.29,13.08,-42.58,38.82,9.31,4.82,14.14,-19.11,-81.13,-138.13,-146.03,31.91,23.07,-14.4,-22.27,-129.83,-136.67,-120.41,-68.57,8.24,34.17,12.78,256.74,539407.0_GENCON
Genesys Intl.,506109.0,GENESYS,Computers - Software - Medium / Small,602.2,19.07,-64.42,-79.61,71.24,10.7,12.56,76.38,-133.15,-35.19,-188.48,214.86,-8.82,21.38,17.99,-191.98,-163.01,-249.64,-221.83,12.0,61.62,55.4,98.17,-403.04,-369.81,-315.02,-288.11,2.95,4.24,20.89,2384.62,506109.0_GENESYS
Gennex Lab.,531739.0,__NA__,Pharmaceuticals - Indian - Bulk Drugs,15.65,-46.69,-31.34,18.91,73.68,45.91,15.06,60.98,-16.06,23.68,-38.33,21.03,6.38,8.68,15.06,-37.05,-40.53,-37.28,,-11.1,-14.21,-9.17,,,-23.79,-22.13,-21.89,1.07,3.15,0.63,355.96,531739.0___NA__
Genomic Valley,539206.0,__NA__,Miscellaneous,64.0,-0.02,-0.02,-0.02,0.0,-0.04,0.04,0.01,0.7,-0.78,1.52,-0.7,0.04,0.0,0.04,3.9,3.76,3.01,2.04,-2.93,-1.01,-1.18,-1.43,2.15,2.58,3.12,5.17,0.01,0.08,0.05,19.56,539206.0___NA__
Genpharmasec,531592.0,__NA__,Trading,2.16,-4.1,-4.08,-27.35,47.86,16.41,1.99,18.83,-3.08,-3.06,0.36,3.08,0.39,1.61,1.99,,,,,,,,,,,,,,,,119.61,531592.0___NA__
Gensol Engineer.,542851.0,GENSOL,Engineering - Turnkey Services,1037.8,-98.1,-576.55,-666.67,858.73,93.96,125.35,378.93,-290.54,58.9,-614.28,673.42,118.04,7.31,285.81,-967.66,-978.09,-982.04,,-88.83,-98.39,-93.51,,,-1350.88,-1342.09,-1340.95,8.83,2.32,0.71,3930.45,542851.0_GENSOL
Genus Paper & Bo,538961.0,GENUSPAPER,Paper,20.28,73.48,-26.5,-99.54,27.31,1.24,-38.23,27.69,-98.41,13.11,-110.38,49.23,-48.04,9.82,24.38,-303.25,,,,139.65,,,,,,,-394.71,27.22,,,521.46,538961.0_GENUSPAPER
