Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization,join_key
Bombay Dyeing,500020.0,BOMDYEING,Textiles - Manmade,211.45,12.26,-17.54,12.86,,-10.48,-36.85,-1.85,-4.42,1.81,-48.76,-20.75,-14.16,12.86,,,,,,-0.08,-247.88,-2.65,131.18,370.09,4367.18,500020.0_BOMDYEING
Bombay Metrics,-1.0,BMETRICS,Trading,130.4,38.53,33.75,37.64,28.44,23.89,23.89,,,38.64,29.28,,,22.12,,,,,,,2.01,,2.99,,80.29,-1.0_BMETRICS
Bombay Oxygen,509470.0,__NA__,Finance & Investments,35376.6,5.16,44.1,3.27,49.2,-8.8,-45.26,73.45,14.08,6.13,55.56,43.39,142.54,3.27,49.2,45.41,34.09,45.41,34.09,0.0,23.64,12.89,28.08,15.43,530.65,509470.0___NA__
Bombay Super Hyb,-1.0,BSHSL,Miscellaneous,192.78,14.57,28.06,57.02,61.54,18.88,18.88,12.94,,48.28,44.03,42.07,,57.0,61.56,44.89,,59.4,,0.72,11.58,6.22,14.79,8.41,2022.97,-1.0_BSHSL
Bombay Talkies,511246.0,__NA__,Finance & Investments,7.93,71.0,-16.06,,,-9.09,-62.5,5.96,6.49,,,,,,,,,,,5.93,-0.1,,-0.1,,42.82,511246.0___NA__
Bombay Wire,504648.0,__NA__,Steel - Medium / Small,73.0,,,,,-100.0,,,,,,,,,,,,,,0.0,-0.6,-0.38,-0.21,-0.15,38.98,504648.0___NA__
Bondada Engineer,543971.0,__NA__,Engineering - Turnkey Services,2561.0,40.76,29.04,75.04,31.61,16.38,16.38,,,63.78,29.64,,,-41.17,-31.59,,,,,,18.22,,29.67,,5532.27,543971.0___NA__
Bonlon Industrie,543211.0,__NA__,Trading,36.98,47.18,14.97,5.93,-2.9,1.74,13.34,8.89,11.71,25.46,6.93,27.27,36.85,5.93,-8.7,17.43,11.9,46.61,30.71,-3.43,1.11,0.79,2.28,1.72,52.45,543211.0___NA__
Borosil,543212.0,BOROLTD,Glass & Glass Products,332.0,17.74,21.12,18.18,19.91,22.11,22.11,,,16.2,16.1,,,18.01,40.99,,,,,-3.05,61.33,,88.16,,3960.73,543212.0_BOROLTD
Borosil Renew.,502219.0,BORORENEW,Glass & Glass Products,508.65,,12.45,,,27.52,53.64,13.71,24.28,,-11.76,-4.02,6.53,,,,,,,-0.23,,,,,6639.8,502219.0_BORORENEW
Borosil Scienti.,544184.0,BOROSCI,Glass & Glass Products,221.3,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,1965.04,544184.0_BOROSCI
Bosch,500530.0,BOSCHLTD,Auto Ancillaries,34253.9,19.84,6.72,23.39,2.76,7.56,12.04,6.97,6.69,19.11,0.46,-0.3,6.02,23.39,2.76,1.19,8.82,0.7,8.14,0.0,1309.88,1394.04,1755.4,1939.32,101027.22,500530.0_BOSCHLTD
Bothra Metals,535279.0,__NA__,Aluminium and Aluminium Products,12.12,107.33,-0.8,30.58,22.2,-36.11,-95.62,10.5,-18.63,65.88,34.59,5.68,-18.18,30.58,22.2,16.81,-22.16,16.81,-22.16,0.0,-1.01,-1.72,-0.56,-0.1,22.45,535279.0___NA__
BPL,500074.0,BPL,Electronics - Components,134.0,14.94,-13.89,37.98,79.12,12.87,-12.69,-4.83,3.96,83.42,30.39,33.56,52.9,37.96,79.05,39.04,32.07,39.07,32.09,0.05,2.63,1.77,5.35,4.93,656.26,500074.0_BPL
Brady & Morris,505690.0,__NA__,Engineering,1250.0,26.08,11.49,47.7,32.36,0.47,24.58,11.1,8.14,51.77,22.32,26.42,10.79,47.7,32.36,102.61,12.54,102.61,12.54,0.23,4.16,1.88,6.09,3.49,281.27,505690.0___NA__
Brahmaputra Inf.,535693.0,__NA__,Construction,103.7,15.99,-1.5,162.21,27.9,-3.47,11.52,0.45,-1.59,18.3,0.58,-1.02,0.45,162.21,27.9,64.92,10.93,64.92,10.93,0.0,6.02,-0.77,31.71,31.08,300.95,535693.0___NA__
Brand Concepts,543442.0,BCONCEPTS,Trading,652.0,80.26,25.1,53.94,32.44,23.17,53.55,21.99,,284.51,28.28,24.5,,52.79,31.1,25.06,,33.64,,-10.97,2.77,2.25,9.31,7.26,725.85,543442.0_BCONCEPTS
Brandbucket Med.,543439.0,__NA__,Miscellaneous,8.97,,,,,,,,,,,,,,,,,,,,,,,,20.85,543439.0___NA__
Brawn Biotech,530207.0,__NA__,Trading,26.19,-22.17,-24.03,,,-6.81,-25.82,-16.81,-7.09,,,,,,,,,,,-0.07,-0.8,0.12,-0.69,0.43,7.86,530207.0___NA__
Bridge Securitie,530249.0,__NA__,Miscellaneous,30.06,-27.85,-8.68,-25.15,94.73,23.81,22.54,9.64,24.42,-18.15,104.77,9.08,19.98,-25.15,94.73,4.98,16.8,4.98,16.8,-63.2,-0.12,0.0,-0.11,0.0,10.1,530249.0___NA__
Brigade Enterpr.,532929.0,BRIGADE,Construction,1362.45,35.92,10.5,149.91,10.93,14.87,14.87,13.45,17.86,37.52,10.05,12.05,15.93,143.4,8.23,9.57,13.24,14.43,16.88,-4.31,152.67,151.25,600.45,537.94,31491.09,532929.0_BRIGADE
Bright Brothers,526731.0,__NA__,Plastics Products,150.85,,,,,-10.21,-10.21,,,,,,,,,,,,,0.64,,,,,85.68,526731.0___NA__
Bright Outdoor,543831.0,__NA__,Miscellaneous,425.1,64.33,,147.34,,16.59,16.59,,,60.48,,,,73.99,,,,,,,5.71,,10.77,,618.47,543831.0___NA__
Bright Solar,-1.0,BRIGHT,Pumps,8.35,-26.87,-30.16,,,4.23,-59.24,-8.69,,,,,,,,,,,,-66.76,-2.02,0.28,-1.77,1.31,20.87,-1.0_BRIGHT
Brightcom Group,532368.0,BCG,Computers - Software - Medium / Small,8.98,40.06,25.03,46.05,27.49,6.59,6.59,18.54,16.54,39.21,24.88,18.16,33.44,15.28,10.62,7.76,29.46,19.26,38.98,11.13,730.06,544.92,1012.85,775.79,1812.09,532368.0_BCG
Brijlaxmi Leas.,532113.0,__NA__,Finance & Investments,7.8,103.02,40.06,,53.22,40.48,-11.63,40.79,46.46,512.69,77.65,117.47,40.86,180.79,49.14,66.13,25.0,,26.44,12.22,0.16,0.08,0.76,0.39,5.04,532113.0___NA__
Brisk Technovisi,544101.0,__NA__,Computers - Hardware,130.0,16.79,,137.13,,30.78,30.78,,,95.98,,,,-59.45,,,,,,,,,,,26.0,544101.0___NA__
Britannia Inds.,500825.0,BRITANNIA,Food - Processing - MNC,5443.75,8.48,8.69,4.9,13.09,7.82,7.61,9.2,9.27,6.2,11.77,13.09,18.01,4.9,13.04,13.37,18.65,13.43,18.7,0.0,1787.78,1337.48,2538.27,1930.72,131122.69,500825.0_BRITANNIA
Bronze Infra,534731.0,__NA__,Construction,1.26,,145.54,74.59,147.57,-26.92,-95.83,61.12,1.02,101.18,143.72,57.99,19.9,74.59,147.57,63.32,18.52,63.32,18.52,0.0,0.15,0.08,0.23,0.13,2.17,534731.0___NA__
Brookfield India,543261.0,BIRET,Construction,266.1,138.68,,,,48.75,48.75,,,147.35,,,,,,,,,,-10.47,,,,,12773.2,543261.0_BIRET
Brooks Lab.,533543.0,BROOKS,Pharmaceuticals - Indian - Bulk Drugs & Formln,87.0,0.96,,-0.43,,18.03,18.03,,,,,,,-0.37,,,,,,-2.82,,,,,228.35,533543.0_BROOKS
BSE,-1.0,BSE,Miscellaneous,2593.5,36.19,19.54,36.29,16.78,8.78,10.01,15.76,12.62,39.05,20.2,12.11,9.57,36.2,20.04,13.85,19.38,11.06,9.84,0.0,244.87,269.29,337.51,348.83,35109.85,-1.0_BSE
BSEL ALGO,532123.0,__NA__,Construction,12.26,,40.36,265.1,25.81,-11.36,-100.19,81.1,44.46,730.49,27.12,30.81,11.45,265.1,25.81,36.06,10.89,36.06,10.89,0.0,12.09,3.61,13.21,4.46,101.29,532123.0___NA__
BSL,514045.0,BSL,Textiles - Processing,201.4,27.52,8.79,102.12,59.3,8.24,8.24,6.11,7.02,29.8,15.46,7.56,6.31,102.12,59.3,9.53,12.96,9.53,12.96,0.27,8.79,6.3,31.25,25.52,207.27,514045.0_BSL
Burnpur Cement,532931.0,BURNPUR,Cement - North India,9.25,2.79,9.14,-18.32,,-3.72,-3.33,11.49,5.63,,,2.42,,-18.32,,-14.2,,-14.2,,-25.58,-71.86,-49.82,-8.52,-11.59,79.7,532931.0_BURNPUR
Butterfly Gan Ap,517421.0,BUTTERFLY,Domestic Appliances,868.0,2.61,7.45,-39.19,-3.21,10.07,10.07,12.77,2.02,-26.28,-7.37,21.01,-6.2,-39.19,-3.21,11.61,-9.72,11.61,-9.72,10.22,24.02,9.81,48.22,35.79,1551.97,517421.0_BUTTERFLY
C D S L,-1.0,CDSL,Miscellaneous,2426.35,33.2,32.85,27.89,29.87,18.54,46.33,27.78,24.76,29.48,29.85,25.32,28.98,27.89,29.87,25.45,29.24,25.45,29.24,-5.0,262.2,171.68,344.73,227.88,25355.37,-1.0_CDSL
C J Gelatine,507515.0,__NA__,Chemicals,23.0,1.56,9.64,29.49,8.73,11.54,9.57,13.79,10.6,4.21,2.29,84.1,21.77,29.49,8.73,13.12,14.44,13.12,14.44,0.0,0.38,0.07,1.55,1.26,11.07,507515.0___NA__
C P C L,500110.0,CHENNPETRO,Refineries,985.05,44.02,10.06,125.15,71.2,-10.07,-10.07,13.4,3.06,28.4,50.76,12.92,22.0,125.15,71.2,14.83,26.58,14.83,26.58,0.0,1149.49,818.15,2063.85,1463.68,14668.51,500110.0_CHENNPETRO
C P S Shapers,-1.0,CPS,Textiles - Products,247.05,36.7,,24.88,,38.14,38.14,,,23.78,,,,-22.6,,,,,,,,,,,51.88,-1.0_CPS
C.E. Info System,543425.0,MAPMYINDIA,Computers - Software - Medium / Small,2340.75,35.52,22.91,40.87,46.33,31.47,31.47,,,36.69,41.45,,,-41.7,-13.82,,,,,,74.77,,101.0,,12656.93,543425.0_MAPMYINDIA
Cadsys (India),-1.0,CADSYS,Computers - Software - Medium / Small,215.0,89.74,32.77,44.23,-8.62,17.7,23.54,26.07,26.81,151.75,7.64,7.09,16.77,44.23,-8.62,-8.95,-9.16,-4.58,10.26,0.03,-0.51,3.84,4.33,7.92,161.3,-1.0_CADSYS
Calcom Vision,517236.0,__NA__,Electronics - Components,147.0,,,,,,,,,,,,,,,,,,,-17.53,,,,,197.83,517236.0___NA__
California Soft.,532386.0,CALSOFT,Computers - Software - Medium / Small,17.27,43.12,24.17,48.32,15.29,23.73,23.73,,-0.8,41.01,18.92,-1.54,7.81,48.32,15.21,-16.48,7.28,-13.78,7.31,0.0,1.13,-1.83,1.56,1.74,26.69,532386.0_CALSOFT
Cambridge Tech.,532801.0,CTE,Computers - Software - Medium / Small,127.1,23.51,15.0,-9.71,-21.58,3.56,3.56,10.8,23.41,17.85,1.81,1.76,25.87,-9.71,-21.58,-12.67,17.32,-12.67,17.32,0.0,7.2,9.17,11.84,12.47,249.52,532801.0_CTE
Camex,524440.0,__NA__,Dyes And Pigments,68.42,-0.17,0.21,21.27,1.83,1.19,7.53,4.67,-4.36,13.55,-3.46,3.96,-1.99,21.27,1.83,15.79,6.07,15.79,6.07,-22.18,1.82,1.77,3.14,3.85,69.84,524440.0___NA__
Camlin Fine,532834.0,CAMLINFINE,Chemicals,105.15,10.76,12.57,,,13.15,17.6,17.11,12.23,-22.45,0.64,9.83,2.16,,,,,,,26.3,25.24,19.22,110.71,79.2,1760.91,532834.0_CAMLINFINE
Campus Activewe.,543523.0,CAMPUS,Leather / Leather Products,290.0,26.75,25.57,49.4,17.41,13.29,24.29,,,21.8,21.06,,,18.38,-76.54,,,,,,80.42,,139.02,,8853.84,543523.0_CAMPUS
Cams Services,543232.0,CAMS,Miscellaneous,3664.6,17.23,9.84,24.85,20.93,6.83,6.83,,,23.2,15.03,,,24.55,20.74,,,,,-30.98,244.01,,336.59,,18027.18,543232.0_CAMS
Can Fin Homes,511196.0,CANFINHOME,Finance - Housing,926.5,20.41,15.33,18.07,20.4,17.57,17.57,14.65,19.82,20.36,14.29,14.28,19.66,18.07,20.4,18.05,25.75,18.05,25.76,0.0,535.03,373.59,2238.77,1724.39,12336.73,511196.0_CANFINHOME
Canara Bank,532483.0,CANBK,Banks - Public Sector,119.6,16.3,18.18,74.7,90.75,3.77,21.63,15.04,10.82,23.09,24.85,15.65,10.56,69.15,60.0,20.57,4.97,41.3,19.23,-6.4,6652.82,3167.6,58943.03,45009.11,108485.0,532483.0_CANBK
Canarys,-1.0,CANARYS,Computers - Software - Medium / Small,50.1,43.06,,61.97,,40.54,40.54,,,58.39,,,,,,,,,,,5.07,,7.66,,281.48,-1.0_CANARYS
Candour Techtex,522292.0,__NA__,Trading,47.48,38.51,76.26,,,12.98,150.56,20.92,30.25,30.9,37.21,21.24,22.64,,,,,,,-11.1,0.47,0.27,1.43,0.84,80.42,522292.0___NA__
Cantabil Retail,533267.0,CANTABIL,Textiles - Products,256.6,34.76,16.4,85.09,37.36,17.15,17.15,21.61,19.89,30.05,37.88,36.95,51.52,83.58,36.69,46.54,24.0,47.06,24.24,-1.18,38.51,23.62,76.95,45.08,2146.15,533267.0_CANTABIL
Capacit'e Infra.,540710.0,CAPACITE,Construction,310.6,29.98,1.46,327.46,4.34,33.97,7.4,7.62,24.59,30.22,4.89,7.9,35.9,297.22,-0.15,-2.66,3.36,8.23,40.16,-12.08,71.93,68.56,173.72,154.2,2627.81,540710.0_CAPACITE
Capfin India,539198.0,__NA__,Finance & Investments,261.5,18.0,8.92,,,-4.76,-6.67,2.02,-16.28,,,,,,,,,,,7.64,-0.03,-0.06,-0.06,-0.06,74.91,539198.0___NA__
Capital India,530879.0,__NA__,Finance & Investments,103.2,28.79,62.74,,,67.11,67.11,,,31.9,34.21,,,,,,,,,0.0,-6.62,,41.52,,802.22,530879.0___NA__
Capital Small,544120.0,CAPITALSFB,Banks - Private Sector,344.85,15.81,18.06,39.85,41.86,16.91,16.91,,,15.97,19.05,,,,,,,,,,66.77,,433.93,,1553.27,544120.0_CAPITALSFB
Capital Trade Lk,538476.0,__NA__,Finance & Investments,54.38,88.95,49.63,90.19,42.86,9.79,73.43,21.26,23.43,120.37,60.05,51.23,68.72,82.52,37.83,39.98,66.01,43.61,69.35,-3.17,3.41,2.1,9.12,5.28,331.62,538476.0___NA__
Capital Trust,511505.0,CAPTRUST,Finance & Investments,114.05,-11.46,-16.02,27.85,-43.48,-6.37,-17.86,-5.82,15.94,17.08,-35.83,-22.35,3.43,27.85,-43.48,-33.33,-5.91,-33.33,1.73,0.0,-15.56,3.27,13.92,42.15,186.59,511505.0_CAPTRUST
Caplin Point Lab,524742.0,CAPLIPOINT,Pharmaceuticals - Indian - Formulations,1487.75,16.87,21.17,24.31,21.14,22.95,19.61,22.83,29.57,21.33,19.96,24.26,38.14,24.14,21.04,24.92,41.66,25.0,41.73,1.59,316.08,206.63,395.13,260.72,11308.43,524742.0_CAPLIPOINT
Capri Global,531595.0,CGCL,Finance & Investments,216.6,46.4,31.47,16.44,15.7,22.42,33.04,39.15,30.46,34.0,26.42,37.62,25.89,16.29,15.59,25.06,12.82,25.14,12.88,-4.98,205.51,142.24,727.43,458.71,17868.22,531595.0_CGCL
Capricorn System,512169.0,__NA__,Computers - Software - Medium / Small,13.04,-14.33,-25.88,18.38,,-26.94,-37.12,-22.4,-14.78,18.0,,,,18.38,,,,,,0.0,-0.09,-0.02,-0.08,0.02,5.21,512169.0___NA__
Caprihans India,509486.0,__NA__,Plastics Products,152.35,33.41,21.23,,,4.48,7.63,17.12,11.27,26.57,48.31,20.86,18.21,,,,,,,-20.66,-16.61,-4.77,25.92,18.37,200.04,509486.0___NA__
Caprolactam Chem,507486.0,__NA__,Chemicals,60.0,3.32,6.04,-32.49,-16.74,-3.07,-3.07,11.59,5.91,1.31,3.8,25.47,38.25,-32.49,-16.74,20.4,10.61,20.4,10.61,3.75,0.61,0.43,1.17,0.82,27.6,507486.0___NA__
Captain Pipes,538817.0,__NA__,Plastics Products,18.85,23.8,6.95,142.24,70.04,-10.48,-10.48,5.22,6.65,42.25,21.88,12.83,13.97,129.13,64.45,39.97,46.59,43.35,69.78,-1.19,1.36,0.7,3.19,2.65,278.41,538817.0___NA__
Captain Polyplas,536974.0,__NA__,Plastics Products,52.7,18.24,14.55,22.41,18.18,9.14,21.29,14.4,13.7,9.63,13.08,11.82,13.75,20.45,17.04,18.02,22.26,18.84,22.85,-5.4,9.3,7.03,22.68,18.07,291.85,536974.0___NA__
Captain Techno.,540652.0,__NA__,Castings & Forgings,203.0,13.73,17.99,16.83,31.53,18.47,18.47,20.84,22.26,16.09,19.27,15.43,23.54,16.83,31.5,12.66,17.54,16.24,35.3,1.47,2.69,1.72,4.35,2.9,207.26,540652.0___NA__
Carborundum Uni.,513375.0,CARBORUNIV,Abrasives And Grinding Wheels,1723.1,21.34,11.83,16.43,13.27,1.26,1.26,12.11,8.3,19.08,12.11,12.56,12.21,16.29,13.13,14.79,17.56,14.92,17.72,-0.78,351.58,262.3,499.5,390.36,32783.25,513375.0_CARBORUNIV
CARE Ratings,534804.0,CARERATING,Miscellaneous,1087.8,10.11,0.78,3.94,-6.01,2.89,1.97,2.07,3.48,7.72,-4.93,-3.74,-0.39,3.48,-6.26,-4.97,-1.73,-4.79,-1.44,0.0,86.21,110.43,119.69,157.7,3250.05,534804.0_CARERATING
Career Point,533260.0,CAREERP,Miscellaneous,399.85,27.33,0.21,303.3,20.47,9.56,10.37,2.98,4.53,87.76,14.28,9.85,16.41,303.3,20.43,15.42,25.56,15.48,25.6,0.0,23.26,20.0,33.77,31.15,727.45,533260.0_CAREERP
Cargosol Logist.,543621.0,__NA__,Miscellaneous,35.6,3.15,15.27,,,14.66,14.66,,,-25.01,-8.02,,,,,,,,,,1.87,,3.81,,36.31,543621.0___NA__
Cargotrans Marit,543618.0,__NA__,Miscellaneous,62.0,10.26,17.2,12.81,32.86,-11.36,-11.36,,,5.07,33.65,,,-40.46,-9.45,,,,,,1.49,,2.22,,25.3,543618.0___NA__
Carnation Inds.,530609.0,__NA__,Castings & Forgings,7.71,,,20.81,13.76,-86.42,-100.0,,,21.39,13.56,,,20.81,13.76,,,,,0.0,-0.99,-1.26,-0.17,1.48,2.67,530609.0___NA__
Cartrade Tech,543333.0,CARTRADE,Miscellaneous,787.5,25.2,15.03,-14.0,48.04,22.61,22.61,29.96,,26.51,32.86,25.9,,-63.5,-12.16,11.06,,17.8,,,15.5,,28.68,,3717.72,543333.0_CARTRADE
Carysil,524091.0,CARYSIL,Ceramics - Tiles / Sanitaryware,842.2,30.21,22.13,13.97,27.41,15.13,15.13,20.91,20.44,21.43,24.68,24.15,20.99,13.79,26.57,33.86,20.27,34.53,22.4,-0.2,47.16,29.19,77.08,51.72,2260.92,524091.0_CARYSIL
Caspian Corporat,534732.0,__NA__,Miscellaneous,74.05,,,,,9.86,9.86,,,,,,,,,,,,,30.99,,,,,312.47,534732.0___NA__
Castrol India,500870.0,CASTROLIND,Chemicals,209.15,19.19,5.38,13.5,3.77,6.29,6.29,6.02,4.79,13.02,1.84,2.32,5.07,13.5,3.77,3.63,5.62,3.63,5.62,0.0,766.48,697.98,1046.76,1010.65,20687.54,500870.0_CASTROLIND
Catvision Ltd,531158.0,__NA__,Trading,28.77,-2.55,-14.46,,9.39,-1.11,-6.77,-13.8,-4.9,-48.49,-29.01,-33.61,-18.96,,9.39,,,,,-1.26,-0.12,0.51,0.28,1.51,15.67,531158.0___NA__
CCL Internationa,531900.0,__NA__,Construction,26.7,5.88,-0.77,44.22,-2.64,-15.47,-10.9,-8.02,-7.56,10.06,0.11,30.87,6.01,44.22,-2.64,15.81,4.04,15.81,4.03,4.76,-0.3,0.08,0.82,1.57,51.25,531900.0___NA__
CCL Products,519600.0,CCL,Tea,595.1,28.78,19.67,11.12,10.06,9.07,17.67,15.35,13.98,14.46,12.66,9.89,11.97,10.98,9.97,9.2,14.48,9.26,14.52,0.07,214.31,172.52,293.23,241.8,7946.26,519600.0_CCL
CDG Petchem,534796.0,__NA__,Trading,29.45,0.93,-9.58,,,33.31,-4.78,42.78,,-21.2,-19.43,27.7,,,,-7.85,,-7.85,,0.0,-0.48,,1.01,,9.07,534796.0___NA__
CEAT,500878.0,CEATLTD,Tyres,2840.0,16.21,11.33,13.13,19.04,5.56,12.26,10.96,8.13,17.04,18.67,12.92,9.3,13.13,19.04,8.99,8.06,8.99,9.34,0.39,337.29,336.28,640.94,612.59,11487.8,500878.0_CEATLTD
Ceejay Finance,530789.0,__NA__,Finance & Investments,217.0,8.91,6.94,13.7,6.39,6.04,10.42,5.45,6.42,14.4,6.75,4.0,4.88,13.7,6.39,5.0,5.82,5.0,5.82,-0.14,5.53,5.02,10.16,9.54,74.86,530789.0___NA__
Ceenik Exports,531119.0,__NA__,Textiles - Products,755.0,,,42.92,17.42,-38.69,-100.0,,,40.1,38.48,31.71,10.87,42.92,17.42,12.94,9.68,12.94,9.68,-6.73,-0.73,-1.22,0.84,0.37,252.94,531119.0___NA__
Ceeta Industries,514171.0,__NA__,Food - Processing - Indian,34.0,99.89,-4.36,,,13.81,-43.54,-4.3,8.4,,,,,,,,,,,0.0,-0.55,0.34,-0.32,0.64,49.3,514171.0___NA__
Ceinsys Tech,538734.0,__NA__,Computers - Software - Medium / Small,538.0,10.94,7.47,160.94,59.41,9.53,9.53,8.39,12.35,46.15,17.15,13.74,12.62,129.5,47.59,21.61,9.07,30.26,18.22,-19.64,19.85,12.24,36.27,28.34,879.05,538734.0___NA__
Celebrity Fash.,532695.0,CELEBRITY,Textiles - Products,19.45,13.75,8.17,32.44,-11.09,0.12,0.48,8.62,3.83,41.17,3.66,11.8,5.84,31.48,-14.04,12.55,10.01,13.24,11.34,-6.5,2.47,0.2,9.82,7.74,109.99,532695.0_CELEBRITY
Cell Point,-1.0,CELLPOINT,Trading,35.0,13.69,,34.8,,9.96,9.96,,,7.36,,,,-46.97,,,,,,,2.47,,10.61,,65.4,-1.0_CELLPOINT
Cella Space,532701.0,__NA__,Miscellaneous,12.38,33.36,,-0.89,17.9,-23.91,21.93,-16.53,-27.81,28.21,50.53,11.59,-8.39,-2.55,17.62,10.47,-12.67,10.49,-10.87,3.38,0.35,-4.56,2.57,-2.74,24.94,532701.0___NA__
Cellecor Gadgets,-1.0,CELLECOR,Trading,308.0,,,830.83,,89.31,89.31,,,1040.76,,,,80.05,,,,,,,,,,,645.81,-1.0_CELLECOR
Cello World,544012.0,CELLO,Trading,881.0,23.99,,29.93,,29.51,29.51,,,23.09,,,,-95.31,,,,,,,,,,,18697.54,544012.0_CELLO
Cenlub Industrie,522251.0,__NA__,Engineering,403.0,20.42,8.26,30.89,14.79,5.1,4.92,10.45,10.87,20.02,8.88,13.48,17.2,30.89,14.79,22.18,39.21,24.36,40.94,-0.38,5.73,4.04,8.42,6.73,187.91,522251.0___NA__
Centenial Surgic,531380.0,__NA__,Healthcare,114.15,11.5,-1.8,5.59,-10.97,-0.21,-0.79,-0.45,0.05,-0.45,-1.13,0.66,1.07,5.59,-10.97,-5.82,-4.5,-5.82,-4.5,2.11,0.98,1.37,3.62,3.96,41.66,531380.0___NA__
Central Bank,532885.0,CENTRALBK,Banks - Public Sector,62.67,10.56,6.28,68.15,19.9,-1.84,4.07,3.18,2.34,18.92,16.35,6.11,2.93,56.92,17.32,12.21,8.9,17.5,15.49,3.3,645.12,-1076.44,16375.1,15503.51,54403.48,532885.0_CENTRALBK
Centrum Capital,501150.0,CENTRUM,Finance & Investments,39.19,63.13,16.41,-37.41,10.85,23.12,38.72,-15.18,-2.49,63.41,67.99,31.83,36.92,-37.41,10.85,,,,,0.33,-97.71,-60.99,373.36,217.58,1630.44,501150.0_CENTRUM
Centum Electron,517544.0,CENTUM,Electronics - Components,1644.9,10.09,3.23,,,12.45,-4.59,6.73,9.88,-0.57,0.74,1.33,0.87,,,,,,,-0.01,8.01,15.35,48.24,50.62,2121.41,517544.0_CENTUM
Century Enka,500280.0,CENTENKA,Textiles - Manmade,578.0,12.57,-0.53,-11.25,-9.13,-5.75,-14.1,5.67,1.75,-2.81,-6.61,-6.83,-4.51,-11.25,-9.13,-9.58,-2.85,-9.58,-2.85,0.06,92.41,77.3,116.18,110.42,1262.93,500280.0_CENTENKA
Century Extrus.,500083.0,CENTEXT,Aluminium and Aluminium Products,20.7,26.04,8.01,49.2,12.26,0.83,0.83,11.04,7.01,14.13,6.5,10.18,8.6,49.2,12.26,26.07,26.29,26.07,26.29,0.0,5.25,3.8,15.57,12.6,165.6,500083.0_CENTEXT
Century Plyboard,532548.0,CENTURYPLY,Miscellaneous,753.35,22.18,11.25,17.94,16.71,10.81,6.56,11.46,11.17,17.21,12.64,7.77,13.25,17.94,16.71,7.95,18.25,7.95,18.25,-0.46,270.76,217.51,397.55,323.59,16737.4,532548.0_CENTURYPLY
Century Textiles,500040.0,CENTURYTEX,Paper,2306.9,19.93,2.74,117.87,-46.92,-5.96,-5.96,-7.25,,37.64,-36.27,-5.04,,117.87,-46.92,11.95,,11.95,,0.0,185.12,,291.78,,25767.07,500040.0_CENTURYTEX
Cera Sanitary.,532443.0,CERA,Ceramics - Tiles / Sanitaryware,8756.7,15.91,6.85,33.49,15.82,11.63,3.77,9.19,10.92,27.5,11.45,10.39,13.34,33.49,15.82,13.14,16.18,13.14,16.49,0.0,164.32,128.7,221.28,184.91,11388.86,532443.0_CERA
Cerebra Integr.,532413.0,CEREBRAINT,Computers - Hardware,6.55,-9.42,-33.01,,,-11.01,-52.76,-20.12,-8.79,,,,,,,,,,,-6.46,3.94,7.63,12.73,18.0,79.39,532413.0_CEREBRAINT
CESC,500084.0,CESC,Power Generation And Supply,160.75,9.55,7.48,1.44,3.02,7.84,7.84,9.0,4.22,1.6,0.21,3.33,8.35,1.45,3.02,10.92,10.39,10.92,11.05,2.19,1318.97,1022.86,3059.37,2821.88,21308.51,500084.0_CESC
CFF Fluid,543920.0,__NA__,Engineering,879.0,94.51,,308.88,,50.39,50.39,,,115.61,,,,35.82,,,,,,,7.33,,12.34,,1711.78,543920.0___NA__
CG Power & Ind,500093.0,CGPOWER,Electric Equipment,703.95,39.5,0.12,110.59,34.05,-0.41,15.4,5.54,-5.14,75.72,28.7,53.75,3.41,103.51,24.2,15.9,3.95,21.79,13.64,4.89,385.46,-1.43,531.19,309.94,107521.27,500093.0_CGPOWER
CG-VAK Software,531489.0,__NA__,Computers - Software - Medium / Small,316.9,21.13,16.73,9.97,20.92,8.27,12.61,13.58,9.56,11.33,21.51,37.47,21.49,9.97,20.92,42.59,23.07,42.59,23.05,1.4,8.15,4.94,11.47,7.01,160.01,531489.0___NA__
Chalet Hotels,542399.0,CHALET,Hotels,805.2,70.57,7.5,59.46,135.15,24.09,25.59,9.78,10.96,176.63,10.52,10.51,16.48,59.41,135.04,77.5,22.56,85.29,25.42,-4.14,64.87,11.32,202.52,169.47,17561.48,542399.0_CHALET
Challani Capital,530747.0,__NA__,Finance & Investments,16.64,-5.71,13.02,41.5,18.06,-11.11,-5.68,11.39,,8.44,18.6,18.64,,19.35,16.82,13.2,,14.86,,23.28,0.36,-3.15,0.43,-2.76,24.96,530747.0___NA__
